Block,Time Block,RAMPUR,RSTPSU1TO6,RAPPC,NTPL,RSTPSU7,PARBATI3,RIHAND3,SALAL,SEWA2,PARBATI2,SIMHST2,RAPPB,SIMHST1,RIHAND2,RIHAND1,SASAN,KOTESHWR,NLCEXP,NNTPP,KUDGI,NLCIIST1,NJPC,NLCIIST2,MAPS,NLCTS2EXP,NAPP,KKNP,KKNPPU2,KOLDAM,KHSTPP-II,KISHANGANGA,KHSTPP-I,KGSU1AND2,KGSU3AND4,JHAJJAR,FSTPP I & II,DULHASTI,BSIUL,CHAMERA3,CHAMERA2,DHAULIGNGA,BRBCL,DADRT2,CHAMERA1,UNCHAHAR3,TALST2,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,UNCHAHAR2,SINGRAULI,TALA,URI2,TEHRI,UNCHAHAR1,UNCHAHAR4,TANDA2,URI,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,VALLURNTECL,ANTA_RF,AURY_LF,DADRI_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,66.51,0,0,0,125.85,12.86,0,0,0,0,0,119.86,93.53,335.89,10.02,0,0,0,0,0,0,0,0,49.92,0,0,0,142.74,8.13,44.11,0,0,636.66,13.38,19.07,12.55,22.43,31.27,0,18.24,597.3,0,26.63,0,0.9,0.24,0,42.33,144.62,0,38.14,25.13,20.82,2.13,5.26,34.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,66.51,0,0,0,125.85,12.86,0,0,0,0,0,119.86,93.54,335.89,10.02,0,0,0,0,0,0,0,0,49.92,0,0,0,142.74,8.13,44.11,0,0,645.31,13.38,19.07,12.55,22.43,31.27,0,18.61,654.75,0,26.63,0,0.9,6.03,0,42.33,144.62,0,38.14,12.57,20.82,2.13,5.26,34.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,66.51,0,0,0,125.85,68.22,0,0,0,0,0,119.86,93.54,335.89,10.02,0,0,0,0,0,0,0,0,49.92,0,0,0,142.74,8.13,44.11,0,0,645.37,13.38,19.07,12.55,22.43,31.27,0,16.3,654.75,0,26.63,0,0.9,6.03,0,42.33,144.62,0,38.14,0,20.82,2.13,5.26,34.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,66.51,0,0,0,125.85,68.22,0,0,0,0,0,119.86,93.54,335.89,10.02,0,0,0,0,0,0,0,0,49.92,0,0,0,142.74,8.13,44.11,0,0,645.37,13.38,19.07,12.55,22.43,31.27,0,16.13,654.75,0,26.63,0,0.9,6.03,0,42.33,144.62,0,38.14,0,20.82,2.13,5.26,34.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,66.51,0,0,0,125.85,68.22,0,0,0,0,0,119.86,93.54,335.89,10.02,0,0,0,0,0,0,0,0,49.92,0,0,0,142.74,8.13,44.11,0,0,645.37,13.38,19.07,18.83,22.43,31.27,0,15.18,654.75,0,26.63,0,0.9,6.03,0,42.33,144.62,0,38.14,0,20.82,2.13,5.26,34.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,66.51,0,0,0,125.85,68.22,0,0,0,0,0,119.86,93.54,335.89,10.02,0,0,0,0,0,0,0,0,49.92,0,0,0,142.74,8.13,44.11,0,0,645.37,13.38,19.07,18.83,22.43,31.27,0,12.19,654.75,0,26.63,0,0.9,6.03,0,42.33,144.62,0,38.14,0,20.82,2.13,5.26,34.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,66.51,0,0,0,125.85,68.22,0,0,0,0,0,119.86,93.54,335.89,10.02,0,0,0,0,0,0,0,0,49.92,0,0,0,142.74,8.13,44.11,0,0,645.37,13.38,19.07,18.83,22.43,31.27,0,10.68,657.85,0,26.63,0,0.9,6.03,0,42.33,144.62,0,38.14,0,20.82,2.13,5.26,33.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,66.51,0,0,0,125.85,68.22,0,0,0,0,0,119.86,93.54,335.89,10.02,0,0,0,0,0,0,0,0,49.92,0,0,0,142.74,8.13,44.11,0,0,645.37,13.38,19.07,18.83,33.67,31.27,0,10.88,657.85,0,26.63,0,0.9,6.03,0,42.33,144.62,0,38.14,0,20.82,2.13,5.26,33.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,66.51,0,0,0,125.85,25.73,0,0,0,0,0,119.86,93.54,335.89,10.02,0,0,0,0,0,0,0,0,49.92,0,0,0,142.74,8.13,44.11,0,0,629.32,13.38,19.07,18.83,33.67,46.91,0,11.41,591.06,0,26.63,0,0.9,6.03,0,42.33,144.62,0,38.14,0,20.82,2.13,5.26,33.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,0,66.51,0,0,0,125.85,25.73,0,0,0,0,0,119.86,93.54,335.89,10.02,0,0,0,0,0,0,0,0,49.92,0,0,0,142.74,8.13,44.11,0,0,629.32,13.38,19.07,18.83,33.67,46.91,0,9.62,539.59,0,26.63,0,0.9,0,0,42.33,144.62,0,38.14,0,20.82,2.13,5.26,33.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,0,66.51,0,0,0,125.85,25.73,0,0,0,0,0,119.86,93.54,335.89,10.02,0,0,0,0,0,0,0,0,49.92,0,0,0,142.74,8.13,44.11,0,0,629.32,13.38,19.07,18.83,33.67,46.91,0,10.08,491.45,0,26.63,0,0.9,0,0,42.33,144.62,0,38.14,0,20.82,2.13,5.26,33.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,0,66.51,0,0,0,125.85,25.73,0,0,0,0,0,119.86,93.54,335.89,10.02,0,0,0,0,0,0,0,0,49.92,0,0,0,142.74,8.13,44.11,0,0,629.32,13.38,19.07,18.83,22.46,46.91,0,11.66,443.33,0,26.63,0,0.9,0,0,42.33,144.62,0,38.14,0,20.82,2.13,5.26,33.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,0,66.51,0,0,0,125.85,25.73,0,0,0,0,0,119.86,93.54,335.89,10.02,0,0,0,0,0,0,0,0,49.92,0,0,0,142.74,8.13,44.11,0,0,548.18,13.38,38.13,18.83,11.21,15.64,0,13.48,434.7,0,24.75,0,0.9,0,0,39.71,144.62,0,36.62,0,20.18,2.13,5.26,33.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,0,66.51,0,0,0,125.85,25.73,0,0,0,0,0,119.86,93.54,335.89,10.02,0,0,0,0,0,0,0,0,49.92,0,0,0,142.74,8.13,44.11,0,0,460.74,13.38,38.13,18.83,11.21,15.64,0,14.39,434.7,0,24.75,0,0.9,0,0,39.71,144.62,0,36.62,0,20.18,2.13,5.26,33.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

