Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,GNARE/SR/2025/01/13/4532,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,NR/26072023/25122043/L_NR_2023_10,GNA/NR/2025/08/01/6475,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/07/01/1044,GNA/NR/2025/06/07/5932,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/08/01/6209,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,GNA/NR/2025/07/01/2952,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/08/01/4125,NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/1196,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6187,NR/01102023/19072037/LT-05,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/8128,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04
1,00:00-00:15,0,2.5,2.5,1.66,1.67,7.5,1.33,0,0,0,0,0,43.02,0,0,0,0,0,0,0,20.79,0,2.77,-0,0,0,0,0,8.76,12.04,48.18,24.09,4.01,130.36,8.76,100.38,0,86.91,12.04,19.27,0,15.27,17.38,53.55,25.23,0,26.93,26.93,12.67,270.98

2,00:15-00:30,0,2.5,2.5,1.66,1.67,7.5,1.33,0,0,0,0,0,43.02,0,0,0,0,0,0,0,20.79,0,2.77,-0,0,0,0,0,8.76,12.04,48.18,24.09,4.01,130.36,8.76,100.38,0,86.91,12.04,19.27,0,15.27,17.38,49.3,25.23,0,26.93,26.93,12.67,270.98

3,00:30-00:45,0,2.5,2.5,1.66,1.67,7.5,1.33,0,0,0,0,0,43.02,0,0,0,0,0,0,0,20.79,0,2.77,-0,0,0,0,0,8.76,12.04,48.18,24.09,4.01,130.36,8.76,100.38,0,86.91,12.04,19.27,0,15.27,17.38,45.05,24.22,0,26.93,26.93,12.67,270.98

4,00:45-01:00,0,2.5,2.5,1.66,1.67,7.5,1.33,0,0,0,0,0,43.02,0,0,0,0,0,0,0,20.79,0,2.77,-0,0,0,0,0,8.76,12.04,48.18,24.09,4.01,130.36,8.76,100.38,0,86.91,12.04,19.27,0,15.27,17.38,35.14,24.22,0,26.93,26.93,12.67,270.98

5,01:00-01:15,0,2.5,2.5,1.66,1.67,7.5,1.33,0,0,0,0,0,43.02,0,0,0,0,0,0,0,20.79,0,2.77,-0,0,0,0,0,8.76,12.04,48.18,24.09,4.01,130.36,8.76,100.38,0,86.91,12.04,19.27,0,15.27,17.38,35.14,24.22,0,26.93,26.93,12.67,270.98

