Time,Block,NR/2023/14745/A,NR/2023/13635/A,NR/2023/14898/A,NR/2023/14746/A,NR/2023/15402/F,NR/2023/15535/D,NR/2023/12168/A,NR/2023/15309/F,NR/2023/15303/F,NR/2023/14737/A,NR/2023/15538/D,NR/2023/12148/A,NR/2023/12053/A,NR/2023/15304/F,NR/2023/12347/A,NR/2023/15306/F,NR/2023/15412/F,NR/2023/14895/A,NR/2023/12591/A,NR/2023/13862/A,NR/2023/15296/F,NR/2023/12052/A,NR/2023/12167/A,NR/2023/15562/C,NR/2023/12431/A,NR/2023/15546/C,NR/2023/15057/F,NR/2023/12592/A,NR/2023/15549/C,NR/2023/15560/C,NR/2023/12422/A,ER/2023/9578/C,NR/2023/15537/D,Total
,,APPCPL,NVVNL,MANIKARAN,APPCPL,SJVNL,KEIPL,APPCPL,IEXL,BSHP,NVVNL,SJVNL,GMRETL,KEIPL,BSHP,STATKRAFT,BSHP,NVVNL,MANIKARAN,NVVNL,MANIKARAN,BSHP,KEIPL,APPCPL,IEXL,TPTCL,GBHHPL,ITCLH,NVVNL,TPDDL,HPXL,APPCPL,HPXL,NVVNL,Total

,,GOA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,MAHARASHTRA,UTTARAKHAND,JAMMU AND KASHMIR,HIMACHAL PRADESH,NA,NA,MEGHALAYA,MEGHALAYA,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,TAMIL NADU,HIMACHAL PRADESH,MEGHALAYA,MEGHALAYA,NA,NA,HIMACHAL PRADESH,ANDHRA PRADESH,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,DELHI,NA,
,,GOA_Beneficiary,KAMENG,HP,HP,BCMLB001,LMEL MSEB,UTTARAKHAND,SAPU1234,BSHP,SKS Raigarh,DIKCHU,Meghalaya_Ben,Meghalaya_Ben,BSHP,TANGEDCO,BSHP,KAMENG,HP,JPNIGRIE_JNSTPP,TANGEDCO,BSHP,Meghalaya_Ben,Meghalaya_Ben,MCCPL,JPL-2,GBHHPL,ITCWIND,JPNIGRIE_JNSTPP,CHANJUII,Teesta_III,HP,BYPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,
,,BRPL,BRPL,BRPL,BRPL,NDMC,BYPL,BYPL,MES (Delhi),MAX-HPTL,NDMC,NDMC,BYPL,BYPL,MHIL,BYPL,BMDRC,TPDDL,BRPL,BRPL,BRPL,JHPL-DL,BYPL,BYPL,BRPL,BRPL,DIAPL,ITCLH,BRPL,TPDDL,BRPL,BYPL,VLSEZ,MES (Delhi),
,,West-North,North East-East-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,West-North,East-North,North East-East-North,North East-East-North,North-North,South-West-North,North-North,North East-East-North,North-North,West-North,South-East-North,North-North,North East-East-North,North East-East-North,West-East-North,West-North,North-North,South-West-North,West-North,North-North,East-North,North-North,North-East,West-North,
1,00:00-00:15,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,98.580000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,64.760000,108.730000,6.050000,0.870000,85.030000,18.220000,303.480000,36.820000,0.000000,0,1567.74

2,00:15-00:30,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,98.580000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,64.760000,108.730000,6.050000,0.870000,85.030000,18.220000,264.820000,36.820000,0.000000,0,1529.08

3,00:30-00:45,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,98.580000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,64.760000,108.730000,6.050000,0.870000,85.030000,18.220000,232.930000,36.820000,0.000000,0,1497.19

4,00:45-01:00,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,98.580000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,64.760000,108.730000,6.050000,0.870000,85.030000,18.220000,199.100000,36.820000,0.000000,0,1463.36

5,01:00-01:15,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,98.580000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,64.760000,108.730000,6.050000,0.680000,85.030000,18.220000,128.540000,36.820000,0.000000,0,1392.61

