Column1,Block,NR/2024/23660/C,NR/2024/23383/A/40565,NR/2024/23510/A/40592,NR/2024/23414/A/40557,NR/2024/23384/A/40558,NR/2024/23382/A/40718,NR/2024/23446/A/40716,NR/2024/23389/A/40585,NR/2024/23356/A/40586,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/9582,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/3642,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/8106,Total
,,NVVNL,ITCLH,DIAPL,IEXL,IEXL,NVVNL,NVVNL,SJVNL,SJVNL,NDMC,NDMC,NDMC,PUNJAB,BAWANA_GAS,NDMC,DELHI,NDMC,
,,NA,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,KARNATAKA_STATE,KARNATAKA_STATE,NA,NA,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,NA,HIMACHAL_STATE,NA,
,,SOLAPUR_SOLAR,ITCWIND,GBHHPL,NSLSUGAR,NSLSUGAR,JITPL,JITPL,RSRPL_BKN,TPSL_BKN2,RKM_POWER,JPL2,SKS_Raigarh,BAWANA_GAS,BAWANA_GAS,RKM_POWER,CHANJUII,TRN_ENERGY,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,ITCLH,DIAPL,MES_Delhi,MES_Delhi,NDMC,NDMC,NDMC,NDMC,NDMC,NDMC,NDMC,PUNJAB,HARYANA,NDMC,TPDDL,NDMC,
,,West-North,South-West-North,North-North,South-West-North,South-West-North,East-North,East-North,North-North,North-North,West-North,West-North,West-North,North-North,North-North,West-North,North-North,West-North,
1,00:00-00:15,0,0.58,2.91,0,0,17.64,0,0,0,26.45,26.45,8.82,32,25.96,26.45,6.21,8.82,182.29

2,00:15-00:30,0,0.58,2.91,0,0,17.64,0,0,0,26.45,26.45,8.82,32,25.96,26.45,6.21,8.82,182.29

3,00:30-00:45,0,0.58,2.91,0,0,17.64,0,0,0,26.45,26.45,8.82,32,25.96,26.45,6.21,8.82,182.29

4,00:45-01:00,0,0.58,2.91,0,0,17.64,0,0,0,26.45,26.45,8.82,32,25.96,26.45,6.21,8.82,182.29

