Column1,Time,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,GNARE/SR/2025/01/13/4532,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,GNA/NR/2025/05/01/6160,GNA/NR/2025/04/01/8964,GNA/NR/2025/05/01/5800,NR/01102023/19072037/LT-05,GNA/NR/2025/05/16/9317,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/05/01/6363,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/4138,GNA/NR/2025/04/01/8510,NR/30092023/31122025/SH-07,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/9395,GNA/NR/2025/04/01/8456,GNA/NR/2025/05/22/8667,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/05/01/7791,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/05/01/2474,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/05/01/9252,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/8068,NR/01102023/22052037/LT-59,GNA/NR/2025/05/01/8954,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/6957,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/2069
1,00:00-00:15,0,0,0,0,13.33,33.01,39,0,13.33,0,39,10.67,40.01,0,0,0,0,0,0,0,0,4.3,67.62,70.45,96.6,273.14,14.49,69.15,28.98,0,7.77,23.51,22.91,0,4.38,144.9,0,0,201.29,29.1,7.09,13.52,30,10.63,6.23,5.8,8.24,0,12.3,193.2,29.27,100.64,0,28.98,0

2,00:15-00:30,0,0,0,0,13.83,32.81,38,0,13.83,0,38,10,41.51,0,0,0,0,0,0,0,0,4.3,67.62,70.45,96.6,273.14,14.49,69.15,28.98,0,7.77,23.51,22.91,0,4.38,144.9,0,0,201.29,29.1,7.09,13.52,30,10.63,6.23,5.8,8.24,0,12.3,193.2,29.27,100.64,0,28.98,0

3,00:30-00:45,0,0,0,0,14.17,31.02,37.67,0,14.17,0,37.67,9.67,42.49,0,0,0,0,0,0,0,0,4.3,67.62,70.45,96.6,273.14,14.49,69.15,28.98,0,7.77,23.51,22.91,0,4.38,144.9,0,0,201.29,29.1,7.09,13.52,30,10.63,6.23,5.8,8.24,0,12.3,193.2,29.27,100.64,0,28.98,0

4,00:45-01:00,0,0,0,0,14.5,30.82,37,0,14.5,0,37,9,43.5,0,0,0,0,0,0,0,0,4.3,67.62,70.45,96.6,273.14,14.49,69.15,28.98,0,7.77,23.51,22.91,0,4.38,144.9,0,0,201.29,29.1,7.09,13.52,30,10.63,6.23,5.8,8.24,0,12.3,193.2,29.27,100.64,0,28.98,0

5,01:00-01:15,0,0,0,0,14.83,30.22,37.67,0,14.83,0,37.67,8.67,44.51,0,0,0,0,0,0,0,0,4.3,67.62,70.45,96.6,273.14,14.49,56.91,28.98,0,7.77,25.4,22.91,0,4.38,144.9,0,0,169.71,29.1,6.94,13.52,30,10.63,6.23,5.8,8.06,0,12.3,193.2,28.27,100.64,0,28.98,0

6,01:15-01:30,0,0,0,0,15.5,30.02,39,0,15.5,0,39,8.67,46.5,0,0,0,0,0,0,0,0,4.3,67.62,70.45,96.6,273.14,14.49,56.91,28.98,0,7.77,25.4,22.91,0,4.38,144.9,0,0,169.71,29.1,6.94,13.52,30,10.63,6.23,5.8,8.06,0,12.3,193.2,28.27,100.64,0,28.98,0

