Column1,Time,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,GNARE/SR/2025/01/13/4532,GNA/NR/2025/07/01/2786,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/1044,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/2236,NR/01102023/05012040/L_NR_2020_02,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/07/01/1192,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/01/2952,GNA/NR/2025/07/01/8128,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07
1,00:00-00:15,0,0,0,0,0,0,25,0,0,0,0,0,7.34,0,8.33,8.34,0,0,0,38.02,43.71,-0,20.75,3.79,134.89,19.24,15.24,224.82,81.75,6.06,17.3,0,100.2,49.05,10.5,10.47,0,0,130.13,6.67,6.33,115.38,86.75,30,25.24,133.46,16.26

2,00:15-00:30,0,0,0,0,0,0,25,0,0,0,0,0,7.34,0,8.33,8.34,0,0,0,37.62,43.71,-0,20.75,4.2,134.89,19.24,15.24,224.82,81.75,6.06,17.3,0,100.2,49.05,10.5,10.47,0,0,130.13,6.67,6.33,115.38,86.75,30,25.74,133.46,16.26

3,00:30-00:45,0,0,0,0,0,0,25,0,0,0,0,0,7.34,0,8.33,8.34,0,0,0,37.02,43.71,-0,20.75,4.59,134.89,19.24,15.24,224.82,81.75,6.06,17.3,0,100.2,49.05,10.5,10.47,0,0,130.13,6.67,6.33,115.38,86.75,30,26.25,133.46,16.26

4,00:45-01:00,0,0,0,0,0,0,25,0,0,0,0,0,7.34,0,8.33,8.34,0,0,0,36.22,43.71,-0,20.75,4.59,134.89,19.24,15.24,224.82,81.75,6.06,17.3,0,100.2,49.05,10.5,10.47,0,0,130.13,6.67,6.33,115.38,86.75,30,26.25,133.46,24.51

5,01:00-01:15,0,0,0,0,0,0,25,0,0,0,0,0,7.34,0,8.33,8.34,0,0,0,34.41,43.71,-0,20.75,4.59,134.89,19.24,15.24,224.82,81.75,5.6,17.12,0,100.2,49.05,10.35,10.47,0,0,130.13,6.67,6.33,115.38,86.75,30,26.25,133.46,16.26

6,01:15-01:30,0,0,0,0,0,0,25,0,0,0,0,0,7.34,0,8.33,8.34,0,0,0,33.81,43.71,-0,20.75,4.59,134.89,19.24,15.24,224.82,81.75,5.6,17.12,0,100.2,49.05,10.35,10.47,0,0,130.13,6.67,6.33,115.38,86.75,30,26.25,133.46,16.26

7,01:30-01:45,0,0,0,0,0,0,21,0,0,0,0,0,7.34,0,7,7,0,0,0,41.02,43.71,-0,20.75,4.59,134.89,19.24,15.24,224.82,81.75,5.6,17.12,0,100.2,49.05,10.35,10.47,0,0,130.13,6.67,6.33,115.38,86.75,30,26.25,133.46,16.26

