Block,Time,NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,NR/01042024/31072024/LT_MEJA_DELHI,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01042024/30042024/PTC/OA/32001,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/23072042/L_NR_2012_04,NR/04042024/30042024/SJVN040424NR1694,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2022_09
1,00:00-00:15,76.570000,262.190000,22.530000,100.610000,0.000000,0.000000,30.270000,0.000000,35.200000,16.110000,22.530000,3.210000,0.000000,41.040000,3.110000,3.150000,8.660000,273.050000,0.000000,0,0,0,0,7.66,0,7,15,0,0,12.33,0,0,7.67,0,0,23,0,0,0,0,12.33

2,00:15-00:30,76.570000,262.190000,22.530000,100.610000,0.000000,0.000000,30.270000,0.000000,35.200000,16.110000,22.530000,3.210000,0.000000,41.040000,3.110000,3.150000,8.660000,273.050000,0.000000,0,0,0,0,7.66,0,7,14.4,0,0,12.33,0,0,7.67,0,0,23,0,0,0,0,12.33

3,00:30-00:45,76.570000,262.190000,22.530000,100.610000,0.000000,0.000000,30.270000,0.000000,35.200000,16.110000,22.530000,3.210000,0.000000,41.040000,3.110000,3.150000,8.660000,273.050000,0.000000,0,0,0,0,7.66,0,7,13.8,0,0,12.33,0,0,7.67,0,0,23,0,0,0,0,12.33

4,00:45-01:00,57.580000,262.190000,22.530000,100.610000,0.000000,0.000000,30.270000,0.000000,35.200000,16.110000,22.530000,3.210000,0.000000,41.040000,3.110000,3.150000,8.660000,273.050000,0.000000,0,0,0,0,7.66,0,7,13.2,0,0,12.33,0,0,7.67,0,0,23,0,0,0,0,12.33

5,01:00-01:15,57.580000,235.200000,25.530000,100.610000,0.000000,0.000000,29.770000,0.000000,35.200000,16.110000,25.530000,3.210000,0.000000,41.040000,3.110000,3.070000,8.580000,273.050000,0.000000,0,0,0,0,7.66,0,7,12.21,0,0,12.33,0,0,7.67,0,0,23,0,0,0,0,12.33

6,01:15-01:30,57.580000,206.230000,25.530000,100.610000,0.000000,0.000000,28.770000,0.000000,35.200000,16.110000,25.530000,3.210000,0.000000,41.040000,3.110000,3.070000,8.580000,273.050000,0.000000,0,0,0,0,7.66,0,7,11.41,0,0,12.33,0,0,7.67,0,0,23,0,0,0,0,12.33

7,01:30-01:45,57.580000,206.230000,25.530000,100.610000,0.000000,0.000000,28.770000,0.000000,35.200000,16.110000,25.530000,3.210000,0.000000,41.040000,3.110000,3.070000,8.580000,273.050000,0.000000,0,0,0,0,7.66,0,7,10.01,0,0,12,0,0,7.67,0,0,23,0,0,0,0,12

8,01:45-02:00,57.580000,206.230000,25.530000,100.610000,0.000000,0.000000,28.770000,0.000000,35.200000,16.110000,25.530000,3.210000,0.000000,41.040000,3.110000,3.070000,8.580000,273.050000,0.000000,0,0,0,0,7.84,0,7,9.01,0,0,12,0,0,7.83,0,0,23.5,0,0,0,0,12

9,02:00-02:15,57.580000,206.230000,25.530000,100.610000,0.000000,0.000000,28.770000,0.000000,35.200000,16.110000,25.530000,3.110000,0.000000,41.040000,3.110000,3.070000,8.480000,273.050000,0.000000,0,0,0,0,7.16,0,6.66,8.01,0,0,12,0,0,7.17,0,0,21.5,0,0,0,0,12

10,02:15-02:30,57.580000,206.230000,25.530000,100.610000,0.000000,0.000000,28.770000,0.000000,35.200000,16.110000,25.530000,3.110000,0.000000,41.040000,3.110000,3.070000,8.480000,273.050000,0.000000,0,0,0,0,7.16,0,6.66,7.41,0,0,12,0,0,7.17,0,0,21.5,0,0,0,0,12

11,02:30-02:45,57.580000,206.230000,25.530000,100.610000,0.000000,0.000000,28.770000,0.000000,35.200000,16.110000,25.530000,3.110000,0.000000,41.040000,3.110000,3.070000,8.480000,273.050000,0.000000,0,0,0,0,7.16,0,6.66,7.41,0,0,12,0,0,7.17,0,0,21.5,0,0,0,0,12

12,02:45-03:00,57.580000,206.230000,25.530000,100.610000,0.000000,0.000000,28.770000,0.000000,35.200000,16.110000,25.530000,3.110000,0.000000,41.040000,3.110000,3.070000,8.480000,273.050000,0.000000,0,0,0,0,7.16,0,6.66,7.41,0,0,12,0,0,7.17,0,0,21.5,0,0,0,0,12

13,03:00-03:15,57.580000,206.230000,25.530000,100.610000,0.000000,0.000000,28.770000,0.000000,35.200000,16.110000,25.530000,3.110000,0.000000,41.040000,2.960000,2.990000,8.480000,273.050000,0.000000,0,0,0,0,7.16,0,6.66,7.41,0,0,12,0,0,7.17,0,0,21.5,0,0,0,0,12

14,03:15-03:30,57.580000,206.230000,25.530000,100.610000,0.000000,0.000000,28.770000,0.000000,35.200000,16.110000,25.530000,3.110000,0.000000,41.040000,2.960000,2.990000,8.480000,273.050000,0.000000,0,0,0,0,7.16,0,6.66,7.41,0,0,12,0,0,7.17,0,0,21.5,0,0,0,0,12

15,03:30-03:45,57.580000,206.230000,25.530000,100.610000,0.000000,0.000000,28.770000,0.000000,35.200000,16.110000,25.530000,3.110000,0.000000,41.040000,2.960000,2.990000,8.480000,273.050000,0.000000,0,0,0,0,7.16,0,6.66,7.41,0,0,12,0,0,7.17,0,0,21.5,0,0,0,0,12

16,03:45-04:00,57.580000,206.230000,25.530000,100.610000,0.000000,0.000000,28.770000,0.000000,35.200000,16.110000,25.530000,3.110000,0.000000,41.040000,2.960000,2.990000,8.480000,273.050000,0.000000,0,0,0,0,7.16,0,6.66,7.41,0,0,12,0,0,7.17,0,0,21.5,0,0,0,0,12

17,04:00-04:15,57.580000,206.230000,25.530000,100.610000,0.000000,0.000000,29.270000,0.000000,35.200000,16.110000,25.530000,3.110000,0.000000,41.040000,2.960000,2.990000,8.390000,273.050000,0.000000,0,0,0,0,7.16,0,6.66,7.41,0,0,12,0,0,7.17,0,0,21.5,0,0,0,0,12

18,04:15-04:30,57.580000,206.230000,25.530000,100.610000,0.000000,0.000000,29.270000,0.000000,35.200000,16.110000,25.530000,3.110000,0.000000,41.040000,2.960000,2.990000,8.390000,273.050000,0.000000,0,0,0,0,7.16,0,6.66,7.41,0,0,12,0,0,7.17,0,0,21.5,0,0,0,0,12

19,04:30-04:45,57.580000,206.230000,25.530000,86.910000,0.000000,0.000000,29.770000,0.000000,35.200000,16.110000,25.530000,3.110000,0.000000,41.040000,2.960000,2.990000,8.390000,273.050000,0.000000,0,0,0,0,7.16,0,6.66,10.01,0,0,12,0,0,7.17,0,0,21.5,0,0,0,0,12

20,04:45-05:00,57.580000,206.230000,25.530000,86.910000,0.000000,0.000000,29.770000,0.000000,35.200000,16.110000,25.530000,3.110000,0.000000,41.040000,2.960000,2.990000,8.390000,273.050000,0.000000,0,0,0,0,7.16,0,6.66,10.01,0,0,12,0,0,7.17,0,0,21.5,0,0,0,0,12

21,05:00-05:15,57.180000,206.230000,25.530000,77.260000,0.000000,0.000000,30.270000,0.000000,35.200000,16.110000,25.530000,3.020000,0.000000,41.040000,2.960000,2.990000,8.300000,273.050000,0.000000,0,0,0,0,7.16,0,6.66,10.01,0,0,12,0,0,7.17,0,0,21.5,0,0,0,0,12

