Column1,Block,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/9061,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/1868,GNA/NR/2024/11/01/5474,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/4503,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/3646,NR/2024/23869/C,NR/2024/23420/A/42524,NR/2024/23845/A/42551,WR/2024/24788/A/42665,NR/2024/23769/A/42517,NR/2024/23809/A/42516,NR/2024/23874/C,NR/2024/23875/C,Total
,,MANIKARAN,APPCPL,NDMC,PUNJAB,NDMC,NDMC,NDMC,PTC,DELHI,NDMC,BAWANA_GAS,NDMC,PTC,NVVNL,ITCLH,DIAPL,APPCPL,IEXL,IEXL,SJVNL,SJVNL,
,,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,NA,NA,DELHI_UT,HIMACHAL_STATE,NA,DELHI_UT,NA,DELHI_UT,NA,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,DELHI_UT,KARNATAKA_STATE,KARNATAKA_STATE,NA,NA,
,,BRPL,BYPL,JPL2,BAWANA_GAS,RKM_POWER,RKM_POWER,SKS_Raigarh,BRPL,CHANJUII,TRN_ENERGY,BAWANA_GAS,JITPL,BYPL,SOLAPUR_SOLAR,ITCWIND,GBHHPL,BRPL,NSLSUGAR,NSLSTUNGBHDRA,TPSL_BKN2,RSRPL_BKN,
,,MSEB_State,MSEB_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,AEML,AEML,NDMC,PUNJAB,NDMC,NDMC,NDMC,HP,TPDDL,NDMC,HARYANA,NDMC,HP,MES_Delhi,ITCLH,DIAPL,GOA_Beneficiary,MES_Delhi,MES_Delhi,NDMC,NDMC,
,,North-West,North-West,West-North,North-North,West-North,West-North,West-North,North-North,North-North,West-North,North-North,East-North,North-North,West-North,South-West-North,North-North,North-West,South-West-North,South-West-North,North-North,North-North,
1,00:00-00:15,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.57,8.72,26.91,17.45,87.2,0,0.48,1.92,0,5.76,4.8,0,0,532.56

2,00:15-00:30,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.57,8.72,26.91,17.45,87.2,0,0.48,1.92,0,5.76,4.8,0,0,532.56

3,00:30-00:45,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.57,8.72,26.91,17.45,87.2,0,0.48,1.92,0,5.76,4.8,0,0,532.56

4,00:45-01:00,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.57,8.72,26.91,17.45,87.2,0,0.48,1.92,0,5.76,4.8,0,0,532.56

5,01:00-01:15,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.57,8.72,26.91,17.45,87.2,0,0.48,1.92,0,5.76,4.8,0,0,532.56

6,01:15-01:30,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.57,8.72,26.91,17.45,87.2,0,0.48,1.92,0,5.76,4.8,0,0,532.56

7,01:30-01:45,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.57,8.72,26.91,17.45,87.2,0,0.48,1.92,0,5.76,4.8,0,0,532.56

8,01:45-02:00,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.57,8.72,26.91,17.45,87.2,0,0.48,1.92,0,5.76,4.8,0,0,532.56

9,02:00-02:15,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.57,8.72,26.91,17.45,87.2,0,0.48,1.92,0,5.76,4.8,0,0,532.56

10,02:15-02:30,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.57,8.72,26.91,17.45,87.2,0,0.48,1.92,0,5.76,4.8,0,0,532.56

11,02:30-02:45,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.57,8.72,26.91,17.45,87.2,0,0.48,1.92,0,5.76,4.8,0,0,532.56

12,02:45-03:00,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.57,8.72,26.91,17.45,87.2,0,0.48,1.92,0,5.76,4.8,0,0,532.56

13,03:00-03:15,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.57,8.72,26.91,17.45,87.2,0,0.43,1.92,0,5.76,4.8,0,0,532.5099999999999

