Time,Block,NR/2024/18388/A/5784,NR/2024/18719/C,NR/2024/18691/A/5930,NER/2024/2023/A/5902,WR/2024/21740/A/5926,WR/2024/21675/A/5905,NR/2024/18718/C,WR/2024/21710/A/5928,Total
,,ITCLH,SJVNL,MANIKARAN,APPCPL,MANIKARAN,APPCPL,NVVNL,MANIKARAN,Total

,,ANDHRA PRADESH,TELANGANA,DELHI,DELHI,DELHI,DELHI,NA,DELHI,
,,ITCWIND,NSLKSLWPRTY,BRPL,BRPL,BYPL,BRPL,SOLAPUR_SOLAR,BRPL,
,,DELHI,DELHI,HIMACHAL PRADESH,MANIPUR,MAHARASHTRA,GOA,DELHI,GOA,
,,ITCLH,NDMC,HP,Manipur_Ben,AEML,GOA_Beneficiary,MES (Delhi),GOA_Beneficiary,
,,South-West-North,South-East-North,North-North,North-East-North East,North-West,North-West,West-North,North-West,
1,00:00-00:15,0.390000,0.000000,0.000000,25.000000,100.000000,0.000000,0,0.000000,125.39

2,00:15-00:30,0.390000,0.000000,0.000000,25.000000,100.000000,0.000000,0,0.000000,125.39

3,00:30-00:45,0.390000,0.000000,0.000000,25.000000,100.000000,0.000000,0,0.000000,125.39

4,00:45-01:00,0.390000,0.000000,0.000000,25.000000,100.000000,0.000000,0,0.000000,125.39

5,01:00-01:15,0.390000,0.000000,0.000000,25.000000,100.000000,0.000000,0,0.000000,125.39

6,01:15-01:30,0.390000,0.000000,0.000000,25.000000,100.000000,0.000000,0,0.000000,125.39

7,01:30-01:45,0.390000,0.000000,0.000000,25.000000,100.000000,0.000000,0,0.000000,125.39

8,01:45-02:00,0.390000,0.000000,0.000000,25.000000,100.000000,0.000000,0,0.000000,125.39

9,02:00-02:15,0.390000,0.000000,0.000000,25.000000,100.000000,0.000000,0,0.000000,125.39

10,02:15-02:30,0.390000,0.000000,0.000000,25.000000,100.000000,0.000000,0,0.000000,125.39

11,02:30-02:45,0.390000,0.000000,0.000000,25.000000,100.000000,0.000000,0,0.000000,125.39

