Block,Time,NR/01102023/30042040/GNA_LT_35,NR/01032024/22032024/HP-59,NR/30092023/31122025/SH-07,NR/01032024/22032024/HP-56,NR/01102023/22052037/LT-59,NR/01012024/31032024/ ChanjuII,NR/01102023/06022042/L_NR_2012_02,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01032024/31032024/NVVN/OA/16997,NR/01032024/15032024/HP-62,NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01032024/31032024/SJVN010324NR1590,SR/01102023/07102043/L_NR_2018_61,SR/01032024/15032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,NR/26072023/25122043/L_NR_2023_10,NR/01032024/31032024/SJVN010324NR1588,NR/01102023/08032047/L_NR_2021_14,NR/01102023/31052040/LT-31,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,WR/01032024/15032024/TPDDL/PMG/MSEDCL/Banking/12112023,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_16,NR/04032024/04032024/DD20240304NR23128,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/01102023/L_NR_2020_06,NR/01102023/14082046/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2022_09,NR/01032024/31032024/SJVN010324NR1589,NR/01102023/02012046/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,NR/01102023/05012040/L_NR_2020_02,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,SR/01032024/15032024/BYPL-APPCPL-KSEB,NR/01102023/30042040/GNA_LT_36,WR/01102023/16072048/L_NR_2022_08,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023
1,00:00-00:15,0.000000,32.760000,25.980000,76.530000,1.550000,5.880000,103.010000,0.000000,48.140000,98.210000,181.950000,33.020000,52.950000,38.510000,25.980000,0.950000,0,0,7.41,96.27,0,0,0,0.000000,0,0,0,0,144.405000,0,11.67,0,0.000000,24.070000,11.66,0,0,0,22.67,0,0,35,0.000000,0,22.67,96.27,0.000000,8.34,48.14

2,00:15-00:30,0.000000,32.760000,25.980000,76.530000,1.550000,5.880000,103.010000,0.000000,48.140000,98.210000,181.950000,33.020000,52.950000,38.510000,25.980000,0.950000,0,0,7.41,96.27,0,0,0,0.000000,0,0,0,0,144.405000,0,11.33,0,0.000000,24.070000,11.34,0,0,0,22,0,0,34,0.000000,0,22,96.27,0.000000,8,48.14

3,00:30-00:45,0.000000,32.760000,25.980000,76.530000,1.550000,5.880000,103.010000,0.000000,48.140000,98.210000,181.950000,33.020000,52.950000,38.510000,25.980000,0.950000,0,0,7.41,96.27,0,0,0,0.000000,0,0,0,0,144.405000,0,10.83,0,0.000000,24.070000,10.84,0,0,0,21.33,0,0,32.5,0.000000,0,21.33,96.27,0.000000,7.66,48.14

4,00:45-01:00,0.000000,32.760000,25.980000,76.530000,1.550000,5.880000,103.010000,0.000000,48.140000,98.210000,181.950000,33.020000,52.950000,38.510000,25.980000,0.950000,0,0,7.41,96.27,0,0,0,0.000000,0,0,0,0,144.405000,0,10.33,0,0.000000,24.070000,10.34,0,0,0,20.67,0,0,31,0.000000,0,20.67,96.27,0.000000,7.34,48.14

5,01:00-01:15,0.000000,32.760000,25.980000,76.530000,1.550000,5.880000,103.010000,0.000000,48.140000,98.210000,181.950000,33.020000,52.950000,38.510000,25.980000,0.950000,0,0,7.41,96.27,0,0,0,0.000000,0,0,0,0,144.405000,0,10,0,0.000000,25.030000,10,0,0,0,20,0,0,30,0.000000,0,20,96.27,0.000000,7,48.14

