Column1,Time,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/NR/2024/12/20/3668,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/3469,GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/9606,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/2563,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/6891,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/5143,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/1906,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,GNARE/SR/2025/01/13/4532,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06
1,00:00-00:15,15.83,0,33,0,47.51,10.66,0,0,0,6.75,42,0,200,23.41,272.49,100.4,86.93,2.05,23.41,6.75,79.27,32,237.82,3.11,0,258.18,17.35,23.41,3.31,0,32,29.27,6.6,0,115.26,0,0,0,0,0,0,3,33,0,0,0,15.83

2,00:15-00:30,15.33,0,32.66,0,46.01,10.34,0,0,0,6.75,42,0,200,23.41,272.49,100.4,86.93,2.05,23.41,6.75,79.27,32,237.82,3.11,0,258.18,17.35,23.41,3.31,0,32,29.78,6.6,0,115.26,0,0,0,0,0,0,3,32.67,0,0,0,15.33

3,00:30-00:45,15.17,0,32.34,0,45.49,10,0,0,0,6.75,42,0,200,23.41,272.49,100.4,86.93,2.05,23.41,6.75,79.27,32,237.82,3.11,0,258.18,17.35,23.41,3.31,0,32,30.28,6.6,0,115.26,0,0,0,0,0,0,3,32.33,0,0,0,15.17

4,00:45-01:00,14.83,0,32,0,44.51,9.66,0,0,0,6.75,42,0,200,23.41,272.49,100.4,86.93,2.05,23.41,6.75,79.27,32,237.82,3.11,0,258.18,17.35,23.41,3.31,0,32,30.78,6.6,0,115.26,0,0,0,0,0,0,3,32,0,0,0,14.83

5,01:00-01:15,14.5,0,30.34,0,43.5,9.34,0,0,0,6.75,42,0,200,23.41,272.49,100.4,86.93,2.05,23.41,6.75,79.27,32,237.82,3.11,0,258.18,17.35,23.41,3.23,0,32,30.78,6.6,0,115.26,0,0,0,0,0,0,3,30.33,0,0,0,14.5

6,01:15-01:30,14.17,0,29,0,42.49,9,0,0,0,6.75,42,0,200,23.41,272.49,100.4,86.93,2.05,23.41,6.75,79.27,32,237.82,3.11,0,258.18,17.35,23.41,3.23,0,32,30.78,6.6,0,115.26,0,0,0,0,0,0,3,29,0,0,0,14.17

7,01:30-01:45,13.83,0,27.34,0,41.51,8.66,0,0,0,6.75,42,0,200,23.41,272.49,100.4,86.93,2.05,23.41,6.75,79.27,26.99,237.82,3.11,0,258.18,17.35,23.41,3.23,0,26.99,30.78,6.6,0,115.26,0,0,0,0,0,0,3,27.33,0,0,0,13.83

8,01:45-02:00,13.67,0,25.34,0,40.99,8.34,0,0,0,6.75,42,0,200,23.41,272.49,100.4,86.93,2.05,23.41,6.75,79.27,26.99,237.82,3.11,0,258.18,17.35,23.41,3.23,0,26.99,30.78,6.6,0,115.26,0,0,0,0,0,0,3,25.33,0,0,0,13.67

9,02:00-02:15,14.17,0,22.34,0,42.49,7.66,0,0,0,6.75,42,0,0,23.41,272.49,100.4,86.93,2.05,23.41,6.75,79.27,26.99,237.82,3.11,0,258.18,17.35,23.41,3.15,0,26.99,30.28,6.6,0,70.28,0,0,0,0,0,0,3,22.33,0,0,0,14.17

