Block,Time,DHAULIGNGA,UNCHAHAR2,AURY_CRF,CHAMERA1,DADRI_RF,CHAMERA2,SEWA2,UNCHAHAR1,NJPC,TANDA2,ANTA_RF,RAPPB,CHAMERA3,TANAKPUR,URI2,RAPPC,NAPP,ANTA_LF,SINGRAULI,JHAJJAR,DADRI_GF,ANTA_CRF,DULHASTI,BSIUL,RAMPUR,DADRI_LF,SINGRAULI_HYDRO,URI,KOTESHWR,AURY_RF,UNCHAHAR4,KISHANGANGA,SALAL,PARBATI3,RIHAND3,AURY_GF,DADRT2,UNCHAHAR3,DADRI_CRF,KOLDAM,TEHRI,ANTA_GF,RIHAND2,AURY_LF,RIHAND1,KHSTPP-I,TALA,SASAN,FSTPP I & II,BRBCL,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,20.994509,42.154524,0.000000,40.744549,24.167500,46.884784,18.174556,21.489741,106.428525,5.179665,22.551027,0.000000,33.671372,9.782907,33.984178,66.213651,48.492468,0.000000,139.774138,164.700319,0.000000,0.000000,57.204862,18.910972,4.109054,0.000000,0.759987,33.617959,9.472608,46.156674,1.440383,5.375272,76.732992,3.687350,123.138246,0.000000,662.688266,26.138583,0.000000,6.724464,30.811169,0.000000,117.434716,0.000000,50.286091,44.853991,0.000000,399.941916,12.765274,19.334006,126.769776,0,0,0,0,0

2,00:15-00:30,20.994509,42.154524,0.000000,40.744549,24.167500,46.884784,18.174556,21.489741,106.428525,5.179665,30.870418,0.000000,33.671372,9.782907,33.984178,66.213651,48.492468,0.000000,139.774138,164.700319,0.000000,0.000000,57.204862,18.910972,4.109054,0.000000,0.759987,33.617959,9.472608,58.115131,1.440383,5.375272,76.732992,3.687350,123.138246,0.000000,662.688266,26.138583,0.000000,6.724464,30.040890,0.000000,117.434716,0.000000,50.286091,44.853991,0.000000,400.213800,12.765274,18.485983,143.361610,0,0,0,0,0

3,00:30-00:45,20.994509,42.154524,0.000000,40.744549,24.167500,46.884784,18.174556,21.489741,106.428525,5.179665,30.870418,0.000000,33.671372,2.972022,33.984178,66.213651,48.492468,0.000000,139.774138,164.700319,0.000000,0.000000,57.204862,18.910972,4.109054,0.000000,0.759987,33.617959,9.472608,58.115131,1.440383,5.375272,76.732992,3.687350,123.138246,0.000000,662.688266,26.138583,0.000000,6.724464,30.040890,0.000000,117.434716,0.000000,50.286091,44.853991,0.000000,400.213800,12.765274,17.505244,143.361610,0,0,0,0,0

4,00:45-01:00,20.994509,42.154524,0.000000,40.744549,24.167500,46.884784,18.174556,21.489741,106.428525,5.179665,30.870418,0.000000,33.671372,1.733680,33.984178,66.213651,48.492468,0.000000,139.774138,164.700319,0.000000,0.000000,57.204862,18.910972,4.109054,0.000000,0.759987,33.617959,9.472608,58.115131,1.440383,5.375272,49.425438,3.687350,123.138246,0.000000,662.688266,26.138583,0.000000,6.724464,30.040890,0.000000,117.434716,0.000000,50.286091,44.853991,0.000000,400.213800,12.765274,14.946753,143.361610,0,0,0,0,0

5,01:00-01:15,20.994509,42.154524,0.000000,40.744549,24.167500,46.884784,18.174556,21.489741,106.428525,5.179665,30.870418,0.000000,33.671372,1.733680,33.984178,66.213651,48.492468,0.000000,139.774138,164.700319,0.000000,0.000000,57.204862,18.910972,4.109054,0.000000,0.759987,33.617959,20.059640,26.214031,1.440383,5.375272,49.425438,3.687350,123.138246,0.000000,662.688266,26.138583,0.000000,6.724464,20.027260,0.000000,117.434716,0.000000,50.286091,41.955263,0.000000,400.213800,11.767639,14.241428,133.857016,0,0,0,0,0

