Block,Time,KOTESHWR,AURY_LF,PARBATI3,DADRI_LF,URI,AURY_RF,DADRI_CRF,RIHAND1,UNCHAHAR4,RAPPB,KISHANGANGA,DADRI_GF,CHAMERA1,TEHRI,NJPC,ANTA_GF,SALAL,RIHAND2,AURY_GF,ANTA_CRF,DADRI_RF,JHAJJAR,DULHASTI,UNCHAHAR3,SINGRAULI_HYDRO,RIHAND3,AURY_CRF,KOLDAM,URI2,UNCHAHAR2,NAPP,TANAKPUR,KHSTPP-I,BRBCL,TALA,SASAN,UNCHAHAR1,CHAMERA3,BSIUL,SINGRAULI,SEWA2,ANTA_LF,DHAULIGNGA,KHSTPP-II,DADRT2,RAMPUR,FSTPP I & II,ANTA_RF,TANDA2,RAPPC,CHAMERA2,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,8.555423,0.000000,0.000000,0.000000,10.643664,0.000000,0.000000,88.697200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.240568,113.884312,0.000000,0.000000,0.000000,116.656100,15.887261,25.443476,0.571740,119.226029,0.000000,0.000000,5.187629,30.258086,0.000000,3.087530,32.149361,19.281969,0.000000,403.736157,19.818040,0.000000,0.000000,117.138150,0.000000,0.000000,0.000000,70.542522,176.430300,0.000000,14.818217,0.000000,0.000000,52.118668,0.000000,63.63,0,0,0,0,0

2,00:15-00:30,8.555423,0.000000,0.000000,0.000000,47.896488,0.000000,0.000000,88.697200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.240568,113.884312,0.000000,0.000000,0.000000,116.656100,15.887261,25.443476,0.571740,119.226029,0.000000,0.000000,5.187629,24.698025,0.000000,3.087530,32.149361,19.281969,0.000000,403.736157,19.818040,0.000000,0.000000,117.138150,0.000000,0.000000,0.000000,70.542522,176.430300,0.000000,10.272217,0.000000,0.000000,52.118668,0.000000,61.70,0,0,0,0,0

3,00:30-00:45,8.555423,0.000000,0.000000,0.000000,47.896488,0.000000,0.000000,88.697200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.323126,113.884312,0.000000,0.000000,0.000000,116.656100,15.887261,25.443476,0.571740,119.226029,0.000000,0.000000,23.863095,24.698025,0.000000,3.705036,32.149361,18.204115,0.000000,403.736157,19.818040,0.000000,0.000000,117.138150,0.000000,0.000000,0.000000,70.542522,176.430300,0.000000,9.741845,0.000000,0.000000,52.118668,0.000000,59.77,0,0,0,0,0

4,00:45-01:00,8.555423,0.000000,0.000000,0.000000,6.386198,0.000000,0.000000,88.697200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.526614,113.884312,0.000000,0.000000,0.000000,116.656100,15.887261,25.443476,0.571740,119.226029,0.000000,0.000000,23.863095,16.389700,0.000000,3.705036,32.149361,15.412465,0.000000,403.736157,19.818040,0.000000,0.000000,117.138150,0.000000,0.000000,0.000000,70.542522,176.430300,0.000000,4.820500,0.000000,0.000000,52.118668,0.000000,58.81,0,0,0,0,0

5,01:00-01:15,8.555423,0.000000,0.000000,0.000000,6.386198,0.000000,0.000000,88.697200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.526614,113.884312,0.000000,0.000000,0.000000,116.656100,15.887261,25.443476,0.571740,119.226029,0.000000,0.000000,23.863095,16.389700,0.000000,3.705036,32.149361,14.702401,0.000000,403.736157,19.818040,0.000000,0.000000,117.138150,0.000000,0.000000,0.000000,70.542522,176.430300,0.000000,4.820500,0.000000,0.000000,52.118668,0.000000,57.85,0,0,0,0,0

