Block,Time,SH-06,L_NR_2012_07,LT_MEJA_Delhi,L_NR_2012_01,L_NR_2020_02,LT-05,LT-31,L_NR_2012_02,L_NR_2019_19,LT-36,L_NR_2019_11,LT-35,SH-07,L_NR_2012_04,LT-59,L_NR_2021_17,L_NR_2022_09,L_NR_2021_12,L_NR_2020_06,L_NR_2018_61,L_NR_2020_07,L_NR_2020_05,L_NR_2021_13,L_NR_2019_06,L_NR_2022_10,L_NR_2022_08,L_NR_2021_16,L_NR_2019_07,L_NR_2021_14,L_NR_2021_15,L_NR_2019_05
1,00:00-00:15,30.340000,73.870000,6.680000,100.910000,6.480000,115.660000,0.000000,130.330000,0.000000,0.000000,6.510000,0.000000,30.340000,270.930000,6.430000,0,48.45,0,25.48,6.9,25.48,76.44,0,0,48.45,11.88,0,0,0,0,0

2,00:15-00:30,30.340000,73.870000,6.680000,100.910000,6.480000,115.660000,0.000000,130.330000,0.000000,0.000000,6.510000,0.000000,30.340000,270.930000,6.430000,0,48,0,25.56,6.91,25.56,76.68,0,0,48,11.66,0,0,0,0,0

3,00:30-00:45,30.340000,73.870000,6.680000,100.910000,6.480000,115.660000,0.000000,130.330000,0.000000,0.000000,6.510000,0.000000,30.340000,270.930000,6.430000,0,59.28,0,28.61,6.93,28.62,85.84,0,0,59.28,13.66,0,0,0,0,0

4,00:45-01:00,30.340000,73.870000,6.680000,100.910000,6.480000,115.660000,0.000000,130.330000,0.000000,0.000000,6.510000,0.000000,30.340000,270.930000,6.430000,0,58.94,0,28.68,6.95,28.69,86.05,0,0,58.94,13.5,0,0,0,0,0

5,01:00-01:15,30.340000,73.870000,6.570000,100.910000,6.300000,115.660000,0.000000,130.330000,0.000000,0.000000,6.510000,0.000000,30.340000,270.930000,6.430000,0,58.97,0,28.51,6.98,28.51,85.54,0,0,58.97,13.25,0,0,0,0,0

6,01:15-01:30,30.340000,73.870000,6.570000,100.910000,6.300000,115.660000,0.000000,130.330000,0.000000,0.000000,6.510000,0.000000,30.340000,270.930000,6.430000,0,58.35,0,28.34,6.99,28.33,85.01,0,0,58.35,13.02,0,0,0,0,0

7,01:30-01:45,30.340000,73.870000,6.570000,100.910000,6.300000,115.660000,0.000000,130.330000,0.000000,0.000000,6.510000,0.000000,30.340000,270.930000,6.430000,0,57.66,0,28.12,6.92,28.11,84.35,0,0,57.66,12.68,0,0,0,0,0

8,01:45-02:00,30.340000,73.870000,6.570000,100.910000,6.300000,115.660000,0.000000,130.330000,0.000000,0.000000,6.510000,0.000000,30.340000,270.930000,6.430000,0,46.73,0,27.85,6.99,27.85,83.54,0,0,46.73,12.32,0,0,0,0,0

9,02:00-02:15,30.340000,73.870000,6.570000,100.910000,6.120000,115.660000,0.000000,130.330000,0.000000,0.000000,6.510000,0.000000,0.000000,270.930000,5.910000,0,46.84,0,23.03,6.94,23.03,69.09,0,0,46.84,9.98,0,0,0,0,0

10,02:15-02:30,30.340000,73.870000,6.570000,100.910000,6.120000,115.660000,0.000000,130.330000,0.000000,0.000000,6.510000,0.000000,0.000000,270.930000,5.910000,0,46.93,0,23.18,6.97,23.17,69.53,0,0,46.93,9.91,0,0,0,0,0

11,02:30-02:45,30.340000,73.870000,6.570000,100.910000,6.120000,115.660000,0.000000,130.330000,0.000000,0.000000,6.510000,0.000000,0.000000,270.930000,5.910000,0,47.03,0,23.31,6.81,23.29,69.92,0,0,47.03,9.83,0,0,0,0,0

12,02:45-03:00,30.340000,73.870000,6.570000,100.910000,6.120000,115.660000,0.000000,130.330000,0.000000,0.000000,6.510000,0.000000,9.910000,270.930000,5.910000,0,47.12,0,23.51,6.97,23.5,70.52,0,0,47.12,9.75,0,0,0,0,0

13,03:00-03:15,30.340000,73.870000,6.620000,100.910000,5.920000,115.660000,0.000000,130.330000,0.000000,0.000000,6.360000,0.000000,21.180000,270.930000,5.910000,0,38.55,0,16.14,6.93,16.13,48.42,0,0,38.55,9.68,0,0,0,0,0

14,03:15-03:30,30.340000,73.870000,6.620000,100.910000,5.920000,115.660000,0.000000,130.330000,0.000000,0.000000,6.360000,0.000000,21.180000,270.930000,5.910000,0,38.78,0,16.12,6.82,16.13,48.37,0,0,38.78,7.82,0,0,0,0,0

15,03:30-03:45,30.340000,73.870000,6.620000,100.910000,5.920000,115.660000,0.000000,130.330000,0.000000,0.000000,6.360000,0.000000,21.180000,270.930000,5.740000,0,38.97,0,15.65,6.99,15.65,46.94,0,0,38.97,7.41,0,0,0,0,0

16,03:45-04:00,30.340000,73.870000,6.620000,100.910000,5.920000,115.660000,0.000000,130.330000,0.000000,0.000000,6.360000,0.000000,21.180000,270.930000,5.740000,0,38.23,0,14.97,6.96,14.97,44.9,0,0,38.23,7.02,0,0,0,0,0

