Time,Block,NR/2023/14767/D,NR/2023/13283/A,NR/2023/11739/A,NR/2023/13983/F,NR/2023/11325/A,NR/2023/11203/A,NR/2023/14766/D,NR/2023/11524/A,NR/2023/14770/D,NR/2023/11315/A,NR/2023/14779/C,NR/2023/11469/A,NR/2023/11521/A,NR/2023/12646/A,NR/2023/14785/C,NR/2023/11697/A,NR/2023/11264/A,NR/2023/14136/F,NR/2023/11654/A,NR/2023/13284/A,NR/2023/13859/A,NR/2023/11458/A,NR/2023/11892/A,NR/2023/11954/A,NR/2023/13858/A,NR/2023/11204/A,NR/2023/11328/A,NR/2023/14778/C,ER/2023/9054/C,NR/2023/14765/D,NR/2023/14768/D,NR/2023/13573/A,NR/2023/11205/A,NR/2023/11470/A,NR/2023/13573/A/II,NR/2023/14187/F,NR/2023/13283/A/II,WR/2023/17189/C,NR/2023/13983/F/II,Total
,,TS1PL_BKN,APPCPL,NVVNL,ITCLH,APPCPL,KEIPL,TS1PL_BKN,PTC,NVVNL,GMRETL,IEXL,NVVNL,PTC,MANIKARAN,PXIL,APPCPL,TPTCL,SJVNL,TPTCL,APPCPL,MANIKARAN,STATKRAFT,TPTCL,KEIPL,MANIKARAN,KEIPL,APPCPL,TPDDL,HPXL,NVVNL,KEIPL,NVVNL,KEIPL,NVVNL,NVVNL,GBHHPL,APPCPL,IEXL,ITCLH,Total

,,NA,GOA,MP,ANDHRA PRADESH,MEGHALAYA,MEGHALAYA,NA,NA,NA,MEGHALAYA,KARNATAKA,NA,NA,TAMIL NADU,DELHI,HIMACHAL PRADESH,NA,WEST BENGAL,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,MAHARASHTRA,MEGHALAYA,HIMACHAL PRADESH,KERALA,UTTARAKHAND,HIMACHAL PRADESH,DELHI,NA,MAHARASHTRA,NA,KERALA,NA,NA,HIMACHAL PRADESH,GOA,DELHI,ANDHRA PRADESH,
,,TS1PL_BKN,GOA_Beneficiary,JP BINA,ITCWIND,Meghalaya_Ben,Meghalaya_Ben,TS1PL_BKN,JPL-2,SOLAPUR_SOLAR,Meghalaya_Ben,NSLSUGAR,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,TANGEDCO,BYPL,HP,KWHEP,IPCL_WB,JPL-2,HP,HP,TANGEDCO,TPC MSEB,Meghalaya_Ben,HP,KSEB,UTTARAKHAND,CHANJUII,BYPL,KAMENG,LMEL MSEB,SKS Raigarh,KSEB,KAMENG,SKS Raigarh,GBHHPL,GOA_Beneficiary,BYPL,ITCWIND,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,AMNSIL_WR,DELHI,
,,BRPL,BRPL,BRPL,ITCLH,BYPL,BYPL,BYPL,TPDDL,MES (Delhi),BYPL,MES (Delhi),BRPL,TPDDL,BRPL,ASIL_UP,BYPL,BRPL,NDMC,BRPL,BRPL,BRPL,BYPL,BYPL,BYPL,BRPL,BYPL,BYPL,TPDDL,VLSEZ,TPDDL,BYPL,NDMC,BRPL,BRPL,NDMC,DIAPL,BRPL,AMNSIL,ITCLH,
,,North-North,West-North,West-North,South-East-North,North East-East-North,North East-East-North,North-North,West-North,West-North,North East-East-North,South-West-North,West-North,West-North,South-West-North,North-North,North-North,North-North,East-North,West-North,North-North,North-North,South-West-North,West-North,North East-East-North,North-North,South-East-North,North-North,North-North,North-East,North East-East-North,West-North,West-North,South-East-North,North East-East-North,West-East-North,North-North,West-East-North,North-East-West,South-West-North,
1,00:00-00:15,0,22.970000,42.430000,0.870000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,23.080000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,98.390000,66.360000,36.390000,77.170000,82.960000,48.230000,5.450000,0.000000,192.920000,0.000000,50.520000,231.610000,21.220000,2.540000,3.860000,1.150000,60.000000,0.000000,2058.81

2,00:15-00:30,0,22.970000,42.430000,0.870000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,23.080000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,98.390000,66.360000,36.390000,77.170000,82.960000,48.230000,5.450000,0.000000,192.920000,0.000000,50.520000,231.610000,21.220000,2.540000,3.860000,1.150000,60.000000,0.000000,2058.81

3,00:30-00:45,0,22.970000,42.430000,0.870000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,23.080000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,98.390000,66.360000,36.390000,77.170000,82.960000,48.230000,5.450000,0.000000,192.920000,0.000000,50.520000,231.610000,21.220000,2.540000,3.860000,1.150000,60.000000,0.000000,2058.81

4,00:45-01:00,0,22.970000,42.430000,0.870000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,23.080000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,98.390000,66.360000,36.390000,77.170000,82.960000,48.230000,5.450000,0.000000,192.920000,0.000000,50.520000,231.610000,21.220000,2.540000,3.860000,1.150000,60.000000,0.000000,2058.81

5,01:00-01:15,0,22.970000,42.430000,0.680000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,23.080000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,98.390000,66.360000,36.390000,77.170000,82.960000,48.230000,5.450000,0.000000,192.920000,0.000000,50.520000,231.610000,21.220000,2.540000,3.860000,1.150000,60.000000,0.000000,2058.62

6,01:15-01:30,0,22.970000,42.430000,0.680000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,23.080000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,98.390000,66.360000,36.390000,77.170000,82.960000,48.230000,5.450000,0.000000,192.920000,0.000000,50.520000,231.610000,21.220000,2.540000,3.860000,1.150000,60.000000,0.000000,2058.62

7,01:30-01:45,0,22.970000,42.430000,0.680000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,23.080000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,98.390000,66.360000,36.390000,77.170000,82.960000,48.230000,5.450000,0.000000,192.920000,0.000000,50.520000,231.610000,21.220000,2.540000,3.860000,1.150000,60.000000,0.000000,2058.62

8,01:45-02:00,0,22.970000,42.430000,0.680000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,23.080000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,98.390000,66.360000,36.390000,77.170000,82.960000,48.230000,5.450000,0.000000,192.920000,0.000000,50.520000,231.610000,21.220000,2.540000,3.860000,1.150000,60.000000,0.000000,2058.62

9,02:00-02:15,0,22.970000,42.430000,0.580000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,23.080000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,98.390000,66.360000,36.390000,77.170000,82.960000,48.230000,5.450000,0.000000,192.920000,0.000000,50.520000,231.610000,21.220000,2.540000,3.860000,1.150000,60.000000,0.000000,2058.52

10,02:15-02:30,0,22.970000,42.430000,0.580000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,23.080000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,98.390000,66.360000,36.390000,77.170000,82.960000,48.230000,5.450000,0.000000,192.920000,0.000000,50.520000,231.610000,21.220000,2.540000,3.860000,1.150000,60.000000,0.000000,2058.52

11,02:30-02:45,0,22.970000,42.430000,0.580000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,23.080000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,98.390000,66.360000,36.390000,77.170000,82.960000,48.230000,5.450000,0.000000,192.920000,0.000000,50.520000,231.610000,21.220000,2.540000,3.860000,1.150000,60.000000,0.000000,2058.52

12,02:45-03:00,0,22.970000,42.430000,0.580000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,23.080000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,98.390000,66.360000,36.390000,77.170000,82.960000,48.230000,5.450000,0.000000,192.920000,0.000000,50.520000,231.610000,21.220000,2.540000,3.860000,1.150000,60.000000,0.000000,2058.52

13,03:00-03:15,0,24.120000,42.430000,0.220000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,98.390000,0.000000,0.000000,77.170000,48.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,231.610000,21.220000,0.000000,3.860000,0.000000,60.000000,0.310000,1897.9

14,03:15-03:30,0,24.120000,42.430000,0.220000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,98.390000,0.000000,0.000000,77.170000,48.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,231.610000,21.220000,0.000000,3.860000,0.000000,60.000000,0.310000,1897.9

15,03:30-03:45,0,24.120000,42.430000,0.220000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,30.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,98.390000,0.000000,0.000000,77.170000,48.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,231.610000,21.220000,0.000000,3.860000,0.000000,60.000000,0.310000,1927.9

16,03:45-04:00,0,24.120000,42.430000,0.220000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,30.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,98.390000,0.000000,0.000000,77.170000,48.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,231.610000,21.220000,0.000000,3.860000,0.000000,60.000000,0.310000,1927.9

17,04:00-04:15,0,24.120000,42.430000,0.000000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,30.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,98.390000,0.000000,0.000000,77.170000,48.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,231.610000,21.220000,0.000000,3.860000,0.000000,60.000000,0.530000,1927.9

18,04:15-04:30,0,24.120000,42.430000,0.000000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,30.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,98.390000,0.000000,0.000000,77.170000,48.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,231.610000,21.220000,0.000000,3.860000,0.000000,60.000000,0.530000,1927.9

19,04:30-04:45,0,24.120000,42.430000,0.000000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,30.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,98.390000,0.000000,0.000000,77.170000,48.230000,48.230000,5.450000,50.000000,192.920000,0.000000,53.050000,231.610000,21.220000,0.000000,3.860000,0.000000,60.000000,0.530000,1977.9

20,04:45-05:00,0,24.120000,42.430000,0.000000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,30.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,98.390000,0.000000,0.000000,77.170000,48.230000,48.230000,5.450000,50.000000,192.920000,0.000000,53.050000,231.610000,21.220000,0.000000,3.860000,0.000000,60.000000,0.530000,1977.9

21,05:00-05:15,0,24.120000,42.430000,0.000000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,0.000000,0.000000,0.000000,77.170000,48.230000,48.230000,5.450000,50.000000,192.920000,0.000000,53.050000,231.610000,21.220000,0.000000,3.860000,0.000000,60.000000,0.530000,1849.51

22,05:15-05:30,0,24.120000,42.430000,0.000000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,0.000000,0.000000,0.000000,77.170000,48.230000,48.230000,5.450000,50.000000,192.920000,0.000000,53.050000,231.610000,21.220000,0.000000,3.860000,0.000000,60.000000,0.530000,1849.51

23,05:30-05:45,0,24.120000,42.430000,0.000000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,0.000000,0.000000,0.000000,77.170000,48.230000,48.230000,5.450000,50.000000,192.920000,0.000000,53.050000,231.610000,21.220000,0.000000,3.860000,0.000000,60.000000,0.530000,1849.51

24,05:45-06:00,0,24.120000,42.430000,0.000000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,0.000000,0.000000,0.000000,77.170000,48.230000,48.230000,5.450000,50.000000,192.920000,0.000000,53.050000,231.610000,21.220000,0.000000,3.860000,0.000000,60.000000,0.530000,1849.51

25,06:00-06:15,1.4,24.120000,42.430000,0.000000,24.120000,62.940000,0.6,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,0.000000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,0.000000,53.050000,15.750000,21.220000,0.000000,3.860000,0.000000,60.000000,0.680000,1502.69

26,06:15-06:30,6.3,24.120000,42.430000,0.000000,24.120000,62.940000,2.7,192.920000,0.1,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,0.000000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,0.000000,53.050000,15.750000,21.220000,0.000000,3.860000,0.000000,60.000000,0.680000,1509.79

27,06:30-06:45,10.5,24.120000,42.430000,0.000000,24.120000,62.940000,4.5,192.920000,0.51,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,0.000000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,0.000000,53.050000,15.750000,21.220000,0.000000,3.860000,0.000000,60.000000,0.680000,1516.2

28,06:45-07:00,17.5,24.120000,42.430000,0.000000,24.120000,62.940000,7.5,192.920000,0.89,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,0.000000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,0.000000,53.050000,15.750000,21.220000,0.000000,3.860000,0.000000,60.000000,0.680000,1526.58

29,07:00-07:15,24.5,24.120000,42.430000,0.000000,24.120000,62.940000,10.5,192.920000,1.31,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,0.000000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,0.000000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.680000,1504.1

30,07:15-07:30,24.5,24.120000,42.430000,0.000000,24.120000,62.940000,10.5,192.920000,1.77,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,0.000000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,0.000000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.680000,1504.56

31,07:30-07:45,38.5,24.120000,42.430000,0.000000,24.120000,62.940000,16.5,192.920000,2.32,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,0.000000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.680000,1543.44

32,07:45:08:00,52.5,24.120000,42.430000,0.000000,24.120000,62.940000,22.5,192.920000,2.79,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,0.000000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.680000,1563.91

33,08:00-08:15,61.6,24.120000,42.430000,0.000000,24.120000,62.940000,26.4,192.920000,2.89,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,0.000000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1577.29

