Block,Time Block,TANDA2,TANAKPUR,TelanganaSTPP,ANTA_GF,UNCHAHAR2,URI,TEHRI,ANTA_CRF,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,ANTA_LF,UNCHAHAR3,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,CHAMERA3,CHAMERA2,CHAMERA1,SINGRAULI_HYDRO,TALST2,SINGRAULI,TALA,SEWA2,SASAN,SIMHST2,SIMHST1,RAPPC,RSTPSU7,SALAL,RSTPSU1TO6,RIHAND3,RAPPB,RIHAND2,RIHAND1,NTPL,PARBATI3,RAMPUR,KKNP,KGSU3AND4,KHSTPP-II,KKNPPU2,KUDGI,KOLDAM,KISHANGANGA,KHSTPP-I,KOTESHWR,KGSU1AND2,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,JHAJJAR,MAPS,NAPP,NNTPP,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NJPC,BSIUL,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,5.53,0,0,22.39,1.07,0,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.88,0,0,335.27,0,0,51.21,0,1.34,0,104.39,0,91.84,75.94,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,19.21,0,0,0,0,0

2,00:15-00:30,0,5.53,0,0,22.39,1.07,0,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.63,0,0,335.27,0,0,51.21,0,1.34,0,87.09,0,91.84,60.75,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,19.21,0,0,0,0,0

3,00:30-00:45,0,5.53,0,0,22.39,1.07,0,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.63,0,0,335.27,0,0,51.21,0,1.34,0,87.09,0,91.84,60.75,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,19.21,0,0,0,0,0

4,00:45-01:00,0,5.53,0,0,22.39,1.07,0,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.63,0,0,335.27,0,0,51.21,0,1.34,0,87.09,0,91.84,60.75,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,15.57,0,0,0,0,0

5,01:00-01:15,0,5.53,0,0,22.39,1.07,0,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.63,0,0,335.27,0,0,51.21,0,1.34,0,87.09,0,91.84,60.75,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,13.51,0,0,0,0,0

6,01:15-01:30,0,5.53,0,0,22.39,1.07,0,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.63,0,0,335.27,0,0,51.21,0,1.34,0,87.09,0,91.84,60.75,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,13.75,0,0,0,0,0

7,01:30-01:45,0,0,0,0,22.39,1.07,0,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.63,0,0,335.27,0,0,51.21,0,1.34,0,87.09,0,91.84,60.75,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,13.5,0,0,0,0,0

8,01:45-02:00,0,0,0,0,22.39,1.07,0,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.63,0,0,335.27,0,0,51.21,0,1.34,0,87.09,0,91.84,60.75,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,14.18,0,0,0,0,0

9,02:00-02:15,0,0,0,0,22.39,1.07,0,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.39,0,0,335.27,0,0,51.21,0,1.34,0,87.09,0,91.84,60.75,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,14.91,0,0,0,0,0

10,02:15-02:30,0,0,0,0,22.39,1.07,0,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.39,0,0,335.27,0,0,51.21,0,1.34,0,87.09,0,91.84,60.75,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,15.1,0,0,0,0,0

11,02:30-02:45,0,0,0,0,22.39,1.07,0,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.39,0,0,335.27,0,0,51.21,0,1.34,0,87.09,0,91.84,60.75,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,13.87,0,0,0,0,0

12,02:45-03:00,0,0,0,0,22.39,1.07,0,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.39,0,0,335.27,0,0,51.21,0,1.34,0,87.09,0,91.84,60.75,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,14.28,0,0,0,0,0

13,03:00-03:15,0,0,0,0,22.39,1.07,0,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.39,0,0,335.27,0,0,51.21,0,1.34,0,87.09,0,91.84,60.75,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,16.9,0,0,0,0,0

14,03:15-03:30,0,0,0,0,22.39,1.07,0,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.39,0,0,335.27,0,0,51.21,0,1.34,0,87.09,0,91.84,60.75,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,17.18,0,0,0,0,0

15,03:30-03:45,0,0,0,0,22.39,1.07,0,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.39,0,0,335.27,0,0,51.21,0,1.34,0,87.09,0,91.84,60.75,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,15.79,0,0,0,0,0

16,03:45-04:00,0,0,0,0,22.39,1.07,0,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.39,0,0,335.27,0,0,51.21,0,1.34,0,87.09,0,91.84,60.75,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,16.96,0,0,0,0,0

17,04:00-04:15,0,0,0,0,22.39,1.07,0,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.55,0,0,335.27,0,0,51.21,0,1.34,0,119.43,0,114.08,88.38,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,17.25,0,0,0,0,0

18,04:15-04:30,0,0,0,0,22.39,1.07,0,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.01,0,0,335.27,0,0,51.21,0,1.34,0,119.43,0,114.08,88.38,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,19.21,0,0,0,0,0

19,04:30-04:45,0,0,0,0,22.39,1.07,0,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.01,0,0,335.27,0,0,51.21,0,1.34,0,119.43,0,114.08,88.38,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,19.21,0,0,0,0,0

20,04:45-05:00,0,0,0,0,22.39,1.07,14.34,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.01,0,0,335.27,0,0,51.21,0,1.34,0,119.43,0,114.08,88.38,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,19.21,0,0,0,0,0

21,05:00-05:15,0,0,0,0,22.39,1.07,14.34,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.01,0,0,335.27,0,0,51.21,0,1.34,0,119.43,0,114.08,88.38,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,19.21,0,0,0,0,0

22,05:15-05:30,0,0,0,0,22.39,1.07,28.69,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.01,0,0,335.27,0,0,51.21,0,1.34,0,119.43,0,114.08,88.38,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,0,0,19.21,0,0,0,0,0

23,05:30-05:45,0,0,0,0,22.39,1.07,28.69,0,6.47,0,0,4.14,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.01,0,0,335.27,0,0,51.21,0,1.34,0,119.43,0,114.08,88.38,0,0,0,0,0,52.24,0,0,0,0,18.39,8.53,0,0,11.05,15.83,365.2,345.73,0,41.96,0,0,0,0,0,22.47,0,19.21,0,0,0,0,0

24,05:45-06:00,0,0,0,0,30.52,1.07,28.69,0,7.92,0,0,4.14,0,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.01,0,0,335.27,0,0,51.21,0,1.34,0,119.43,0,114.08,88.38,0,0,0,0,0,72.15,0,0,0,0,24.48,8.53,0,0,15.03,15.83,399.79,349.16,0,41.96,0,0,0,0,0,22.47,0,19.21,0,0,0,0,0

25,06:00-06:15,0,0,0,0,34.64,1.07,28.69,0,8.92,0,0,4.14,0,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.01,0,0,335.27,0,0,51.21,0,1.34,0,119.43,0,114.08,88.38,0,3.67,0,0,0,87.23,0,0,0,0,32.37,8.53,0,0,19.25,15.83,470.88,357.8,0,41.96,0,0,0,0,0,44.95,0,19.21,0,0,0,0,0

26,06:15-06:30,0,0,0,0,40.36,1.07,28.69,0,9.87,0,0,4.14,0,25.35,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,121.01,0,0,335.27,0,0,51.21,0,1.34,0,119.43,0,114.08,88.38,0,15.9,0,0,0,94.93,0,0,0,0,32.37,8.53,0,0,19.98,15.83,509.81,467.66,0,41.96,0,0,0,0,0,67.41,0,19.21,0,0,0,0,0

27,06:30-06:45,0,0,0,0,40.72,1.07,44.85,0,9.87,0,0,4.14,0,25.35,0,0,0,0,0,0,0,0,0,9.29,12.65,11.54,0,0,121.01,0,0,335.27,0,0,51.21,0,1.34,0,119.43,0,114.08,88.38,0,15.9,0,0,0,94.98,0,0,0,0,32.37,17.05,0,7.61,19.98,31.66,606.81,550.28,0,41.96,0,0,0,0,0,89.88,2.11,19.21,0,0,0,0,0

28,06:45-07:00,0,0,0,0,40.72,1.07,59.79,0,9.87,0,0,4.14,0,25.35,0,0,0,0,0,0,0,0,0,18.62,25.3,11.77,0,0,121.01,0,7.59,335.27,0,0,51.21,0,1.34,0,119.43,0,114.08,88.38,0,15.9,0,0,0,94.98,0,0,0,0,32.37,28.42,0,26.33,19.98,31.66,655.96,624.42,0,41.96,0,0,0,0,0,112.36,12.53,19.21,0,0,0,0,0

29,07:00-07:15,0,0,0,0,40.72,1.07,59.79,0,9.87,0,0,4.14,0,25.35,0,0,0,0,0,0,0,0,0,18.62,25.3,27,0,0,121.01,0,7.59,335.27,0,0,51.21,0,1.34,0,119.43,0,114.08,88.38,0,15.9,0,0,0,94.98,0,0,0,0,32.37,28.42,0,26.33,19.98,31.66,655.96,628.59,0,41.96,0,0,0,0,0,112.36,12.53,19.21,0,0,0,0,0

30,07:15-07:30,0,0,0,0,40.72,1.07,59.79,0,9.87,0,0,4.14,0,25.35,0,0,0,0,0,0,0,0,0,18.62,25.3,27,0,0,121.01,0,7.59,335.27,0,0,51.21,0,8.92,0,119.43,0,114.08,88.38,0,15.9,0,0,0,94.98,0,0,0,0,32.37,28.42,0,26.33,19.98,31.66,655.96,628.59,0,41.96,0,0,0,0,0,112.36,12.53,19.21,0,0,0,0,0

31,07:30-07:45,0,0,0,0,40.72,25.45,59.79,0,9.87,0,0,10.34,0,25.35,0,0,0,0,0,0,0,0,0,18.62,25.3,27,0,0,121.01,0,7.87,335.27,0,0,51.21,0,40.19,0,119.43,0,114.08,88.38,0,15.9,0,0,0,94.98,0,0,0,0,32.37,28.42,0,26.33,19.98,31.66,655.96,528.17,0,41.96,0,0,0,0,0,112.36,12.53,19.21,0,0,0,0,0

32,07:45-08:00,0,0,0,0,40.72,25.45,59.79,0,9.87,0,0,10.34,0,25.35,0,0,0,0,0,0,0,0,0,18.62,25.3,27,0,0,121.01,0,7.87,335.27,0,0,51.21,0,40.19,0,119.43,0,114.08,88.38,0,3.42,0,0,0,94.98,0,0,0,0,32.37,28.42,0,26.33,19.98,31.66,655.96,528.17,0,41.96,0,0,0,0,0,112.36,12.53,19.21,0,0,0,0,0

33,08:00-08:15,0,5.53,0,0,40.72,25.45,59.79,0,9.87,0,0,10.34,0,25.35,0,0,0,0,0,0,0,0,0,18.62,25.3,27,0,0,121.01,0,7.87,335.27,0,0,51.21,0,40.19,0,119.43,0,114.08,88.38,0,0,0,0,0,94.98,0,0,0,0,32.37,28.42,0,26.33,19.98,31.66,655.96,449.82,0,41.96,0,0,0,0,0,89.88,12.53,19.21,0,0,0,0,0

34,08:15-08:30,0,5.53,0,0,40.72,6.37,59.79,0,9.87,0,0,4.14,0,25.35,0,0,0,0,0,0,0,0,0,18.62,25.3,27,0,0,121.01,0,7.87,335.27,0,0,51.21,0,40.19,0,119.43,0,114.08,88.38,0,0,0,0,0,94.98,0,0,0,0,32.37,28.42,0,15.35,19.98,31.66,655.96,449.82,0,41.96,0,0,0,0,0,89.88,12.53,19.21,0,0,0,0,0

35,08:30-08:45,0,5.53,0,0,40.72,4.24,59.79,0,9.87,0,0,4.14,0,25.35,0,0,0,0,0,0,0,0,0,9.29,12.65,11.54,0,0,121.01,0,0,335.27,0,0,51.21,0,40.19,0,119.43,0,114.08,88.38,0,0,0,0,0,94.98,0,0,0,0,32.37,18.95,0,7.61,19.98,15.83,655.96,449.82,0,41.96,0,0,0,0,0,67.41,2.11,19.21,0,0,0,0,0

36,08:45-09:00,0,5.53,0,0,40.72,6.37,44.85,0,9.87,0,0,4.14,0,25.35,0,0,0,0,0,0,0,0,0,9.29,0,0,0,0,121.01,0,0,335.27,0,0,51.21,0,40.19,0,119.43,0,114.08,88.38,0,0,0,0,0,94.98,0,0,0,0,32.37,8.53,0,0,19.98,15.83,655.96,449.82,0,41.96,0,0,0,0,0,67.41,0,19.21,0,0,0,0,0

37,09:00-09:15,0,5.53,0,0,40.72,25.45,44.85,0,9.87,0,0,10.34,0,25.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.01,0,0,335.27,0,0,51.21,0,8.92,0,119.43,0,114.08,88.38,0,0,0,0,0,94.98,0,0,0,0,32.37,8.53,0,0,19.98,15.83,655.96,449.82,0,41.96,0,0,0,0,0,44.95,0,19.21,0,0,0,0,0

38,09:15-09:30,0,5.53,0,0,40.72,25.45,29.9,0,9.87,0,0,10.34,0,25.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.01,0,0,335.27,0,0,51.21,0,1.34,0,119.43,0,114.08,88.38,0,0,0,0,0,94.98,0,0,0,0,32.37,8.53,0,0,19.98,15.83,655.96,449.82,0,41.96,0,0,0,0,0,44.95,0,19.21,0,0,0,0,0

39,09:30-09:45,0,0.49,0,0,40.72,25.45,29.9,0,9.87,0,0,10.34,0,25.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.01,0,0,335.27,0,0,51.21,0,1.34,0,119.43,0,114.08,88.38,0,0,0,0,0,94.98,0,0,0,0,32.37,8.53,0,0,19.98,0,655.96,449.82,0,41.96,0,0,0,0,0,44.95,0,19.21,0,0,0,0,0

40,09:45-10:00,0,0.49,0,0,40.72,25.45,29.9,0,9.87,0,0,10.34,0,25.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.01,0,0,335.27,0,0,51.21,0,1.34,0,119.43,0,114.08,88.38,0,0,0,0,0,94.98,0,0,0,0,32.37,8.53,0,0,19.98,0,655.96,449.82,0,41.96,0,0,0,0,0,44.95,0,19.21,0,0,0,0,0

41,10:00-10:15,0,0.49,0,0,40.72,6.37,29.9,0,9.87,0,0,4.14,0,25.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.01,0,0,335.27,0,0,51.21,0,1.34,0,119.43,0,114.08,88.38,0,0,0,0,0,94.98,0,0,0,0,32.37,8.53,0,0,19.98,0,587.03,430.04,0,41.96,0,0,0,0,0,22.47,0,19.21,0,0,0,0,0

42,10:15-10:30,0,0.49,0,0,40.72,3.18,29.9,0,9.87,0,0,4.14,0,25.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.01,0,0,335.27,0,0,51.21,0,1.34,0,119.43,0,114.08,88.38,0,0,0,0,0,94.98,0,0,0,0,32.37,8.53,0,0,19.98,0,512.19,431.31,0,41.96,0,0,0,0,0,0,0,19.21,0,0,0,0,0

