Column1,Block,WR/2025/26426/A/58399,NR/2025/25159/A/58329,GNA/NR/2025/03/01/9482,GNA/WR/2025/03/01/6406,WR/2025/26427/A/58400,WR/2025/26582/A/58623,GNA/NR/2025/03/01/3469,WR/2025/26499/A/58636,GNA/SR/2025/03/01/7500,GNA/WR/2025/01/01/9606,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/8625,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/2563,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/6891,NR/2025/25516/A/58591,NR/2025/25517/A/58593,NR/2025/25518/A/58596,NR/2025/25636/C,NR/2025/25635/C,GNARE/NR/2024/12/20/3668,Total
,,KEIPL,ITCLH,NDMC,APPCPL,KEIPL,APPCPL,NDMC,APPCPL,APPCPL,APPCPL,PUNJAB,TPTCL,BAWANA_GAS,PTC,NDMC,NDMC,NDMC,DELHI,NDMC,PTC,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,SJVNL,SJVNL,SECI_Trader,
,,DELHI_UT,ANDHRA_PRADESH_STATE,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,HIMACHAL_STATE,NA,DELHI_UT,NA,NA,NA,NA,NA,NA,
,,BYPL,ITCWIND,JIPL,BRPL,BRPL,BRPL,TRN_ENERGY,BRPL,BYPL,BYPL,BAWANA_GAS,BYPL,BAWANA_GAS,BRPL,JPL2,SKS_Raigarh,RKM_POWER,CHANJUII,RKM_POWER,BYPL,TCSPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,RSRPL_BKN,TPSL_BKN2,APSEPL_FTG,
,,CSEB_State,DELHI_UT,DELHI_UT,MSEB_State,CSEB_State,CSEB_State,DELHI_UT,MSEB_State,KERALA_State,MSEB_State,PUNJAB_STATE,MSEB_State,HARYANA_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,CSEB_Beneficiary,ITCLH,NDMC,AEML,CSEB_Beneficiary,CSEB_Beneficiary,NDMC,AEML,KSEB,AEML,PUNJAB,TPC_MSEB,HARYANA,HP,NDMC,NDMC,NDMC,TPDDL,NDMC,HP,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,NDMC,NDMC,TPDDL,
,,North-West,South-West-North,East-North,North-West,North-West,North-West,West-North,North-West,North-West-South,North-West,North-North,North-West,North-North,North-North,West-North,West-North,West-North,North-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,167.53,0.43,17.28,42,24,24,6.72,0,200,0,26.99,0,26.99,190.26,25.91,5.76,15.4,3.76,15.4,63.42,0,0,0,0,0,0,855.8499999999999

2,00:15-00:30,167.53,0.43,17.28,42,24,24,6.72,0,200,0,26.99,0,26.99,190.26,25.91,5.76,15.4,3.76,15.4,63.42,0,0,0,0,0,0,855.8499999999999

3,00:30-00:45,167.53,0.43,17.28,42,24,24,6.72,0,200,0,26.99,0,26.99,190.26,25.91,5.76,15.4,3.76,15.4,63.42,0,0,0,0,0,0,855.8499999999999

4,00:45-01:00,167.53,0.43,17.28,42,24,24,6.72,0,200,0,26.99,0,26.99,190.26,25.91,5.76,15.4,3.76,15.4,63.42,0,0,0,0,0,0,855.8499999999999

5,01:00-01:15,167.53,0.43,17.28,42,24,24,6.72,0,200,0,26.99,0,26.99,190.26,23.04,0,15.4,3.76,15.4,63.42,0,0,0,0,0,0,847.2199999999999

6,01:15-01:30,167.53,0.43,17.28,42,24,24,6.72,0,200,0,26.99,0,26.99,190.26,23.04,0,15.4,3.76,15.4,63.42,0,0,0,0,0,0,847.2199999999999

7,01:30-01:45,167.53,0.43,17.28,42,24,24,6.72,0,200,0,26.99,0,26.99,190.26,23.04,0,15.4,3.76,15.4,63.42,0,0,0,0,0,0,847.2199999999999

8,01:45-02:00,167.53,0.43,17.28,42,24,24,6.72,0,200,0,26.99,0,26.99,190.26,23.04,0,15.4,3.76,15.4,63.42,0,0,0,0,0,0,847.2199999999999

9,02:00-02:15,167.53,0.43,17.28,42,24,24,6.72,0,0,0,26.99,0,26.99,190.26,23.04,0,16.54,3.68,16.54,63.42,0,0,0,0,0,0,649.4199999999998

10,02:15-02:30,167.53,0.43,17.28,42,24,24,6.72,0,0,0,26.99,0,26.99,190.26,23.04,0,16.54,3.68,16.54,63.42,0,0,0,0,0,0,649.4199999999998

11,02:30-02:45,167.53,0.43,17.28,42,24,24,6.72,0,0,0,26.99,0,26.99,190.26,23.04,0,16.54,3.68,16.54,63.42,0,0,0,0,0,0,649.4199999999998

12,02:45-03:00,167.53,0.43,17.28,42,24,24,6.72,0,0,0,26.99,0,26.99,190.26,23.04,0,16.54,3.68,16.54,63.42,0,0,0,0,0,0,649.4199999999998

