Column1,Block,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/16/2341,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/7459,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/6216,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/7960,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/16/4327,NR/2025/25752/A/67801,NR/2025/26346/C,GNARE/NR/2024/12/20/3668,NR/2025/26334/C,NR/2025/26342/C,NR/2025/26354/C,NR/2025/26355/C,NR/2025/26085/A/67745,NR/2025/25955/A/68192,NR/2025/26358/C,NR/2025/25945/A/68196,WR/2025/27361/A/68204,NR/2025/26324/C,NR/2025/25948/A/68193,WR/2025/27350/A/67901,NR/2025/25947/A/68195,NR/2025/26343/C,NR/2025/26031/A/67951,Total
,,NDMC,HPXL,PowerPulse,IEXL,PUNJAB,IEXL,HPXL,IEXL,IEXL,IEXL,APPCPL,IEXL,DELHI,IVPL_Trader,HPXL,IEXL,NDMC,BAWANA_GAS,PXIL,HPXL,IEXL,HPXL,SECI_Trader,IEXL,HPXL,IEXL,IEXL,ITCLH,APPCPL,PXIL,APPCPL,APPCPL,TPDDL,APPCPL,KEIPL,APPCPL,HPXL,DIAPL,
,,NA,NA,NA,NA,DELHI_UT,SIKKIM_STATE,NA,SIKKIM_STATE,SIKKIM_STATE,HIMACHAL_STATE,DELHI_UT,SIKKIM_STATE,HIMACHAL_STATE,DELHI_UT,CSEB_State,HIMACHAL_STATE,NA,DELHI_UT,UTTARPRADESH_STATE,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,GoHP_Koldam_STATE,GoHP_NJPC_STATE,ANDHRA_PRADESH_STATE,NA,ODISHA_STATE,NA,DELHI_UT,NA,NA,DELHI_UT,NA,KARNATAKA_STATE,HIMACHAL_STATE,
,,SKS_Raigarh,JPL2,APL_Raipur_TPP,JPNIGRIE_JNSTPP,BAWANA_GAS,RCHEP,SIMHAPURI,MEYONGCHU_HEP,Kalez_Khola_HEP,KGEPL_HP,BYPL,LLHEP1234,CHANJUII,BYPL,MSPLTD,RHPPL_HP,JPL2,BAWANA_GAS,LAPL_UP,JPL,TPSL_BKN2,HIRIYUR_OSTROKANNADA,APSEPL_FTG,ADHPL,TADASWIND,GoHP_Koldam,GoHP_NJPC,ITCWIND,JIPL,ODISHA,RKM_POWER,BYPL,JHAJJAR,TRN_ENERGY,BYPL,RKM_POWER,TADASWIND_KAR,GBHHPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,BRPL,BRPL,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,KSEB,BRPL,TPDDL,TPC_MSEB,BRPL,BRPL,NDMC,HARYANA,BRPL,BRPL,MES_Delhi,BYPL,TPDDL,BYPL,BYPL,BRPL,BRPL,ITCLH,NDMC,BYPL,NDMC,CSEB_Beneficiary,TPDDL,NDMC,CSEB_Beneficiary,NDMC,BYPL,DIAPL,
,,West-North,West-North,West-North,West-North,North-North,East-North,South-East-North,East-North,East-North,North-North,North-West-South,East-North,North-North,North-West,West-North,North-North,West-North,North-North,North-North,West-North,North-North,South-West-North,North-North,North-North,South-West-North,North-North,North-North,South-West-North,East-North,East-North,West-North,North-West,North-North,West-North,North-West,West-North,South-West-North,North-North,
1,00:00-00:15,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,52.5,9.63,13.19,0,9.63,1.93,43.78,32,48.16,72.25,0,11.75,0,29.96,3.47,24.76,48.94,0.48,29.02,96.33,43.78,24.08,165.69,14.59,0,43.78,11.17,3.85,1066.8000000000002

2,00:15-00:30,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,52.5,9.63,13.19,0,9.63,1.93,43.78,32,48.16,72.25,0,13.78,0,29.96,3.66,24.76,48.94,0.48,29.02,96.33,43.78,24.08,165.69,14.59,0,43.78,10.4,3.85,1068.2500000000002

