Block,Time,AURY_CRF,CHAMERA1,CHAMERA3,JHAJJAR,UNCHAHAR2,CHAMERA2,TANDA2,ANTA_RF,RAMPUR,AURY_LF,BSIUL,DHAULIGNGA,DADRI_RF,ANTA_CRF,DADRT2,RAPPB,URI2,RIHAND2,UNCHAHAR4,DADRI_GF,ANTA_LF,DADRI_LF,AURY_RF,RIHAND1,SALAL,RAPPC,SINGRAULI,KISHANGANGA,ANTA_GF,URI,DADRI_CRF,TANAKPUR,SEWA2,RIHAND3,DULHASTI,UNCHAHAR3,SINGRAULI_HYDRO,TEHRI,NJPC,UNCHAHAR1,PARBATI3,AURY_GF,KOLDAM,KOTESHWR,NAPP,BRBCL,KUDGI,TALA,FSTPP I & II,KHSTPP-II,KHSTPP-I,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,41.183964,28.397762,511.106895,40.923403,38.143070,0.000000,0.000000,0.000000,0.000000,6.327039,35.325627,0.000000,0.000000,573.651129,0.000000,31.687208,114.037875,0.000000,0.000000,0.000000,0.000000,0.000000,88.816800,82.003200,49.003704,134.489874,0.000000,0.000000,45.829469,0.000000,7.420064,10.192075,119.386794,0.000000,16.016469,0.960341,40.871174,147.648759,15.548630,18.434313,0.000000,0.000000,5.711306,27.838274,11.140233,53.10,26.963622,17.512453,94.937436,39.809183,331.252875,0,0,0,0,0

2,00:15-00:30,0.000000,41.183964,28.397762,414.566895,40.923403,38.143070,0.000000,0.000000,0.000000,0.000000,6.327039,35.325627,0.000000,0.000000,487.527000,0.000000,31.687208,114.037875,0.000000,0.000000,0.000000,0.000000,0.000000,88.816800,82.003200,49.003704,134.489874,0.000000,0.000000,45.829469,0.000000,7.420064,10.192075,119.386794,0.000000,16.016469,0.960341,40.871174,147.648759,12.705388,18.434313,0.000000,0.000000,5.711306,27.838274,11.140233,53.10,26.963622,17.512453,94.937436,40.433848,331.252875,0,0,0,0,0

3,00:30-00:45,0.000000,41.183964,28.397762,371.346034,40.923403,38.143070,0.000000,0.000000,0.000000,0.000000,6.327039,35.325627,0.000000,0.000000,418.616748,0.000000,31.687208,114.037875,0.000000,0.000000,0.000000,0.000000,0.000000,88.816800,82.003200,49.003704,134.489874,0.000000,0.000000,45.829469,0.000000,8.038403,10.192075,119.386794,0.000000,19.591441,0.960341,30.653381,147.648759,15.689874,18.434313,0.000000,0.000000,5.711306,27.838274,11.140233,53.10,26.963622,17.512453,94.937436,40.433848,331.252875,0,0,0,0,0

4,00:45-01:00,0.000000,41.183964,28.397762,371.346034,40.923403,38.143070,0.000000,0.000000,0.000000,0.000000,6.327039,35.325627,0.000000,0.000000,351.038748,0.000000,31.687208,114.037875,0.000000,0.000000,0.000000,0.000000,0.000000,88.816800,82.003200,49.003704,134.489874,0.000000,0.000000,45.829469,0.000000,8.038403,10.192075,119.386794,0.000000,19.591441,0.960341,20.435587,147.648759,15.689874,18.434313,0.000000,0.000000,5.711306,27.838274,11.140233,53.10,26.963622,17.512453,94.937436,40.433848,331.252875,0,0,0,0,0

5,01:00-01:15,0.000000,41.183964,28.397762,371.346034,40.923403,38.143070,0.000000,0.000000,0.000000,0.000000,6.327039,35.325627,0.000000,0.000000,323.409000,0.000000,31.687208,114.037875,0.000000,0.000000,0.000000,0.000000,0.000000,88.816800,82.003200,49.003704,134.489874,0.000000,0.000000,45.829469,0.000000,8.038403,10.192075,119.386794,0.000000,19.591441,0.960341,20.435587,147.648759,15.689874,6.144771,0.000000,0.000000,5.711306,27.838274,11.140233,49.00,26.963622,17.512453,94.937436,40.433848,331.252875,0,0,0,0,0

