Time,Block,NR/2023/12661/A,NR/2023/12920/F,NR/2023/12169/A,NR/2023/12872/F,NR/2023/11447/A,NR/2023/10786/A,NR/2023/10488/A,NR/2023/12916/F,NR/2023/12813/F,ER/2023/8328/C,NR/2023/13577/C,NR/2023/10651/A,NR/2023/12706/A,NR/2023/12924/F,NR/2023/13585/C,NR/2023/13591/C,NR/2023/13558/D,NR/2023/11709/A,NR/2023/12917/F,NR/2023/10435/A,NR/2023/10436/A,NR/2023/10720/A,NR/2023/11507/A,NR/2023/13568/D,NR/2023/10432/A,NR/2023/11712/A,NR/2023/11953/A,NR/2023/12921/F,NR/2023/13589/C,NR/2023/13369/F,NR/2023/10460/A,NR/2023/13574/C,NR/2023/10947/A,NR/2023/12919/F,NR/2023/12922/F,NR/2023/11266/A,NR/2023/13570/D,NR/2023/10561/A,NR/2023/12915/F,NR/2023/10956/A,NR/2023/13315/F,NR/2023/12814/F,NR/2023/10959/A,NR/2023/12923/F,NR/2023/13472/F,NR/2023/13586/C,NR/2023/13560/D,Total
,,NVVNL,SHPPBPL,APPCPL,ITCLH,TPTCL,STATKRAFT,TPTCL,SHPPBPL,MANIKARAN,HPXL,HPXL,KEIPL,HPXL,SHPPBPL,IEXL,HPXL,NVVNL,MANIKARAN,SHPPBPL,NVVNL,APPCPL,KEIPL,TPTCL,TS1PL_BKN,TPTCL,MANIKARAN,KEIPL,SHPPBPL,TPDDL,SJVNL,GMRETL,GBHHPL,APPCPL,SHPPBPL,SHPPBPL,TPTCL,TS1PL_BKN,PTC,SHPPBPL,NVVNL,IEXL,MANIKARAN,NVVNL,SHPPBPL,TPTCL,IEXL,NVVNL,Total

,,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,TAMIL NADU,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,NA,MEGHALAYA,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,NA,TAMIL NADU,HIMACHAL PRADESH,NA,MEGHALAYA,TAMIL NADU,NA,NA,ODISHA,TAMIL NADU,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,WEST BENGAL,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,NA,JAMMU AND KASHMIR,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,
,,SKS Raigarh,SHPPBPL,HP,ITCWIND,HP-GOVT,TANGEDCO,APNRL,SHPPBPL,HP,BYPL,Teesta_III,Meghalaya_Ben,B_S_ISPAT_MH,SHPPBPL,ACBIL,SAINJ,KAMENG,TANGEDCO,SHPPBPL,SEIL,Meghalaya_Ben,TANGEDCO,JPL,TS1PL_BKN,NBVLIPP,TANGEDCO,Meghalaya_Ben,SHPPBPL,CHANJUII,IPCL_WB,Meghalaya_Ben,GBHHPL,HP,SHPPBPL,SHPPBPL,KWHEP,TS1PL_BKN,JPNIGRIE_JNSTPP,SHPPBPL,JPNIGRIE_JNSTPP,SAPU1234,HP,KAMENG,SHPPBPL,HP-GOVT,ACBIL,SORANG_HEP,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,BMDRC,BRPL,ITCLH,BRPL,BYPL,TPDDL,BAL224,BRPL,VL-CPP 1215,BRPL,BYPL,NDMC,UHL,BRPL,BYPL,TPDDL,BRPL,BAL234,TPDDL,BYPL,BYPL,BRPL,BRPL,TPDDL,BRPL,BYPL,MAX-HPTL,TPDDL,NDMC,BYPL,DIAPL,BYPL,AISHER,JHPL-DL,BRPL,BYPL,TPDDL,BAL184,BRPL,MES (Delhi),BRPL,BRPL,MHIL,BRPL,BYPL,TPDDL,
,,West-North,North-North,North-North,South-West-North,North-North,South-West-North,East-North,North-North,North-North,North-East,East-North,North East-East-North,West-North,North-North,West-North,North-North,North East-East-North,South-West-North,North-North,South-West-North,North East-East-North,South-West-North,West-North,North-North,East-North,South-West-North,North East-East-North,North-North,North-North,East-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,West-North,North-North,North-North,North East-East-North,North-North,North-North,West-North,North-North,
1,00:00-00:15,62.900000,0.930000,54.190000,0.480000,14.960000,98.710000,48.380000,0.520000,62.900000,0.000000,357.080000,63.140000,6.770000,0.610000,0.000000,29.030000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.910000,0.000000,23.220000,33.630000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,82.250000,0.000000,1935.11

2,00:15-00:30,62.900000,0.930000,54.190000,0.480000,14.960000,98.710000,48.380000,0.520000,62.900000,0.000000,323.210000,63.140000,6.770000,0.610000,0.000000,29.030000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.910000,0.000000,23.220000,33.630000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,72.580000,0.000000,1891.57
