Time,Block,NR/2023/17525/A,WR/2023/19446/A,NR/2023/18062/A/1687,WR/2023/20256/A/1789,NR/2023/18074/A/1680,WR/2023/20577/A/1775,NR/2023/18155/C,NER/2023/1736/C,NR/2023/18156/C,NR/2023/18157/C,NR/2023/18105/A/1681,NR/2023/17270/A,Total
,,APPCPL,MANIKARAN,IEXL,MANIKARAN,ITCLH,APPCPL,TPDDL,PXIL,SJVNL,SJVNL,IEXL,GMRETL,Total

,,DELHI,DELHI,ANDHRA PRADESH,DELHI,ANDHRA PRADESH,DELHI,HIMACHAL PRADESH,DELHI,NA,NA,HIMACHAL PRADESH,DELHI,
,,BYPL,BYPL,SNJSUGARLTDAP,BRPL,ITCWIND,BRPL,CHANJUII,BYPL,RSRPL_BKN,RSRPL_BKN,BSHP,BYPL,
,,HIMACHAL PRADESH,MAHARASHTRA,DELHI,GOA,DELHI,GOA,DELHI,ARUNACHAL PRADESH,DELHI,DELHI,DELHI,RAJASTHAN,
,,HP,AEML,MES (Delhi),GOA_Beneficiary,ITCLH,GOA_Beneficiary,TPDDL,Arunachal_Ben,NDMC,NDMC,MES (Delhi),RUVNL,
,,North-North,North-West,South-East-North,North-West,South-West-North,North-West,North-North,North-East-North East,North-North,North-North,North-North,North-North,
1,00:00-00:15,25.490000,75.000000,4.790000,0.000000,0.430000,0.000000,2.060000,40.000000,0,0,0.960000,0.000000,148.73

2,00:15-00:30,25.490000,75.000000,4.790000,0.000000,0.430000,0.000000,2.060000,40.000000,0,0,0.960000,0.000000,148.73

3,00:30-00:45,25.490000,75.000000,4.790000,0.000000,0.430000,0.000000,2.060000,40.000000,0,0,0.960000,0.000000,148.73

4,00:45-01:00,25.490000,75.000000,4.790000,0.000000,0.430000,0.000000,2.060000,40.000000,0,0,0.960000,0.000000,148.73

5,01:00-01:15,25.490000,75.000000,4.790000,0.000000,0.380000,0.000000,2.060000,40.000000,0,0,0.960000,0.000000,148.68

6,01:15-01:30,25.490000,75.000000,4.790000,0.000000,0.380000,0.000000,2.060000,40.000000,0,0,0.960000,0.000000,148.68

7,01:30-01:45,25.490000,75.000000,4.790000,0.000000,0.380000,0.000000,2.060000,40.000000,0,0,0.960000,0.000000,148.68

8,01:45-02:00,25.490000,75.000000,4.790000,0.000000,0.380000,0.000000,2.060000,40.000000,0,0,0.960000,0.000000,148.68

9,02:00-02:15,25.490000,75.000000,4.790000,0.000000,0.340000,0.000000,2.060000,40.000000,0,0,0.960000,0.000000,148.64

10,02:15-02:30,25.490000,75.000000,4.790000,0.000000,0.340000,0.000000,2.060000,40.000000,0,0,0.960000,0.000000,148.64

11,02:30-02:45,25.490000,75.000000,4.790000,0.000000,0.340000,0.000000,2.060000,40.000000,0,0,0.960000,0.000000,148.64

12,02:45-03:00,25.490000,75.000000,4.790000,0.000000,0.340000,0.000000,2.060000,40.000000,0,0,0.960000,0.000000,148.64

13,03:00-03:15,25.490000,75.000000,4.790000,0.000000,0.340000,0.000000,2.060000,40.000000,0,0,0.960000,0.000000,148.64

