Time,Block,NR/2023/12685/D,NR/2023/10944/A,NR/2023/11947/F,NR/2023/10611/A,NR/2023/12688/D,NR/2023/11284/A,NR/2023/12697/C,ER/2023/7718/C,NR/2023/11862/F,NR/2023/10487/A,NR/2023/11941/F,NR/2023/10434/A,NR/2023/11963/F,NR/2023/12686/D,NR/2023/12705/C,NR/2023/11962/F,NR/2023/11955/F,NR/2023/12693/C,NR/2023/12704/C,NR/2023/11330/A,NR/2023/12687/D,NR/2023/10229/A,NR/2023/12701/C,NR/2023/11952/F,NR/2023/10223/A,NR/2023/11961/F,NR/2023/11642/A,NR/2023/11342/A,ER/2023/7716/C,NR/2023/11956/F,NR/2023/11958/F,NR/2023/11960/F,NR/2023/11476/A,NR/2023/11957/F,NR/2023/11959/F,NR/2023/10613/A,NR/2023/11643/A,NR/2023/10344/A,NR/2023/10236/A,Total
,,NVVNL,APPCPL,HPXL,APPCPL,TS1PL_BKN,STATKRAFT,HPXL,IEXL,APPCPL,TPTCL,NVVNL,NVVNL,SHPPBPL,NVVNL,IEXL,SHPPBPL,SHPPBPL,GBHHPL,IEXL,APPCPL,TS1PL_BKN,NVVNL,TPDDL,KEIPL,TPTCL,SHPPBPL,MANIKARAN,IEXL,HPXL,SHPPBPL,SHPPBPL,SHPPBPL,IEXL,SHPPBPL,SHPPBPL,APPCPL,MANIKARAN,BYPL,NVVNL,Total

,,NA,HIMACHAL PRADESH,MAHARASHTRA,ARUNACHAL PRADESH,NA,HIMACHAL PRADESH,NA,DELHI,MANIPUR,NA,NA,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TELANGANA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NAGALAND,HIMACHAL PRADESH,MEGHALAYA,NA,
,,KAMENG,HP,B_S_ISPAT_MH,Arunachal_Ben,TS1PL_BKN,HP,Teesta_III,BYPL,Manipur_Ben,APNRL,SKS Raigarh,SEIL,SHPPBPL,SOLAPUR_SOLAR,COASTGEN,SHPPBPL,SHPPBPL,GBHHPL,BYPL,HP,TS1PL_BKN,JPNIGRIE_JNSTPP,CHANJUII,Meghalaya_Ben,JPL,SHPPBPL,HP,NAVABHARAT,BYPL,SHPPBPL,SHPPBPL,SHPPBPL,JSPL_DCPP,SHPPBPL,SHPPBPL,Nagaland_Ben,HP,Meghalaya_Ben,ILFS,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,BYPL,NDMC,BYPL,BRPL,BYPL,BRPL,VLSEZ,STT,TPDDL,NDMC,TPDDL,UHL,MES (Delhi),BRPL,MHIL,BAL184,DIAPL,AMBASTL,BRPL,BYPL,BRPL,TPDDL,BYPL,BRPL,JHPL-DL,BRPL,BRPL,VL-CPP 1215,BAL224,AISHER,MAX-HPTL,BRPL,BAL234,BMDRC,BYPL,BRPL,BYPL,BRPL,
,,North East-East-North,North-North,West-North,North East-East-North,North-North,North-North,East-North,North-East,North East-East-North,East-North,West-North,South-West-North,North-North,West-North,South-West-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,North East-East-North,West-North,North-North,North-North,South-West-North,North-East,North-North,North-North,North-North,West-North,North-North,North-North,North East-East-North,North-North,North East-East-North,South-West-North,
1,00:00-00:15,82.750000,27.740000,6.740000,9.920000,0,33.720000,273.580000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,32.610000,0.000000,64.730000,0,49.850000,13.150000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,1283.9

2,00:15-00:30,82.750000,27.740000,6.740000,9.920000,0,33.720000,251.420000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,32.610000,0.000000,64.730000,0,49.850000,13.150000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,1261.74

3,00:30-00:45,82.750000,27.740000,6.740000,9.920000,0,33.720000,222.520000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,32.610000,0.000000,64.730000,0,49.850000,13.150000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,1232.84

4,00:45-01:00,82.750000,27.740000,6.740000,9.920000,0,33.720000,182.060000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,32.610000,0.000000,64.730000,0,49.850000,13.150000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,1192.38

5,01:00-01:15,82.750000,27.740000,6.740000,9.920000,0,33.720000,125.230000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,32.610000,0.000000,64.730000,0,49.850000,13.150000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,1135.55

6,01:15-01:30,82.750000,27.740000,6.740000,9.920000,0,33.720000,89.590000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,32.610000,0.000000,64.730000,0,49.850000,13.150000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,1099.91

7,01:30-01:45,82.750000,27.740000,6.740000,9.920000,0,33.720000,44.310000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,32.610000,0.000000,64.730000,0,49.850000,13.150000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,1054.63

8,01:45-02:00,82.750000,27.740000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,32.610000,0.000000,64.730000,0,49.850000,13.150000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,1010.32

9,02:00-02:15,82.750000,27.740000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,32.610000,0.000000,64.730000,0,49.850000,13.150000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,1010.32

