Block,Time Block,KGSU3AND4,JHAJJAR,KGSU1AND2,CHAMERA2,BRBCL,CHAMERA1,BSIUL,CHAMERA3,RAMPUR,RIHAND1,PARBATI2,PARBATI3,RAPPD,RAPPC,RSTPSU1TO6,RIHAND3,RAPPB,RSTPSU7,RIHAND2,NTPL,NLCTS2EXP,NNTPP,SASAN,SINGRAULI_HYDRO,UNCHAHAR1,TelanganaSTPP,SINGRAULI,TANDA2,TEHRI,TALST2,UNCHAHAR2,TALA,TANAKPUR,SIMHST1,SIMHST2,SALAL,SEWA2,NLCIIST2,KISHANGANGA,KHSTPP-II,KHSTPP-I,KKNP,KKNPPU2,KOTESHWR,NAPP,NLCEXP,MAPS,NJPC,KUDGI,KOLDAM,NLCIIST1,DADRI_RF,DADRI_LF,DADRT2,DHAULIGNGA,FSTPP I & II,DULHASTI,UNCHAHAR4,AURY_RF,ANTA_LF,AURY_LF,URI2,ANTA_GF,AURY_GF,ANTA_CRF,AURY_CRF,DADRI_CRF,DADRI_GF,ANTA_RF,UNCHAHAR3,VALLURNTECL,URI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,429.89,0,46.93,18.31,40.53,18.81,33.68,2.87,93.49,13,18.88,28.84,65.92,0,125.75,0,0,119.78,0,0,0,329.91,0.94,20.81,0,144.55,3.86,11.65,0,42.32,0,0,0,0,62.56,18.17,0,8.3,142.59,43.75,0,0,10.03,24.27,0,0,72.15,0,2.19,0,72.29,0,662.07,10.53,17.5,38.15,1.63,40.69,0,0,37.08,0,0,0,0,0,0,36.31,26.61,0,47.77,0,0,0,0,0

2,00:15-00:30,0,429.89,0,46.93,16.05,40.53,18.81,33.68,2.87,93.49,13,18.88,28.84,65.92,0,125.75,0,0,119.78,0,0,0,329.91,0.94,20.81,0,144.55,3.86,11.65,0,42.32,0,0,0,0,62.56,18.17,0,8.3,142.59,43.78,0,0,10.03,24.27,0,0,72.15,0,2.19,0,72.29,0,662.07,10.53,17.5,38.15,1.63,37.49,0,0,37.08,0,0,0,0,0,0,31.31,26.61,0,47.77,0,0,0,0,0

3,00:30-00:45,0,429.89,0,46.93,14.88,40.53,18.81,33.68,2.87,93.49,13,18.88,28.84,65.92,0,125.75,0,0,119.78,0,0,0,329.91,0.94,20.81,0,144.55,5.31,11.65,0,42.32,0,0,0,0,76.32,18.17,0,8.3,142.59,43.78,0,0,10.03,24.27,0,0,72.15,0,2.19,0,64.33,0,662.07,10.53,17.5,38.15,1.63,37.49,0,0,37.08,0,0,0,0,0,0,31.31,26.61,0,47.77,0,0,0,0,0

4,00:45-01:00,0,429.89,0,46.93,13.5,40.53,18.81,33.68,2.87,93.49,13,18.88,28.84,65.92,0,125.75,0,0,119.78,0,0,0,329.91,0.94,20.81,0,144.55,5.31,0,0,42.32,0,0,0,0,76.32,18.17,0,8.3,142.59,43.78,0,0,10.03,24.27,0,0,72.15,0,2.19,0,54.72,0,662.07,10.53,17.5,38.15,1.63,32.68,0,0,37.08,0,0,0,0,0,0,26.5,26.61,0,50.34,0,0,0,0,0

5,01:00-01:15,0,429.89,0,46.93,15.02,40.53,18.81,22.43,2.87,93.49,13,18.88,28.84,65.92,0,125.75,0,0,119.78,0,0,0,329.91,0.94,20.81,0,144.55,5.31,0,0,42.32,0,0,0,0,76.32,18.17,0,8.3,142.59,43.78,0,0,10.03,24.27,0,0,72.15,0,2.19,0,35.49,0,662.07,10.53,17.5,38.15,1.63,27.87,0,0,33.98,0,0,0,0,0,0,21.69,26.61,0,50.34,0,0,0,0,0

