Block,Time,NAPP,JHAJJAR,SINGRAULI_HYDRO,URI,AURY_CRF,DADRI_LF,AURY_GF,ANTA_GF,AURY_LF,DADRI_GF,RAMPUR,KISHANGANGA,CHAMERA2,DADRT2,UNCHAHAR1,BSIUL,DULHASTI,RAPPC,PARBATI3,SALAL,TANDA2,ANTA_LF,SINGRAULI,DHAULIGNGA,RAPPB,KOLDAM,ANTA_CRF,UNCHAHAR2,RIHAND3,UNCHAHAR4,NJPC,TANAKPUR,ANTA_RF,RIHAND1,SEWA2,URI2,KOTESHWR,CHAMERA3,AURY_RF,CHAMERA1,TEHRI,RIHAND2,DADRI_RF,DADRI_CRF,UNCHAHAR3,FSTPP I & II,TALA,SASAN,BRBCL,KHSTPP-I,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,21.620592,328.724000,0.700770,2.341363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,339.328000,6.735838,0.000000,0.000000,52.602588,0.000000,2.240336,0.000000,0.000000,121.066350,0.000000,0.000000,0.000000,0.000000,12.532000,119.213662,0.000000,0.000000,8.026746,0.000000,88.688000,0.000000,4.538705,8.554536,0.000000,0.000000,0.000000,0.000000,56.933840,0.000000,0.000000,14.243635,9.296048,0.000000,403.694280,14.461301,25.182958,122.052902,0,0,0,0,0

2,00:15-00:30,21.620592,328.724000,0.700770,2.341363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,339.328000,3.856000,0.000000,0.000000,52.602588,0.000000,2.240336,0.000000,0.000000,121.066350,0.000000,0.000000,0.000000,0.000000,12.532000,119.213662,0.000000,0.000000,8.026746,0.000000,88.688000,0.000000,4.538705,8.554536,0.000000,0.000000,0.000000,0.000000,56.933840,0.000000,0.000000,9.640000,5.316660,0.000000,403.694280,14.461301,15.268989,71.789176,0,0,0,0,0

3,00:30-00:45,21.620592,328.724000,0.700770,2.341363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,339.328000,3.856000,0.000000,0.000000,52.602588,0.000000,2.240336,0.000000,0.000000,121.066350,0.000000,0.000000,0.000000,0.000000,21.388364,119.213662,0.000000,0.000000,8.026746,0.000000,88.688000,0.000000,4.538705,8.554536,0.000000,0.000000,0.000000,0.000000,56.933840,0.000000,0.000000,9.640000,4.820000,0.000000,403.694280,14.461301,15.268989,69.861176,0,0,0,0,0

4,00:45-01:00,21.620592,328.724000,0.700770,2.341363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,339.328000,7.047900,0.000000,0.000000,52.602588,0.000000,2.240336,0.000000,0.000000,121.066350,0.000000,0.000000,0.000000,0.000000,21.388364,119.213662,0.000000,0.000000,8.026746,0.000000,88.688000,0.000000,4.538705,8.554536,0.000000,0.000000,0.000000,0.000000,56.933840,0.000000,0.000000,15.272748,4.820000,0.000000,403.694280,14.461301,15.268989,69.861176,0,0,0,0,0

5,01:00-01:15,21.620592,341.256000,0.700770,2.341363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,339.328000,7.047900,0.000000,0.000000,52.602588,0.000000,2.240336,0.000000,0.000000,121.066350,0.000000,0.000000,0.000000,0.000000,18.720880,119.213662,0.000000,0.000000,8.026746,0.000000,88.688000,0.000000,4.538705,8.554536,0.000000,0.000000,0.000000,0.000000,56.933840,0.000000,0.000000,13.630960,4.820000,0.000000,403.694280,14.461301,15.268989,69.861176,0,0,0,0,0

6,01:15-01:30,21.620592,341.256000,0.700770,2.341363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,339.328000,6.304560,0.000000,0.000000,52.602588,0.000000,2.240336,0.000000,0.000000,121.066350,0.000000,0.000000,0.000000,0.000000,15.828880,119.213662,0.000000,0.000000,8.026746,0.000000,88.688000,0.000000,4.538705,8.554536,0.000000,0.000000,0.000000,0.000000,56.933840,0.000000,0.000000,11.702960,4.820000,0.000000,403.694280,14.461301,15.268989,69.861176,0,0,0,0,0

7,01:30-01:45,21.620592,341.256000,0.700770,2.341363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,339.328000,6.304560,0.000000,0.000000,52.602588,0.000000,2.240336,0.000000,0.000000,121.066350,0.000000,0.000000,0.000000,0.000000,15.828880,119.213662,0.000000,0.000000,1.852326,0.000000,88.688000,0.000000,4.538705,8.554536,0.000000,0.000000,0.000000,0.000000,56.933840,0.000000,0.000000,11.702960,4.820000,0.000000,403.694280,14.461301,15.268989,69.861176,0,0,0,0,0

8,01:45-02:00,21.620592,341.256000,0.700770,2.341363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,339.328000,6.304560,0.000000,0.000000,52.602588,0.000000,2.240336,0.000000,0.000000,121.066350,0.000000,0.000000,0.000000,0.000000,15.828880,119.213662,0.000000,0.000000,1.852326,0.000000,88.688000,0.000000,4.538705,8.554536,0.000000,0.000000,0.000000,0.000000,56.933840,0.000000,0.000000,11.702960,4.820000,0.000000,403.694280,14.461301,15.268989,69.861176,0,0,0,0,0

9,02:00-02:15,21.620592,341.256000,0.700770,2.341363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,339.328000,6.304560,0.000000,0.000000,52.602588,0.000000,2.240336,0.000000,0.000000,121.066350,0.000000,0.000000,0.000000,0.000000,15.828880,119.213662,0.000000,0.000000,1.852326,0.000000,88.688000,0.000000,4.538705,8.554536,0.000000,0.000000,0.000000,0.000000,56.933840,0.000000,0.000000,11.702960,4.820000,0.000000,403.694280,14.461301,15.268989,69.861176,0,0,0,0,0

10,02:15-02:30,21.620592,341.256000,0.700770,2.341363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,339.328000,6.304560,0.000000,0.000000,52.602588,0.000000,2.240336,0.000000,0.000000,121.066350,0.000000,0.000000,0.000000,0.000000,15.828880,119.213662,0.000000,0.000000,1.852326,0.000000,88.688000,0.000000,4.538705,8.554536,0.000000,0.000000,0.000000,0.000000,56.933840,0.000000,0.000000,11.702960,4.820000,0.000000,403.694280,14.461301,15.268989,69.861176,0,0,0,0,0

11,02:30-02:45,21.620592,340.079920,0.700770,2.341363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,339.328000,6.304560,0.000000,0.000000,52.602588,0.000000,2.240336,0.000000,0.000000,121.066350,0.000000,0.000000,0.000000,0.000000,15.655360,119.213662,0.000000,0.000000,1.852326,0.000000,88.688000,0.000000,4.538705,8.554536,0.000000,0.000000,0.000000,0.000000,56.933840,0.000000,0.000000,11.702960,4.820000,0.000000,403.694280,14.461301,11.568000,50.128000,0,0,0,0,0

