Column1,Time,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,GNARE/NR/2024/12/20/3668,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,GNA/NR/2025/03/01/1906,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/03/01/6891,GNA/WR/2025/01/01/9606,GNA/WR/2025/03/01/6406,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/03/01/5143,GNA/WR/2025/01/01/8625,NR/30092023/31122025/SH-07,GNA/SR/2025/03/01/7500,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/03/01/3469,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/03/01/8036,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/4651,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/03/01/2563,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,GNARE/SR/2025/01/13/4532
1,00:00-00:15,0,0,0,0,0,0,80.51,17.33,0,26.83,69,0,0,0,0,0,0,69,26.83,23.04,1.31,0,55.49,0,42,259.78,132.48,166.48,0,26.99,200,100.01,6.72,86.59,23.04,0,28.76,65.88,4.87,17.28,5.76,0,1.23,23.04,1.25,26.99,7

2,00:15-00:30,0,0,0,0,0,0,79.01,17.33,0,26.33,69,0,0,0,0,0,0,69,26.33,23.04,1.31,0,55.49,0,42,259.78,132.48,166.48,0,26.99,200,100.01,6.72,86.59,23.04,0,28.76,65.88,4.87,17.28,5.76,0,1.23,23.04,1.25,26.99,7

3,00:30-00:45,0,0,0,0,0,0,79.01,17.33,0,26.33,69,0,0,0,0,0,0,69,26.33,23.04,1.31,0,55.49,0,42,259.78,132.48,166.48,0,31.5,200,100.01,6.72,86.59,23.04,0,29.27,65.88,4.87,17.28,5.76,0,1.23,23.04,1.25,25.82,7

4,00:45-01:00,0,0,0,0,0,0,78.49,17.33,0,26.17,69,0,0,0,0,0,0,69,26.17,23.04,1.31,0,55.49,0,42,259.78,132.48,166.48,0,31.5,200,100.01,6.72,86.59,23.04,0,29.27,114.82,4.87,17.28,5.76,0,1.23,23.04,1.25,25.82,7

5,01:00-01:15,0,0,0,0,0,0,78,17.33,0,26,73,0,0,0,0,0,0,73,26,23.04,1.31,0,55.49,0,42,259.78,132.48,166.48,0,32,200,100.01,6.72,86.59,23.04,0,29.27,114.82,4.87,17.28,5.76,0,1.23,23.04,1.25,18.15,7

6,01:15-01:30,0,0,0,0,0,0,78.49,17.67,0,26.17,71.66,0,0,0,0,0,0,71.67,26.17,23.04,1.31,0,55.49,0,42,259.78,132.48,166.48,0,32,200,100.01,6.72,86.59,23.04,0,29.27,65.88,4.87,17.28,5.76,0,1.23,23.04,1.25,25.87,7

7,01:30-01:45,0,0,0,0,0,0,79.5,18,0,26.5,70.66,0,0,0,0,0,0,70.67,26.5,23.04,1.31,0,55.49,0,42,259.78,132.48,166.48,0,32,200,100.01,6.72,86.59,23.04,0,29.27,57.59,4.87,17.28,5.76,0,1.23,23.04,1.25,25.87,7

8,01:45-02:00,0,0,0,0,0,0,79.5,18.33,0,26.5,69.66,0,0,0,0,0,0,69.67,26.5,23.04,1.31,0,55.49,0,42,259.78,132.48,166.48,0,32,200,100.01,6.72,86.59,23.04,0,29.77,57.59,4.87,17.28,5.76,0,1.23,23.04,1.25,25.87,7

9,02:00-02:15,0,0,0,0,0,0,77.51,18.67,0,25.83,77.66,0,0,0,0,0,0,77.67,25.83,23.04,1.26,0,55.49,0,42,259.78,132.48,166.48,0,26.99,0,100.01,6.72,86.59,23.04,0,30.28,57.59,4.78,17.28,5.76,0,1.23,23.04,1.25,26.99,7

10,02:15-02:30,0,0,0,0,0,0,79.01,19.33,0,26.33,78,0,0,0,0,0,0,78,26.33,23.04,1.26,0,55.49,0,42,259.78,132.48,166.48,0,26.99,0,100.01,6.72,86.59,23.04,0,30.28,57.59,4.78,17.28,5.76,0,1.23,23.04,1.25,26.99,7

11,02:30-02:45,0,0,0,0,0,0,80.51,20,0,26.83,78,0,0,0,0,0,0,78,26.83,23.04,1.26,0,55.49,0,42,259.78,132.48,166.48,0,32,0,100.01,6.72,86.59,23.04,0,30.28,57.59,4.78,17.28,5.76,0,1.23,23.04,1.25,20.46,7

