Block,Time,KHSTPP-I,RIHAND2,SEWA2,UNCHAHAR4,AURY_RF,DADRI_RF,BRBCL,KKNP,KOLDAM,KUDGI,TALST2,URI2,ANTA_LF,CHAMERA1,DHAULIGNGA,KOTESHWR,NLCIIST1,RAPPC,RSTPSU7,SIMHST2,TANDA2,ANTA_GF,ANTA_RF,CHAMERA2,KGSU3AND4,NLCIIST2,NLCTS2EXP,NTPL,RAMPUR,RSTPSU1TO6,SASAN,FSTPP I & II,JHAJJAR,KHSTPP-II,KISHANGANGA,MAPS,NAPP,NNTPP,RIHAND1,SINGRAULI_HYDRO,AURY_CRF,DADRI_CRF,DADRI_GF,BSIUL,CHAMERA3,KKNPPU2,RAPPB,RIHAND3,SALAL,TEHRI,TelanganaSTPP,UNCHAHAR1,UNCHAHAR2,VALLURNTECL,ANTA_CRF,DADRI_LF,DULHASTI,NLCEXP,UNCHAHAR3,URI,AURY_LF,DADRT2,KGSU1AND2,NJPC,PARBATI3,SIMHST1,SINGRAULI,TALA,TANAKPUR,AURY_GF
1,00:00-00:15,45.22,118.75,0,0,0,5.48,20,0,0,0,0,4.44,0,0,0,8.88,0,53.55,0,0,0,0,0,0,0,0,0,0,0,0,418.77,18.2,654.3,148.3,0,0,43.57,0,92,0,71.13,41.1,0,0,0,0,0,124.32,1.4,0,0,20.56,42.39,0,44.83,23.57,16.48,0,26.39,1.33,0,683.14,0,0,0,0,125.96,0,7.81,0

2,00:15-00:30,45.22,118.75,0,0,0,5.48,20,0,0,0,0,4.44,0,0,0,8.88,0,53.55,0,0,0,0,0,0,0,0,0,0,0,0,418.77,18.2,654.3,148.3,0,0,43.57,0,92,0,71.13,41.1,0,0,0,0,0,124.32,1.4,0,0,20.56,42.39,0,44.83,23.57,16.48,0,26.39,1.33,0,683.14,0,0,0,0,125.96,0,7.81,0

3,00:30-00:45,45.22,118.75,0,0,0,5.48,20,0,0,0,0,4.44,0,0,0,8.88,0,53.55,0,0,0,0,0,0,0,0,0,0,0,0,418.77,18.2,654.3,148.3,0,0,43.57,0,92,0,71.13,41.1,0,0,0,0,0,124.32,1.4,0,0,20.56,42.39,0,44.83,23.57,16.48,0,26.39,1.33,0,683.14,0,0,0,0,125.96,0,7.81,0

4,00:45-01:00,45.22,118.75,0,0,0,5.48,20,0,0,0,0,4.44,0,0,0,8.88,0,53.55,0,0,0,0,0,0,0,0,0,0,0,0,418.77,18.2,654.3,148.3,0,0,43.57,0,92,0,71.13,41.1,0,0,0,0,0,124.32,1.4,0,0,20.56,42.39,0,44.83,23.57,16.48,0,26.39,1.33,0,683.14,0,0,0,0,125.96,0,7.81,0

5,01:00-01:15,45.22,118.75,0,0,0,5.48,20,0,0,0,0,4.44,0,0,0,8.88,0,53.55,0,0,0,0,0,0,0,0,0,0,0,0,418.77,18.2,654.3,148.3,0,0,43.57,0,92,0,71.13,41.1,0,0,0,0,0,124.32,1.4,0,0,20.56,42.39,0,44.83,23.57,16.48,0,26.39,1.33,0,683.14,0,0,0,0,125.96,0,7.81,0

6,01:15-01:30,45.22,118.75,0,0,0,5.48,20,0,0,0,0,4.44,0,0,0,8.88,0,53.55,0,0,0,0,0,0,0,0,0,0,0,0,418.77,18.2,654.3,148.3,0,0,43.57,0,92,0,71.13,41.1,0,0,0,0,0,124.32,1.4,0,0,20.56,42.39,0,44.83,23.57,16.48,0,26.39,1.33,0,683.14,0,0,0,0,125.96,0,7.81,0

7,01:30-01:45,45.22,118.75,0,0,0,5.48,20,0,0,0,0,4.44,0,0,0,8.88,0,53.55,0,0,0,0,0,0,0,0,0,0,0,0,418.77,18.2,654.3,148.3,0,0,43.57,0,92,0,71.13,41.1,0,0,0,0,0,124.32,1.4,0,0,20.56,42.39,0,44.83,23.57,16.48,0,26.39,2.21,0,683.14,0,0,0,0,125.96,0,7.81,0

8,01:45-02:00,45.22,118.75,0,0,0,5.48,20,0,0,0,0,4.44,0,0,0,8.88,0,53.55,0,0,0,0,0,0,0,0,0,0,0,0,418.77,18.2,654.3,148.3,0,0,43.57,0,92,0,71.13,41.1,0,0,0,0,0,124.32,1.4,0,0,20.56,42.39,0,44.83,23.57,16.48,0,26.39,2.21,0,683.14,0,0,0,0,125.96,0,7.81,0

9,02:00-02:15,45.22,118.75,0,0,0,5.48,20,0,0,0,0,4.44,0,0,0,8.88,0,53.55,0,0,0,0,0,0,0,0,0,0,0,0,418.77,18.2,654.3,148.3,0,0,43.57,0,92,0,71.13,41.1,0,0,0,0,0,124.32,1.4,0,0,20.56,42.39,0,44.83,23.57,16.48,0,26.39,1.33,0,683.14,0,0,0,0,125.96,0,2.05,0

10,02:15-02:30,45.22,118.75,0,0,0,5.48,20,0,0,0,0,4.44,0,0,0,8.88,0,53.55,0,0,0,0,0,0,0,0,0,0,0,0,418.77,18.2,654.3,148.3,0,0,43.57,0,92,0,71.13,41.1,0,0,0,0,0,124.32,1.4,0,0,20.56,42.39,0,44.83,23.57,16.48,0,26.39,1.33,0,683.14,0,0,0,0,125.96,0,2.05,0

11,02:30-02:45,45.22,118.75,0,0,0,5.48,20,0,0,0,0,4.44,0,0,0,8.88,0,53.55,0,0,0,0,0,0,0,0,0,0,0,0,418.77,18.2,654.3,148.3,0,0,43.57,0,92,0,71.13,41.1,0,0,0,0,0,124.32,1.4,0,0,20.56,42.39,0,44.83,23.57,16.48,0,26.39,1.33,0,683.14,0,0,0,0,125.96,0,2.05,0

12,02:45-03:00,45.22,118.75,0,0,0,5.48,20,0,0,0,0,4.44,0,0,0,8.88,0,53.55,0,0,0,0,0,0,0,0,0,0,0,0,418.77,18.2,654.3,148.3,0,0,43.57,0,92,0,71.13,41.1,0,0,0,0,0,124.32,1.4,0,0,20.56,42.39,0,45.05,23.57,16.48,0,26.39,1.33,0,683.14,0,0,0,0,125.96,0,2.05,0

13,03:00-03:15,45.22,118.75,0,0,0,5.48,20,0,0,0,0,4.44,0,0,0,8.88,0,53.55,0,0,0,0,0,0,0,0,0,0,0,0,418.77,18.2,654.3,148.3,0,0,43.57,0,92,0,71.13,41.1,0,0,0,0,0,124.32,1.4,0,0,20.56,42.39,0,45.05,23.57,16.48,0,26.39,1.33,0,683.14,0,0,0,0,125.96,0,2.05,0

