Column1,Block,GNA/WR/2025/01/01/8625,NR/30092023/26122029/SH-06,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/16/1380,GNA/SR/2025/02/01/6460,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/4863,GNARE/NR/2024/12/20/3668,NR/2025/25267/A/55216,NR/2025/25401/C,NR/2025/25266/A/55206,NR/2025/25400/C,NR/2025/25265/A/55208,NR/2024/24418/A/54959,WR/2025/26047/A/55252,NR/2025/25070/A/55305,GNA/WR/2024/11/01/4200,GNA/NR/2025/02/16/1676,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/9969,GNA/WR/2025/01/01/9606,Total
,,TPTCL,PUNJAB,NDMC,PTC,APPCPL,BAWANA_GAS,DELHI,NDMC,NDMC,SECI_Trader,OIDLWM3_AEROCITY,SJVNL,ABLWM1_AEROCITY,SJVNL,OIDLWM2_AEROCITY,ITCLH,APPCPL,NVVNL,MANIKARAN,PTC,APPCPL,NDMC,NDMC,APPCPL,
,,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,
,,BYPL,BAWANA_GAS,TRN_ENERGY,BYPL,BYPL,BAWANA_GAS,CHANJUII,RKM_POWER,SKS_Raigarh,APSEPL_FTG,TCSPL_BKN2,RSRPL_BKN,TCSPL_BKN2,TPSL_BKN2,TCSPL_BKN2,ITCWIND,BRPL,JIPL,BRPL,BRPL,BYPL,RKM_POWER,JPL2,BYPL,
,,MSEB_State,PUNJAB_STATE,DELHI_UT,HIMACHAL_STATE,KERALA_State,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,MSEB_State,HIMACHAL_STATE,KERALA_State,DELHI_UT,DELHI_UT,MSEB_State,
,,TPC_MSEB,PUNJAB,NDMC,HP,KSEB,HARYANA,TPDDL,NDMC,NDMC,TPDDL,OIDLWM3_AEROCITY,NDMC,ABLWM1_AEROCITY,NDMC,OIDLWM2_AEROCITY,ITCLH,GOA_Beneficiary,NDMC,AEML,HP,KSEB,NDMC,NDMC,AEML,
,,North-West,North-North,West-North,North-North,North-West-South,North-North,North-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,South-West-North,North-West,East-North,North-West,North-North,North-West-South,West-North,West-North,North-West,
1,00:00-00:15,0,32,8.65,15.85,75,32,1.59,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,306.75

2,00:15-00:30,0,32,8.65,15.85,75,32,1.59,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,306.75

3,00:30-00:45,0,32,8.65,15.85,75,26.87,1.59,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,301.62

4,00:45-01:00,0,32,8.65,15.85,75,26.87,1.59,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,301.62

5,01:00-01:15,0,26.87,8.65,15.85,75,26.87,1.59,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,296.49

6,01:15-01:30,0,26.87,8.65,15.85,75,26.87,1.59,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,296.49

7,01:30-01:45,0,26.87,8.65,15.85,75,26.87,1.59,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,296.49

8,01:45-02:00,0,26.87,8.65,15.85,75,26.87,1.59,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,296.49

9,02:00-02:15,0,26.87,8.65,15.85,75,26.87,1.59,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,296.49

10,02:15-02:30,0,26.87,8.65,15.85,75,26.87,1.59,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,296.49

11,02:30-02:45,0,26.87,8.65,15.85,75,26.87,1.84,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,296.74

12,02:45-03:00,0,26.87,8.65,15.85,75,26.87,1.84,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,296.74

13,03:00-03:15,0,26.87,8.65,15.85,75,26.87,1.84,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,296.74

14,03:15-03:30,0,26.87,8.65,15.85,75,26.87,1.84,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,296.74

15,03:30-03:45,0,26.87,8.65,15.85,75,26.87,1.84,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,296.74

16,03:45-04:00,0,26.87,8.65,15.85,75,26.87,1.84,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,296.74

17,04:00-04:15,0,26.87,8.65,15.85,75,26.87,1.84,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,296.74

18,04:15-04:30,0,26.87,8.65,15.85,75,26.87,1.84,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,296.74

19,04:30-04:45,0,26.87,8.65,15.85,75,26.87,1.84,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,296.74

20,04:45-05:00,0,26.87,8.65,15.85,75,26.87,1.84,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,296.74

21,05:00-05:15,0,26.87,8.65,15.85,75,26.87,1.84,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,296.74

22,05:15-05:30,0,26.87,8.65,15.85,75,26.87,1.84,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,296.74

23,05:30-05:45,0,26.87,8.65,15.85,75,26.87,1.84,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,296.74

24,05:45-06:00,0,22.92,8.65,15.85,75,22.92,1.84,23.07,7.21,0,0,0,0,0,0,0.38,0,17.3,0,47.56,0,23.07,23.07,0,288.84000000000003

25,06:00-06:15,0,32,8.65,0,75,17.67,1.84,23.07,7.21,0,0,0,0,0,0,0.43,0,17.3,0,0,0,23.07,23.07,0,229.31

26,06:15-06:30,0,32,8.65,0,75,12.12,1.84,23.07,7.21,0,0,0,0,0,0,0.43,0,17.3,0,0,0,23.07,23.07,0,223.76000000000002

27,06:30-06:45,0,32,8.65,0,75,32,1.84,23.07,7.21,0,0,0,0,0,0,0.43,0,17.3,0,0,0,23.07,23.07,0,243.64000000000001

28,06:45-07:00,0,32,8.65,0,75,32,1.84,23.07,7.21,0.04,0,0,0,0,0,0.43,0,17.3,0,0,0,23.07,23.07,0,243.68

29,07:00-07:15,0,32,8.65,0,75,32,1.84,23.07,7.21,0.5,0,0,0,0,0,0.48,0,17.3,0,0,0,23.07,23.07,0,244.19

30,07:15-07:30,0,32,8.65,0,75,32,1.84,23.07,7.21,0.59,0,0,0,0,0,0.48,0,17.3,0,0,0,23.07,23.07,0,244.28

31,07:30-07:45,0,31,8.65,0,75,31,1.84,23.07,7.21,0.85,0,0,0,0,0,0.48,0,17.3,0,0,0,23.07,23.07,0,242.54

