Column1,Block,WR/2024/25054/A/45104,NR/2024/24097/A/44933,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,NR/2024/24088/A/44930,GNA/WR/2024/10/15/7089,NR/2024/24051/A/44924,NR/2024/24052/A/44925,GNA/NR/2024/12/01/2197,GNA/SR/2024/12/01/6968,NR/2024/23952/A/44938,NR/2024/24191/C,NR/2024/24060/A/45126,NR/2024/24146/A/44937,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1899,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/3428,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/24193/C,NR/2024/24071/A/44926,NR/2024/24192/C,Total
,,APPCPL,IEXL,MANIKARAN,PUNJAB,IEXL,APPCPL,IEXL,IEXL,NDMC,KSEB,ITCLH,HPXL,NVVNL,IEXL,PTC,PTC,NDMC,NDMC,BAWANA_GAS,NDMC,NDMC,DELHI,SJVNL,IEXL,SJVNL,
,,DELHI_UT,KARNATAKA_STATE,DELHI_UT,DELHI_UT,KARNATAKA_STATE,DELHI_UT,TELANGANA_State,TELANGANA_State,NA,DELHI_UT,ANDHRA_PRADESH_STATE,UTTARPRADESH_STATE,NA,MP_State,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,NA,NA,HIMACHAL_STATE,NA,NA,NA,
,,BRPL,NSLSUGARALAND,BRPL,BAWANA_GAS,NSLSTUNGBHDRA,BYPL,NSLKSLWPRTY,NSLKSLWPRTY,RKM_POWER,BYPL,ITCWIND,PPGCL,JITPL,NSPLN_MP,BRPL,BYPL,RKM_POWER,TRN_ENERGY,BAWANA_GAS,JPL2,SKS_Raigarh,CHANJUII,TPSL_BKN2,TESPL_BKN2,RSRPL_BKN,
,,GOA_State,DELHI_UT,MSEB_State,PUNJAB_STATE,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,GOA_Beneficiary,MES_Delhi,AEML,PUNJAB,MES_Delhi,AEML,MES_Delhi,MES_Delhi,NDMC,KSEB,ITCLH,BYPL,NDMC,MES_Delhi,HP,HP,NDMC,NDMC,HARYANA,NDMC,NDMC,TPDDL,NDMC,MES_Delhi,NDMC,
,,North-West,South-West-North,North-West,North-North,South-West-North,North-West,South-West-North,South-West-North,West-North,North-West-South,South-West-North,North-North,East-North,West-North,North-North,North-North,West-North,West-North,North-North,West-North,West-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,0,7.69,0,0,0.96,0,0,2.89,25.97,150,0.43,0,17.31,5.77,95.13,31.71,25.97,8.66,0,25.97,8.66,1.92,0,0,0,409.03999999999996

2,00:15-00:30,0,7.69,0,0,0.96,0,0,2.89,25.97,150,0.43,0,17.31,5.77,95.13,31.71,25.97,8.66,0,25.97,8.66,1.92,0,0,0,409.03999999999996

