Column1,Block,GNA/WR/2025/04/01/4420,NR/30092023/26122029/SH-06,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/4327,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/8132,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/01/6216,NR/2025/26031/A/66610,NR/2025/26148/C,NR/2025/26121/C,NR/2025/26151/C,NR/2025/26164/C,NR/2025/26085/A/67006,NR/2025/25945/A/66908,NR/2025/26144/C,NR/2025/26143/C,NR/2025/25955/A/66905,NR/2025/26147/C,NR/2025/26146/C,WR/2025/27350/A/66620,NR/2025/25947/A/66907,NR/2025/25948/A/66906,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/1333,NR/2025/26149/C,NR/2025/26142/C,WR/2025/27361/A/66916,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/66485,Total
,,IVPL_Trader,PUNJAB,APPCPL,IEXL,HPXL,BAWANA_GAS,IEXL,IEXL,IEXL,HPXL,HPXL,HPXL,PowerPulse,NDMC,NDMC,DELHI,IEXL,IEXL,DIAPL,HPXL,TPDDL,IEXL,HPXL,ITCLH,APPCPL,HPXL,HPXL,APPCPL,IEXL,HPXL,KEIPL,APPCPL,APPCPL,PXIL,IEXL,HPXL,HPXL,APPCPL,SECI_Trader,IEXL,
,,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,DELHI_UT,SIKKIM_STATE,SIKKIM_STATE,HIMACHAL_STATE,CSEB_State,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,SIKKIM_STATE,HIMACHAL_STATE,KARNATAKA_STATE,NA,GoHP_Chamera3_STATE,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,KARNATAKA_STATE,KARNATAKA_STATE,NA,NA,ANDHRA_PRADESH_STATE,DELHI_UT,NA,NA,UTTARPRADESH_STATE,SIKKIM_STATE,HIMACHAL_STATE,NA,DELHI_UT,NA,NA,
,,BYPL,BAWANA_GAS,BYPL,RHPPL_HP,JPL,BAWANA_GAS,Kalez_Khola_HEP,MEYONGCHU_HEP,KGEPL_HP,MSPLTD,JPL2,SIMHAPURI,APL_Raipur_TPP,JPL2,SKS_Raigarh,CHANJUII,JPNIGRIE_JNSTPP,LLHEP1234,GBHHPL,MANGALORE_ENERGIES,JHAJJAR,GoHP_Chamera3,GBHHPL,ITCWIND,RKM_POWER,TADASWIND_KAR,FORTUNE5PROJKAR,JIPL,SINGOLI,TADASWIND,BYPL,RKM_POWER,TRN_ENERGY,LAPL_UP,RCHEP,GHPPL_HP,HIRIYUR_OSTROKANNADA,BYPL,APSEPL_FTG,TPSL_BKN2,
,,MSEB_State,PUNJAB_STATE,KERALA_State,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,
,,TPC_MSEB,PUNJAB,KSEB,BRPL,BRPL,HARYANA,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,NDMC,TPDDL,BRPL,BRPL,DIAPL,BYPL,TPDDL,BYPL,BYPL,ITCLH,NDMC,BYPL,BYPL,NDMC,BYPL,BYPL,CSEB_Beneficiary,NDMC,NDMC,BRPL,BRPL,BYPL,BYPL,CSEB_Beneficiary,TPDDL,MES_Delhi,
,,North-West,North-North,North-West-South,North-North,West-North,North-North,East-North,East-North,North-North,West-North,West-North,South-East-North,West-North,West-North,West-North,North-North,West-North,East-North,North-North,South-West-North,North-North,North-North,North-North,South-West-North,West-North,South-West-North,South-West-North,East-North,North-North,South-West-North,North-West,West-North,West-North,North-North,East-North,North-North,South-West-North,North-West,North-North,North-North,
1,00:00-00:15,0,32,52.5,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,9.02,19.23,9.62,3.85,3.27,213.45,28.46,0,0.48,43.7,11.44,16.92,28.97,21.15,4.23,0,43.7,14.57,48.08,2.88,4.62,14.81,24.04,0,0,1030.5900000000001

2,00:15-00:30,0,32,52.5,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,9.02,19.23,9.62,3.85,3.27,213.45,28.46,0,0.48,43.7,11.44,17.31,28.97,21.15,4.9,0,43.7,14.57,48.08,2.88,4.62,15.86,24.04,0,0,1032.7000000000003

