Block,Time,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01102023/25122043/GNA_MEJA_DELHI,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/31082024/SKS-Raigarh,NR/01102023/31102037/L_NR_2019_11,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_07,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug'24,NR/01082024/31082024/jitpl,NR/01082024/15082024/APL-Raigarh,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/22102023/11042047/L_NR_2021_16,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,NR/30092023/26122029/SH-06,NR/01082024/30082024/	NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,NR/01102023/30042040/GNA_LT_36,WR/01102023/30052048/L_NR_2022_10,NR/01102023/19072037/LT-05,NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06)
1,00:00-00:15,12.230000,25.920000,241.360000,48.160000,0.000000,272.340000,8.760000,0.000000,0.000000,86.880000,48.160000,8.590000,192.640000,38.530000,5.560000,38.530000,0,30.780000,28.34,0,26.66,25.920000,0.000000,0,0,0,0,0,28.33,60.25,85,0,9,0.000000,60.25,70.190000,0.000000,0.000000,0,0,0.000000,0.000000,0,0

2,00:15-00:30,12.230000,25.920000,241.360000,48.160000,0.000000,272.340000,8.760000,0.000000,0.000000,86.880000,48.160000,8.590000,192.640000,38.530000,5.560000,38.530000,0,30.780000,28,0,27,25.920000,0.000000,0,0,0,0,0,28,59.92,84,0,8.8,0.000000,59.92,70.190000,0.000000,0.000000,0,0,0.000000,0.000000,0,0

3,00:30-00:45,12.230000,25.920000,261.510000,48.160000,0.000000,272.340000,8.760000,0.000000,0.000000,86.880000,48.160000,8.590000,192.640000,38.530000,5.560000,67.420000,0,30.780000,27.5,0,27.66,25.920000,0.000000,0,0,0,0,0,27.5,59.84,82.5,0,8.6,0.000000,59.84,70.190000,0.000000,0.000000,0,0,0.000000,0.000000,0,0

4,00:45-01:00,12.230000,25.920000,261.510000,48.160000,0.000000,272.340000,8.760000,0.000000,0.000000,86.880000,48.160000,8.590000,192.640000,38.530000,5.560000,96.320000,0,30.780000,27.93,0,28.34,25.920000,0.000000,0,0,0,0,0,27.93,58.53,83.79,0,8.4,0.000000,58.53,70.190000,0.000000,0.000000,0,0,0.000000,0.000000,0,0

5,01:00-01:15,12.230000,25.920000,261.510000,48.160000,0.000000,272.340000,8.760000,0.000000,0.000000,86.880000,48.160000,8.590000,192.640000,38.530000,5.370000,77.060000,0,30.780000,28.17,0,29,25.920000,0.000000,0,0,0,0,0,28.15,57.89,84.46,0,8.2,0.000000,57.89,70.190000,0.000000,0.000000,0,0,0.000000,0.000000,0,0

6,01:15-01:30,12.230000,25.920000,250.990000,48.160000,0.000000,272.340000,8.760000,0.000000,0.000000,86.880000,48.160000,8.590000,192.640000,38.530000,5.370000,52.980000,0,30.780000,28.32,0,29.66,25.920000,0.000000,0,0,0,0,0,28.31,64.08,84.93,0,8,0.000000,64.08,70.190000,0.000000,0.000000,0,0,0.000000,0.000000,0,0

