Block,Time,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/31052040/LT-31,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,NR/01102023/19072037/LT-05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/05012040/L_NR_2020_02,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,NR/30092023/26122029/SH-06,NR/01102023/13082046/L_NR_2021_12,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/23072042/L_NR_2012_04,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07
1,00:00-00:15,2.470000,2.490000,0.000000,0.000000,0.000000,0,4,118.510000,0,0,2.890000,25,8.33,24.710000,0,101.410000,7,0,0,8.34,26.96,0,132.840000,26.96,0,58.090000,27.110000,0.000000,0,0,0,0,217.840000,24.710000

2,00:15-00:30,2.470000,2.490000,0.000000,0.000000,0.000000,0,4,118.510000,0,0,2.890000,24.5,8.17,24.710000,0,101.410000,7,0,0,8.16,26.74,0,132.840000,26.74,0,58.090000,27.110000,0.000000,0,0,0,0,217.840000,24.710000

3,00:30-00:45,2.470000,2.490000,0.000000,0.000000,0.000000,0,4,118.510000,0,0,2.890000,24,8,24.710000,0,101.410000,7,0,0,8,26.66,0,132.840000,26.66,0,58.090000,27.110000,0.000000,0,0,0,0,217.840000,24.710000

4,00:45-01:00,2.470000,2.490000,0.000000,0.000000,0.000000,0,4,118.510000,0,0,2.890000,23.5,7.83,26.130000,0,101.410000,7,0,0,7.84,15.09,0,132.840000,15.09,0,58.090000,27.110000,0.000000,0,0,0,0,217.840000,26.130000

5,01:00-01:15,2.470000,2.410000,0.000000,0.000000,0.000000,0,4,118.510000,0,0,2.890000,23,7.67,26.130000,0,101.410000,7,0,0,7.66,15.09,0,132.840000,15.09,0,58.090000,27.110000,0.000000,0,0,0,0,217.840000,26.130000

6,01:15-01:30,2.470000,2.410000,0.000000,0.000000,0.000000,0,4,118.510000,0,0,2.890000,22.5,7.5,26.130000,0,101.410000,7,0,0,7.5,15.08,0,132.840000,15.08,0,58.090000,27.110000,0.000000,0,0,0,0,217.840000,26.130000

7,01:30-01:45,2.470000,2.410000,0.000000,0.000000,0.000000,0,4,118.510000,0,0,2.890000,22,7.33,26.130000,0,101.410000,7,0,0,7.34,15.05,0,132.840000,15.05,0,58.090000,27.110000,0.000000,0,0,0,0,217.840000,26.130000

8,01:45-02:00,2.470000,2.410000,0.000000,0.000000,0.000000,0,4,118.510000,0,0,2.890000,22,7.33,26.130000,0,101.410000,7,0,0,7.34,14.88,0,132.840000,14.88,0,58.090000,27.110000,0.000000,0,0,0,0,217.840000,26.130000

