Block,Time,DADRI_GF,ANTA_LF,KOLDAM,SEWA2,TANAKPUR,JHAJJAR,AURY_CRF,URI2,PARBATI3,TEHRI,AURY_RF,CHAMERA2,NAPP,DADRI_CRF,RAMPUR,RAPPB,DADRI_RF,RIHAND1,SINGRAULI,DULHASTI,URI,RIHAND2,NJPC,SALAL,AURY_GF,KOTESHWR,KISHANGANGA,UNCHAHAR1,DADRT2,BSIUL,TANDA2,RIHAND3,CHAMERA1,UNCHAHAR2,ANTA_RF,DADRI_LF,UNCHAHAR4,CHAMERA3,SINGRAULI_HYDRO,ANTA_CRF,RAPPC,UNCHAHAR3,ANTA_GF,DHAULIGNGA,AURY_LF,FSTPP I & II,SASAN,KHSTPP-II,BRBCL,KHSTPP-I,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,9.156737,0.000000,426.899999,0.000000,36.465835,0.000000,12.499702,0.000000,15.558745,49.919694,0.000000,0.000000,0.000000,0.000000,90.904400,139.248645,18.983470,30.812198,58.504296,0.000000,24.602794,0.000000,9.985206,2.643572,21.394152,659.740547,12.551236,5.156625,122.590512,0.000000,41.967016,0.000000,0.000000,1.433976,11.162605,0.729511,0.000000,66.726957,26.022315,0.000000,0.000000,0.000000,19.887611,335.801570,142.177469,19.247984,44.654475,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,9.156737,0.000000,426.899999,0.000000,36.465835,0.000000,12.499702,0.000000,15.558745,49.919694,0.000000,0.000000,0.000000,0.000000,90.904400,139.248645,18.983470,30.812198,58.504296,0.000000,24.602794,0.000000,9.985206,2.643572,21.394152,659.740547,12.551236,5.156625,122.590512,0.000000,41.967016,0.000000,0.000000,1.433976,11.162605,0.729511,0.000000,66.726957,26.022315,0.000000,0.000000,0.000000,19.887611,335.853540,142.177469,19.247984,44.654475,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,9.156737,0.000000,426.899999,0.000000,36.465835,0.000000,12.499702,0.000000,15.558745,49.919694,0.000000,0.000000,0.000000,0.000000,90.904400,133.629677,18.983470,30.812198,58.504296,0.000000,24.602794,0.000000,9.985206,2.643572,21.394152,630.978601,12.551236,5.156625,122.590512,0.000000,41.967016,0.000000,0.000000,1.433976,11.162605,0.729511,0.000000,66.726957,26.022315,0.000000,0.000000,0.000000,19.887611,335.853540,142.177469,17.185963,44.654475,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,9.156737,0.000000,426.899999,0.000000,36.465835,0.000000,12.499702,0.000000,15.558745,49.919694,0.000000,0.000000,0.000000,0.000000,90.904400,128.204466,18.983470,30.812198,58.504296,0.000000,24.602794,0.000000,9.985206,2.643572,21.394152,582.858601,12.551236,5.156625,122.590512,0.000000,41.967016,0.000000,0.000000,1.433976,11.162605,0.729511,0.000000,66.726957,26.022315,0.000000,0.000000,0.000000,19.887611,335.853540,142.177469,16.569988,44.654475,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,9.156737,0.000000,426.899999,0.000000,36.465835,0.000000,12.499702,0.000000,15.558745,49.919694,0.000000,0.000000,0.000000,0.000000,90.904400,122.779255,18.983470,30.812198,58.504296,0.000000,76.391674,0.000000,9.985206,2.643572,21.394152,534.738601,12.551236,5.156625,122.590512,0.000000,41.967016,0.000000,0.000000,1.433976,11.162605,0.729511,0.000000,66.726957,26.022315,0.000000,0.000000,0.000000,19.887611,335.853540,142.177469,14.353570,44.654475,0.000000,0,0,0,0,0

