Column1,Block,NR/2025/25551/C,NR/2025/25552/C,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/6891,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/9482,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/1906,GNA/WR/2025/03/01/6406,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/01/01/9606,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/5143,GNA/WR/2025/01/01/8625,NR/2025/25159/A/56717,GNARE/NR/2024/12/20/3668,WR/2025/26426/A/56776,WR/2025/26427/A/56777,WR/2025/26582/A/57083,WR/2025/26499/A/57087,NR/2025/25513/A/56823,Total
,,SJVNL,SJVNL,NDMC,NDMC,NDMC,NDMC,PTC,APPCPL,NDMC,PUNJAB,NDMC,APPCPL,DELHI,APPCPL,BAWANA_GAS,PTC,TPTCL,ITCLH,SECI_Trader,KEIPL,KEIPL,APPCPL,APPCPL,IEXL,
,,NA,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPSL_BKN2,RSRPL_BKN,RKM_POWER,SKS_Raigarh,RKM_POWER,TRN_ENERGY,BYPL,BYPL,JIPL,BAWANA_GAS,JPL2,BRPL,CHANJUII,BYPL,BAWANA_GAS,BRPL,BYPL,ITCWIND,APSEPL_FTG,BYPL,BRPL,BRPL,BRPL,TPDDL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,KERALA_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,MSEB_State,DELHI_UT,MSEB_State,HARYANA_STATE,HIMACHAL_STATE,MSEB_State,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,CSEB_State,MSEB_State,JK_and_LADAKH_UT,
,,NDMC,NDMC,NDMC,NDMC,NDMC,NDMC,HP,KSEB,NDMC,PUNJAB,NDMC,AEML,TPDDL,AEML,HARYANA,HP,TPC_MSEB,ITCLH,TPDDL,CSEB_Beneficiary,CSEB_Beneficiary,CSEB_Beneficiary,AEML,JK_LADAKH,
,,North-North,North-North,West-North,West-North,West-North,West-North,North-North,North-West-South,East-North,North-North,West-North,North-West,North-North,North-West,North-North,North-North,North-West,South-West-North,North-North,North-West,North-West,North-West,North-West,North-North,
1,00:00-00:15,0,0,23.04,5.76,23.04,6.72,55.49,200,9.6,26.99,23.04,42,5.61,0,26.99,166.48,0,0.43,0,167.57,48,48,0,0,878.76

2,00:15-00:30,0,0,23.04,5.76,23.04,6.72,55.49,200,9.6,26.99,23.04,42,5.61,0,26.99,166.48,0,0.43,0,167.57,48,48,0,0,878.76

3,00:30-00:45,0,0,23.04,5.76,23.04,6.72,55.49,200,9.6,26.99,23.04,42,5.61,0,26.99,166.48,0,0.43,0,167.57,48,48,0,0,878.76

4,00:45-01:00,0,0,23.04,5.76,23.04,6.72,55.49,200,9.6,26.99,23.04,42,5.61,0,26.99,166.48,0,0.43,0,167.57,48,48,0,0,878.76

5,01:00-01:15,0,0,23.04,5.76,23.04,6.72,55.49,200,9.6,26.99,23.04,42,5.51,0,26.99,166.48,0,0.43,0,167.57,48,48,0,0,878.6600000000001

6,01:15-01:30,0,0,23.04,5.76,23.04,6.72,55.49,200,9.6,26.99,23.04,42,5.51,0,26.99,166.48,0,0.43,0,167.57,48,48,0,0,878.6600000000001

7,01:30-01:45,0,0,23.04,5.76,23.04,6.72,55.49,200,9.6,26.99,23.04,42,5.51,0,26.99,166.48,0,0.43,0,167.57,48,48,0,0,878.6600000000001

8,01:45-02:00,0,0,23.04,5.76,23.04,6.72,55.49,200,9.6,26.99,23.04,42,5.51,0,26.99,166.48,0,0.43,0,167.57,48,48,0,0,878.6600000000001

9,02:00-02:15,0,0,23.04,5.76,23.04,6.72,55.49,0,9.6,26.99,23.04,42,5.51,0,26.99,166.48,0,0.43,0,167.57,48,48,0,0,678.66

10,02:15-02:30,0,0,23.04,5.76,23.04,6.72,55.49,0,9.6,26.99,23.04,42,5.51,0,26.99,166.48,0,0.43,0,167.57,48,48,0,0,678.66

11,02:30-02:45,0,0,23.04,5.76,23.04,6.72,55.49,0,9.6,26.99,23.04,42,5.51,0,26.99,166.48,0,0.43,0,167.57,48,48,0,0,678.66

12,02:45-03:00,0,0,23.04,5.76,23.04,6.72,55.49,0,9.6,26.99,23.04,42,5.51,0,26.99,166.48,0,0.43,0,167.57,48,48,0,0,678.66

13,03:00-03:15,0,0,23.04,5.76,23.04,6.72,55.49,0,9.6,26.99,23.04,42,5.42,0,26.99,166.48,0,0.43,0,167.57,48,48,0,0,678.5699999999999

14,03:15-03:30,0,0,23.04,5.76,23.04,6.72,55.49,0,9.6,26.99,23.04,42,5.42,0,26.99,166.48,0,0.43,0,167.57,48,48,0,0,678.5699999999999

15,03:30-03:45,0,0,23.04,5.76,23.04,6.72,55.49,0,9.6,26.99,23.04,42,5.42,0,26.99,166.48,0,0.43,0,167.57,48,48,0,0,678.5699999999999

16,03:45-04:00,0,0,23.04,5.76,23.04,6.72,55.49,0,9.6,26.99,23.04,42,5.42,0,26.99,166.48,0,0.43,0,167.57,48,48,0,0,678.5699999999999

17,04:00-04:15,0,0,23.04,5.76,23.04,6.72,55.49,0,9.6,26.99,23.04,42,5.42,0,26.99,166.48,0,0.43,0,167.57,48,48,0,0,678.5699999999999

18,04:15-04:30,0,0,23.04,5.76,23.04,6.72,55.49,0,9.6,26.99,23.04,42,5.42,0,26.99,166.48,0,0.43,0,167.57,48,48,0,0,678.5699999999999

19,04:30-04:45,0,0,23.04,5.76,23.04,6.72,55.49,0,9.6,26.99,23.04,42,5.42,0,26.99,166.48,0,0.43,0,167.57,48,48,0,0,678.5699999999999

20,04:45-05:00,0,0,23.04,5.76,23.04,6.72,55.49,0,9.6,26.99,23.04,42,5.42,0,26.99,166.48,0,0.43,0,167.57,48,48,0,0,678.5699999999999

21,05:00-05:15,0,0,23.04,5.76,23.04,6.72,55.49,0,9.6,26.99,23.04,42,5.33,0,26.99,166.48,0,0.48,0,167.57,48,48,0,0,678.53

22,05:15-05:30,0,0,23.04,5.76,23.04,6.72,55.49,0,9.6,26.99,23.04,42,5.33,0,26.99,166.48,0,0.48,0,167.57,48,48,0,0,678.53

23,05:30-05:45,0,0,23.04,5.76,23.04,6.72,55.49,0,9.6,26.99,23.04,42,5.33,0,26.99,166.48,0,0.48,0,167.57,48,48,0,0,678.53

24,05:45-06:00,0,0,23.04,5.76,23.04,6.72,55.49,0,9.6,26.99,23.04,42,5.33,0,26.99,166.48,0,0.48,0,167.57,48,48,0,0,678.53

25,06:00-06:15,0,0,34.56,5.76,34.56,6.72,0,0,9.6,17.4,34.56,42,5.24,0,17.4,0,0,0.53,0,167.57,0,0,0,0,375.9

26,06:15-06:30,0,0,34.56,5.76,34.56,6.72,0,0,9.6,17.4,34.56,42,5.24,0,17.4,0,0,0.53,0,167.57,0,0,0,0,375.9

27,06:30-06:45,0,0,34.56,5.76,34.56,6.72,0,0,9.6,31.51,34.56,42,5.24,0,31.51,0,0,0.53,0.41,167.57,0,0,0,0,404.53

28,06:45-07:00,0,0,34.56,5.76,34.56,6.72,0,0,9.6,31.51,34.56,42,5.24,0,31.51,0,0,0.53,0.41,167.57,0,0,0,0,404.53

29,07:00-07:15,0,0,34.56,5.76,34.56,6.72,0,0,9.6,31.51,34.56,0,5.24,0,31.51,0,0,0.58,0,167.57,0,0,40.32,0,402.48999999999995

30,07:15-07:30,0,0,34.56,5.76,34.56,6.72,0,0,9.6,31.51,34.56,0,5.24,0,31.51,0,0,0.58,1.47,167.57,0,0,40.32,0,403.96

31,07:30-07:45,0,0,34.56,5.76,34.56,6.72,0,0,9.6,31.51,34.56,0,5.24,0,31.51,0,0,0.58,5.76,167.57,0,0,40.32,0,408.24999999999994

32,07:45-08:00,0,0,34.56,5.76,34.56,6.72,0,0,9.6,32,34.56,0,5.24,0,32,0,0,0.58,12.13,167.57,0,0,40.32,0,415.59999999999997

33,08:00-08:15,0,0,34.56,5.76,34.56,6.72,0,0,9.6,32,34.56,0,5.15,0,25.83,0,0,0.96,18.83,0,0,0,40.32,0,248.85000000000002

34,08:15-08:30,0,0,34.56,5.76,34.56,6.72,0,0,9.6,32,34.56,0,5.15,0,25.83,0,0,0.96,25.86,0,0,0,40.32,0,255.88

35,08:30-08:45,0,0,34.56,5.76,34.56,6.72,0,0,9.6,26.99,34.56,0,5.15,0,26.99,0,0,0.96,33.29,0,0,0,40.32,0,259.46000000000004

36,08:45-09:00,0,0,34.56,5.76,34.56,6.72,0,0,9.6,26.99,34.56,0,5.15,0,26.99,0,0,0.96,40.75,0,0,0,40.32,0,266.92

37,09:00-09:15,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,5.15,0,26.99,0,0,0.91,48.03,0,0,0,40.32,0,292.39000000000004

38,09:15-09:30,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,5.15,0,26.99,0,0,0.91,54.95,0,0,0,40.32,0,299.31

39,09:30-09:45,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,5.15,0,26.99,0,0,0.91,58.45,0,0,0,40.32,0,302.81

40,09:45-10:00,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,5.15,0,26.99,0,0,0.91,64.29,0,0,0,40.32,0,308.65000000000003

41,10:00-10:15,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,5.05,0,26.99,0,0,0.91,69.72,0,0,0,40.32,0,313.98

42,10:15-10:30,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,5.05,0,26.99,0,0,0.91,78.36,0,0,0,40.32,0,322.62

