Block,Time,SASAN,UNCHAHAR4,FSTPP I & II,TANDA2,KHSTPP-II,JHAJJAR,BRBCL,DADRI_GF,TALA,KHSTPP-I,ANTA_CRF,AURY_GF,ANTA_RF,URI,UNCHAHAR3,TANAKPUR,DADRI_RF,RIHAND1,RIHAND3,UNCHAHAR2,CHAMERA1,BSIUL,NAPP,SINGRAULI_HYDRO,AURY_CRF,PARBATI3,DADRI_CRF,UNCHAHAR1,KISHANGANGA,RAPPC,RAMPUR,TEHRI,NJPC,DULHASTI,SEWA2,KOLDAM,KOTESHWR,URI2,ANTA_LF,SALAL,CHAMERA3,DADRT2,SINGRAULI,DHAULIGNGA,AURY_LF,AURY_RF,RIHAND2,ANTA_GF,RAPPB,CHAMERA2,DADRI_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,372.526200,0.000000,13.781544,0.000000,141.753342,560.282498,19.252017,0.000000,0.000000,44.663754,0.000000,0.000000,0.000000,39.320285,21.941803,6.165453,0.000000,88.559200,119.040531,40.804710,0.000000,12.553844,41.327883,0.644509,0.000000,0.000000,0.000000,10.501966,0.000000,51.426809,0.000000,0.000000,0.000000,0.000000,10.162515,0.000000,8.067551,24.602901,0.000000,12.303953,0.000000,326.606811,120.204675,0.000000,0.000000,0.000000,113.707125,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,372.526200,0.000000,13.781544,0.000000,141.753342,626.800271,19.133824,0.000000,0.000000,44.663754,0.000000,0.000000,0.000000,39.320285,25.403110,6.165453,0.000000,88.559200,119.040531,40.804710,0.000000,12.553844,41.327883,0.644509,0.000000,0.000000,0.000000,10.501966,0.000000,51.426809,0.000000,0.000000,0.000000,0.000000,10.162515,0.000000,8.067551,24.602901,0.000000,12.303953,0.000000,297.728811,120.204675,0.000000,0.000000,0.000000,113.707125,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,372.526200,0.000000,13.781544,0.000000,141.753342,628.245799,18.373437,0.000000,0.000000,44.663754,0.000000,0.000000,0.000000,33.475378,25.403110,6.165453,0.000000,88.559200,119.040531,40.804710,0.000000,12.553844,41.327883,0.644509,0.000000,0.000000,0.000000,10.501966,0.000000,51.426809,0.000000,0.000000,0.000000,0.000000,10.162515,0.000000,8.067551,25.897790,0.000000,12.303953,0.000000,295.535764,120.204675,0.000000,0.000000,0.000000,113.707125,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,372.526200,0.000000,13.781544,0.000000,141.753342,599.622792,17.451593,0.000000,0.000000,44.663754,0.000000,0.000000,0.000000,33.475378,25.403110,6.165453,0.000000,88.559200,119.040531,40.804710,0.000000,12.553844,41.327883,0.644509,0.000000,0.000000,0.000000,10.501966,0.000000,51.426809,0.000000,0.000000,0.000000,0.000000,10.162515,0.000000,8.067551,25.897790,0.000000,12.303953,0.000000,283.166620,120.204675,0.000000,0.000000,0.000000,113.707125,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,372.526200,0.000000,13.781544,0.000000,122.501342,524.063505,16.323316,0.000000,0.000000,38.527584,0.000000,0.000000,0.000000,33.475378,21.941119,0.000000,0.000000,88.559200,119.040531,35.216528,0.000000,12.553844,41.327883,0.644509,0.000000,0.000000,0.000000,10.501966,0.000000,51.426809,0.000000,0.000000,0.000000,0.000000,10.162515,0.000000,8.067551,27.840125,0.000000,12.303953,0.000000,265.372358,120.204675,0.000000,0.000000,0.000000,113.707125,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

6,01:15-01:30,372.526200,0.000000,13.781544,0.000000,122.501342,456.681505,15.778742,0.000000,0.000000,38.527584,0.000000,0.000000,0.000000,33.475378,21.941119,0.000000,0.000000,88.559200,119.040531,35.216528,0.000000,12.553844,41.327883,0.644509,0.000000,0.000000,0.000000,10.501966,0.000000,51.426809,0.000000,0.000000,0.000000,0.000000,10.162515,0.000000,8.067551,27.840125,0.000000,24.607906,0.000000,248.702935,120.204675,0.000000,0.000000,0.000000,113.707125,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

