Column1,Block,GNARE/NR/2024/12/20/3668,GNA/NR/2025/03/01/2563,GNA/WR/2025/01/01/9606,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/1906,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/07/1198,GNA/WR/2025/01/01/8625,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,WR/2025/26426/A/56319,WR/2025/26427/A/56320,WR/2025/26582/A/56546,WR/2025/26499/A/56548,NR/2025/25496/C,NR/2025/25497/C,NR/2025/25159/A/56284,Total
,,SECI_Trader,NDMC,APPCPL,APPCPL,NDMC,NDMC,NDMC,APPCPL,NDMC,PTC,PTC,NDMC,HPXL,TPTCL,PUNJAB,DELHI,BAWANA_GAS,KEIPL,KEIPL,APPCPL,APPCPL,SJVNL,SJVNL,ITCLH,
,,NA,NA,DELHI_UT,DELHI_UT,NA,NA,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,DVC_STATE,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,ANDHRA_PRADESH_STATE,
,,APSEPL_FTG,RKM_POWER,BYPL,BYPL,TRN_ENERGY,RKM_POWER,JPL2,BRPL,SKS_Raigarh,BRPL,BYPL,JIPL,DVC,BYPL,BAWANA_GAS,CHANJUII,BAWANA_GAS,BYPL,BRPL,BRPL,BRPL,TPSL_BKN2,RSRPL_BKN,ITCWIND,
,,DELHI_UT,DELHI_UT,MSEB_State,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,MSEB_State,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,CSEB_State,CSEB_State,CSEB_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,NDMC,AEML,KSEB,NDMC,NDMC,NDMC,AEML,NDMC,HP,HP,NDMC,BYPL,TPC_MSEB,PUNJAB,TPDDL,HARYANA,CSEB_Beneficiary,CSEB_Beneficiary,CSEB_Beneficiary,AEML,NDMC,NDMC,ITCLH,
,,North-North,West-North,North-West,North-West-South,West-North,West-North,West-North,North-West,West-North,North-North,North-North,East-North,East-North,North-West,North-North,North-North,North-North,North-West,North-West,North-West,North-West,North-North,North-North,South-West-North,
1,00:00-00:15,0,23.02,0,200,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.68,32,167.43,47.96,47.96,0,0,0,0.43,922.89

2,00:15-00:30,0,23.02,0,200,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.68,32,167.43,47.96,47.96,0,0,0,0.43,922.89

