Column1,Block,NR/2024/24368/C,NR/2024/24227/A/46119,NR/2024/24367/C,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1599,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2024/12/01/1475,GNA/WR/2024/10/15/7089,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/1899,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/7739,NER/2024/2770/A/46211,NR/2024/24052/A/46010,NR/2024/24377/C,NR/2024/23952/A/45992,NR/2024/24051/A/46011,NR/2024/24370/C,NR/2024/24060/A/46250,GNA/WR/2024/11/01/4200,NR/2024/24146/A/46000,NR/2024/24097/A/46004,NR/2024/24376/C,NR/2024/24088/A/46006,WR/2024/25054/A/46216,NR/2024/24224/A/46114,NR/2024/24225/A/46117,NR/2024/24369/C,NR/2024/24071/A/46009,GNA/SR/2024/12/01/6968,Total
,,SJVNL,OIDLWM3_AEROCITY,SJVNL,NDMC,NDMC,PTC,DELHI,PUNJAB,NDMC,APPCPL,NDMC,NDMC,BAWANA_GAS,PTC,APPCPL,IEXL,HPXL,ITCLH,IEXL,SJVNL,NVVNL,MANIKARAN,IEXL,IEXL,HPXL,IEXL,APPCPL,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,SJVNL,IEXL,KSEB,
,,NA,NA,NA,NA,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,NA,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,TELANGANA_State,ODISHA_STATE,ANDHRA_PRADESH_STATE,TELANGANA_State,KARNATAKA_STATE,NA,DELHI_UT,MP_State,KARNATAKA_STATE,NA,KARNATAKA_STATE,DELHI_UT,NA,NA,KARNATAKA_STATE,NA,DELHI_UT,
,,TPSL_BKN2,TESPL_BKN2,RSRPL_BKN,RKM_POWER,SKS_Raigarh,BRPL,CHANJUII,BAWANA_GAS,JPL2,BYPL,RKM_POWER,TRN_ENERGY,BAWANA_GAS,BYPL,BYPL,NSLKSLWPRTY,MAADURGA_THERMAL,ITCWIND,NSLKSLWPRTY,RENUKASUGARSMUNOLI,JITPL,BRPL,NSPLN_MP,NSLSUGARALAND,SINGOLI,NSLSTUNGBHDRA,BRPL,TESPL_BKN2,TESPL_BKN2,RENUKASUGARSATHANI,TESPL_BKN2,BYPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,HARYANA_STATE,HIMACHAL_STATE,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,
,,NDMC,OIDLWM3_AEROCITY,NDMC,NDMC,NDMC,HP,TPDDL,PUNJAB,NDMC,AEML,NDMC,NDMC,HARYANA,HP,Manipur_Ben,MES_Delhi,BYPL,ITCLH,MES_Delhi,NDMC,NDMC,AEML,MES_Delhi,MES_Delhi,BYPL,MES_Delhi,GOA_Beneficiary,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,NDMC,MES_Delhi,KSEB,
,,North-North,North-North,North-North,West-North,West-North,North-North,North-North,North-North,West-North,North-West,West-North,West-North,North-North,North-North,North-East-North East,South-West-North,East-North,South-West-North,South-West-North,South-West-North,East-North,North-West,West-North,South-West-North,North-North,South-West-North,North-West,North-North,North-North,South-West-North,North-North,North-West-South,
1,00:00-00:15,0,0,0,25.97,8.66,95.13,1.65,31,25.97,0,25.97,8.66,31,31.71,0,2.89,0,0.43,0,0,17.31,0,5.77,7.69,0,0.96,0,0,0,0,0,150,470.7699999999999

2,00:15-00:30,0,0,0,25.97,8.66,95.13,1.65,31,25.97,0,25.97,8.66,31,31.71,0,2.89,0,0.43,0,0,17.31,0,5.77,7.69,0,0.96,0,0,0,0,0,150,470.7699999999999

