Time,Block,NR/2023/16630/C,NR/2023/16437/F,NR/2023/13636/A,NR/2023/13387/A,NR/2023/16185/A,NR/2023/13148/A,NR/2023/16291/F,NR/2023/16291/F/II,NR/2023/16612/D,NR/2023/13150/A,NR/2023/13376/A,NR/2023/16635/C,NR/2023/16191/A,NR/2023/16073/A,ER/2023/10403/C,NR/2023/13519/A,NR/2023/13383/A,NR/2023/13254/A,ER/2023/10409/C,NR/2023/13385/A,NR/2023/16617/D,NR/2023/13253/A,NR/2023/13165/A,SR/2023/9341/C,NR/2023/16620/C,NR/2023/16615/D,NR/2023/15770/A,WR/2023/18625/C,NR/2023/16614/D,NR/2023/16616/D,NR/2023/13908/A,NR/2023/13242/A,NR/2023/16077/A,NR/2023/16520/F,Total
,,TPDDL,NVVNL,NVVNL,NVVNL,MANIKARAN,KEIPL,ITCLH,ITCLH,NVVNL,KEIPL,APPCPL,IEXL,MANIKARAN,APPCPL,HPXL,STATKRAFT,APPCPL,APPCPL,IEXL,NVVNL,NVVNL,APPCPL,GMRETL,PXIL,GBHHPL,IEXL,NVVNL,IEXL,NVVNL,IEXL,TPTCL,APPCPL,APPCPL,IEXL,Total

,,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,MEGHALAYA,ANDHRA PRADESH,ANDHRA PRADESH,NA,MEGHALAYA,MEGHALAYA,NA,HIMACHAL PRADESH,GOA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,DELHI,MP,NA,UTTARAKHAND,MEGHALAYA,DELHI,HIMACHAL PRADESH,TAMIL NADU,NA,DELHI,NA,TAMIL NADU,NA,SIKKIM,HIMACHAL PRADESH,UTTAR PRADESH,
,,CHANJUII,KAMENG,KAMENG,JPNIGRIE_JNSTPP,HP,Meghalaya_Ben,ITCWIND,ITCWIND,SOLAPUR_SOLAR,Meghalaya_Ben,Meghalaya_Ben,Teesta_III,HP,GOA_Beneficiary,BYPL,HP,HP,Meghalaya_Ben,BYPL,JP BINA,KAMENG,UTTARAKHAND,Meghalaya_Ben,BYPL,GBHHPL,OPGPGUNIT1TN,SKS Raigarh,EDWPCL12,KAMENG,OPGPGPLU4TN,JPL,SIKKIM,HP,PPGCL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,TELANGANA,DELHI,DELHI,DELHI,Gujarat,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,TPDDL,BRPL,BRPL,BRPL,BYPL,ITCLH,ITCLH,MES (Delhi),BYPL,BYPL,BRPL,BRPL,BRPL,VLSEZ,BYPL,BYPL,BYPL,VLSEZ,BRPL,BRPL,BYPL,BYPL,TSSPDCL,DIAPL,BRPL,NDMC,GIFT GNGR,TPDDL,BRPL,BRPL,BYPL,BRPL,BRPL,
,,North-North,North East-East-North,North East-East-North,West-North,North-North,North East-East-North,South-West-North,South-East-North,West-North,North East-East-North,North East-East-North,East-North,North-North,West-North,North-East,North-North,North-North,North East-East-North,North-East,West-North,North East-East-North,North-North,North East-East-North,North-West-South,North-North,South-East-North,West-North,North-East-West,North East-East-North,South-East-North,West-North,East-North,North-North,North-North,
1,00:00-00:15,12.930000,174.470000,22.580000,100.120000,62.870000,36.500000,0.830000,0.040000,0,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,58.460000,33.370000,19.630000,0.000000,50.060000,2.460000,48.360000,22.250000,0.00,7.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,29.600000,77.870000,0.000000,1549.71

2,00:15-00:30,12.930000,174.470000,22.580000,100.120000,62.870000,36.500000,0.830000,0.040000,0,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,58.460000,33.370000,19.630000,0.000000,50.060000,2.460000,48.360000,22.250000,0.00,7.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,29.600000,77.870000,0.000000,1549.71

3,00:30-00:45,12.930000,174.470000,22.580000,100.120000,62.870000,36.500000,0.830000,0.040000,0,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,58.460000,33.370000,19.630000,0.000000,50.060000,2.460000,48.360000,22.250000,0.00,7.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,29.600000,77.870000,0.000000,1549.71

4,00:45-01:00,12.930000,174.470000,22.580000,100.120000,62.870000,36.500000,0.830000,0.040000,0,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,58.460000,33.370000,19.630000,0.000000,50.060000,2.460000,48.360000,22.250000,0.00,7.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,29.600000,77.870000,0.000000,1549.71

5,01:00-01:15,12.930000,174.470000,22.580000,100.120000,62.870000,36.500000,0.470000,0.150000,0,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,58.460000,33.370000,19.630000,0.000000,50.060000,2.460000,48.360000,22.250000,0.00,7.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,29.600000,77.870000,0.000000,1549.46

6,01:15-01:30,12.930000,174.470000,22.580000,100.120000,62.870000,36.500000,0.470000,0.150000,0,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,58.460000,33.370000,19.630000,0.000000,50.060000,2.460000,48.360000,22.250000,0.00,7.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,29.600000,77.870000,0.000000,1549.46

7,01:30-01:45,12.930000,174.470000,22.580000,100.120000,62.870000,36.500000,0.470000,0.150000,0,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,58.460000,33.370000,19.630000,0.000000,50.060000,2.460000,48.360000,22.250000,0.00,7.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,29.600000,77.870000,0.000000,1549.46

8,01:45-02:00,12.930000,174.470000,22.580000,100.120000,62.870000,36.500000,0.470000,0.150000,0,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,58.460000,33.370000,19.630000,0.000000,50.060000,2.460000,48.360000,22.250000,0.00,7.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,29.600000,77.870000,0.000000,1549.46

9,02:00-02:15,12.740000,174.470000,22.580000,100.120000,62.870000,36.500000,0.630000,0.000000,0,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,58.460000,33.370000,19.630000,70.000000,50.060000,2.460000,48.360000,22.250000,0.00,7.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,29.600000,77.870000,0.000000,1619.28

10,02:15-02:30,12.740000,174.470000,22.580000,100.120000,62.870000,36.500000,0.630000,0.000000,0,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,58.460000,33.370000,19.630000,70.000000,50.060000,2.460000,48.360000,22.250000,0.00,7.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,29.600000,77.870000,0.000000,1619.28

11,02:30-02:45,12.740000,174.470000,22.580000,100.120000,62.870000,36.500000,0.630000,0.000000,0,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,58.460000,33.370000,19.630000,70.000000,50.060000,2.460000,48.360000,22.250000,0.00,7.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,29.600000,77.870000,0.000000,1619.28

12,02:45-03:00,12.740000,174.470000,22.580000,100.120000,62.870000,36.500000,0.630000,0.000000,0,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,58.460000,33.370000,19.630000,70.000000,50.060000,2.460000,48.360000,22.250000,0.00,7.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,29.600000,77.870000,0.000000,1619.28

13,03:00-03:15,12.650000,174.470000,22.580000,100.120000,62.870000,0.000000,0.630000,0.000000,0,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,0.000000,33.370000,19.630000,70.000000,50.060000,2.460000,48.360000,22.250000,0.00,7.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,29.600000,77.870000,0.000000,1524.23

14,03:15-03:30,12.650000,174.470000,22.580000,100.120000,62.870000,0.000000,0.630000,0.000000,0,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,0.000000,33.370000,19.630000,70.000000,50.060000,2.460000,48.360000,22.250000,0.00,7.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,29.600000,77.870000,0.000000,1524.23

15,03:30-03:45,12.650000,174.470000,22.580000,100.120000,62.870000,0.000000,0.630000,0.000000,0,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,0.000000,33.370000,19.630000,70.000000,50.060000,2.460000,48.360000,22.250000,0.00,7.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,29.600000,77.870000,0.000000,1524.23

16,03:45-04:00,12.650000,174.470000,22.580000,100.120000,62.870000,0.000000,0.630000,0.000000,0,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,0.000000,33.370000,19.630000,70.000000,50.060000,2.460000,48.360000,22.250000,0.00,7.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,29.600000,77.870000,0.000000,1524.23

17,04:00-04:15,12.560000,174.470000,22.580000,100.120000,62.870000,0.000000,0.580000,0.000000,0,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,33.370000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,40.00,6.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,29.600000,77.870000,0.000000,1623.09

18,04:15-04:30,12.560000,174.470000,22.580000,100.120000,62.870000,0.000000,0.580000,0.000000,0,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,33.370000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,40.00,6.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,29.600000,77.870000,0.000000,1623.09

19,04:30-04:45,12.560000,174.470000,22.580000,100.120000,62.870000,0.000000,0.580000,0.000000,0,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,33.370000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,40.00,6.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,29.600000,77.870000,0.000000,1623.09

