Block,Time,BSIUL,KOLDAM,NNTPP,RAMPUR,SIMHST1,UNCHAHAR3,AURY_CRF,AURY_LF,DADRI_RF,DADRT2,KGSU3AND4,KHSTPP-I,NLCEXP,RIHAND3,TANDA2,TelanganaSTPP,VALLURNTECL,JHAJJAR,KKNPPU2,KOTESHWR,NLCIIST1,SINGRAULI_HYDRO,TALA,TEHRI,ANTA_CRF,ANTA_LF,CHAMERA1,NLCIIST2,RAPPC,RSTPSU1TO6,SALAL,SEWA2,TANAKPUR,UNCHAHAR4,AURY_RF,RAPPB,SINGRAULI,URI,ANTA_GF,ANTA_RF,DADRI_CRF,DADRI_LF,BRBCL,CHAMERA2,DULHASTI,NLCTS2EXP,RSTPSU7,SIMHST2,TALST2,UNCHAHAR2,URI2,DHAULIGNGA,FSTPP I & II,KGSU1AND2,KISHANGANGA,KKNP,KUDGI,MAPS,NJPC,PARBATI3,RIHAND1,UNCHAHAR1,CHAMERA3,KHSTPP-II,NAPP,NTPL,RIHAND2,SASAN,AURY_GF,DADRI_GF
1,00:00-00:15,0,0,0,0,0,26.4,0,0,69.05,683.14,0,33.69,0,124.33,0,0,0,434.65,0,17.75,0,0.36,0,0,0,0,0,0,53.3,0,1.4,0,5.76,0,53.75,0,104.15,1.11,0,44.62,0,23.56,20,0,16.48,0,0,0,0,42.39,4.31,0,20.8,0,0,0,0,0,0,0,92,10.28,0,148.3,43.79,0,118.76,382.5,0,0

2,00:15-00:30,0,0,0,0,0,26.4,0,0,69.05,683.14,0,33.69,0,124.33,0,0,0,434.65,0,17.75,0,0.36,0,0,0,0,0,0,53.3,0,1.4,0,5.76,0,53.75,0,104.15,1.11,0,44.62,0,23.56,20,0,16.48,0,0,0,0,42.39,4.31,0,20.8,0,0,0,0,0,0,0,92,10.28,0,148.3,43.79,0,118.76,382.5,0,0

3,00:30-00:45,0,0,0,0,0,26.4,0,0,69.05,683.14,0,33.69,0,124.33,0,0,0,434.65,0,17.75,0,0.36,0,0,0,0,0,0,53.3,0,1.4,0,5.76,0,53.75,0,104.15,1.11,0,44.62,0,23.56,20,0,16.48,0,0,0,0,42.39,4.31,0,20.8,0,0,0,0,0,0,0,92,10.28,0,148.3,43.79,0,118.76,382.5,0,0

4,00:45-01:00,0,0,0,0,0,26.4,0,0,69.05,683.14,0,33.69,0,124.33,0,0,0,434.65,0,17.75,0,0.36,0,0,0,0,0,0,53.3,0,1.4,0,5.76,0,53.75,0,104.15,1.11,0,44.62,0,23.56,20,0,16.48,0,0,0,0,42.39,4.31,0,20.8,0,0,0,0,0,0,0,92,10.28,0,148.3,43.79,0,118.76,382.5,0,0

5,01:00-01:15,0,0,0,0,0,26.4,0,0,69.05,683.14,0,33.69,0,124.33,0,0,0,434.65,0,17.75,0,0.36,0,0,0,0,0,0,53.3,0,1.4,0,5.76,0,53.75,0,104.15,1.11,0,44.62,0,23.56,20,0,16.48,0,0,0,0,42.39,4.31,0,20.8,0,0,0,0,0,0,0,92,10.28,0,148.3,43.79,0,118.76,382.5,0,0

6,01:15-01:30,0,0,0,0,0,26.4,0,0,69.05,683.14,0,33.69,0,124.33,0,0,0,434.65,0,17.75,0,0.36,0,0,0,0,0,0,53.3,0,1.4,0,5.76,0,53.75,0,104.15,1.11,0,44.62,0,23.56,20,0,16.48,0,0,0,0,42.39,4.31,0,20.8,0,0,0,0,0,0,0,92,10.28,0,148.3,43.79,0,118.76,382.5,0,0

