Column1,Time,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/5143,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,GNA/NR/2025/03/01/3469,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/6891,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/03/01/2563,NR/01102023/06022042/L_NR_2012_02,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/4651,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,GNA/WR/2025/03/01/6406,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31052040/LT-31,GNA/NR/2025/03/01/1906,GNA/WR/2025/01/01/8625,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/03/01/8036
1,00:00-00:15,0,10,46.66,0,0,0,0,46.67,0,0,13.33,0,0,40.01,0,0,10.67,0,13.33,0,17.28,166.48,35.01,1.39,1.08,6.72,200,55.49,210.24,23.04,139.2,0,5.76,100.01,0,1.15,47.04,30.28,0,0,42,4.22,0,23.04,0,0,23.04

2,00:15-00:30,0,9.8,47,0,0,0,0,47,0,0,13,0,0,39,0,0,11,0,13,0,17.28,166.48,35.01,1.39,1.08,6.72,200,55.49,210.24,23.04,139.2,0,5.76,100.01,0,1.15,47.04,30.28,0,0,42,4.22,0,23.04,0,0,23.04

3,00:30-00:45,0,7.01,48.34,0,0,0,0,48.33,0,0,13,0,0,39,0,0,11,0,13,0,17.28,166.48,35.01,1.39,1.08,6.72,200,55.49,210.24,23.04,139.2,0,5.76,100.01,0,1.15,47.04,30.79,0,0,42,4.22,0,23.04,0,0,23.04

4,00:45-01:00,0,7.01,49.34,0,0,0,0,49.33,0,0,12.33,0,0,37.01,0,0,11.33,0,12.33,0,17.28,166.48,35.01,1.39,1.08,6.72,200,55.49,210.24,23.04,139.2,0,5.76,100.01,0,1.15,47.04,30.79,0,0,42,4.22,0,23.04,0,0,23.04

5,01:00-01:15,0,7.01,55.34,0,0,0,0,55.33,0,0,14.67,0,0,43.99,0,0,13,0,14.67,0,17.28,166.48,35.01,1.39,1.08,6.72,200,55.49,210.24,23.04,139.2,0,5.76,100.01,0,1.08,47.04,30.79,0,0,42,4.22,0,23.04,0,0,23.04

6,01:15-01:30,0,7.01,57,0,0,0,0,57,0,0,14.33,0,0,43.01,0,0,13,0,14.33,0,17.28,166.48,35.01,1.39,1.08,6.72,200,55.49,210.24,23.04,139.2,0,5.76,100.01,0,1.08,47.04,30.79,0,0,42,4.22,0,23.04,0,0,23.04

7,01:30-01:45,0,7.01,58.34,0,0,0,0,58.33,0,0,14,0,0,42,0,0,13,0,14,0,17.28,166.48,35.01,1.39,1.08,6.72,200,55.49,210.24,23.04,139.2,0,5.76,100.01,0,1.08,47.04,30.79,0,0,42,4.22,0,23.04,0,0,23.04

8,01:45-02:00,0,7.01,59,0,0,0,0,59,0,0,14,0,0,42,0,0,13.33,0,14,0,17.28,166.48,35.01,1.39,1.08,6.72,200,55.49,210.24,23.04,139.2,0,5.76,100.01,0,1.08,47.04,30.79,0,0,42,4.22,0,23.04,0,0,23.04

9,02:00-02:15,0,7.01,59.66,0,0,0,0,59.67,0,0,14.17,0,0,42.49,0,0,13.33,0,14.17,0,17.28,166.48,35.01,1.35,1.08,6.72,0,55.49,210.24,23.04,139.2,0,5.76,100.01,0,1.08,47.04,30.79,0,0,42,4.14,0,23.04,0,0,23.04

10,02:15-02:30,0,7.01,60,0,0,0,0,60,0,0,14.17,0,0,42.49,0,0,13.67,0,14.17,0,17.28,166.48,35.01,1.35,1.08,6.72,0,55.49,210.24,23.04,139.2,0,5.76,100.01,0,1.08,47.04,30.79,0,0,42,4.14,0,23.04,0,0,23.04

11,02:30-02:45,0,7,59.66,0,0,0,0,59.67,0,0,14.17,0,0,42.49,0,0,13.67,0,14.17,0,17.28,166.48,35.01,1.35,1.08,6.72,0,55.49,210.24,23.04,139.2,0,5.76,100.01,0,1.08,47.04,30.79,0,0,42,4.14,0,23.04,0,0,23.04

12,02:45-03:00,0,7,58.66,0,0,0,0,58.67,0,0,14,0,0,42,0,0,13.67,0,14,0,17.28,166.48,35.01,1.35,1.08,6.72,0,55.49,210.24,23.04,139.2,0,5.76,100.01,0,1.08,47.04,30.79,0,0,42,4.14,0,23.04,0,0,23.04

13,03:00-03:15,0,7,62.66,0,0,0,0,62.67,0,0,14,0,0,42,0,0,13.67,0,14,0,17.28,166.48,35.01,1.35,1.08,6.72,0,55.49,210.24,23.04,139.2,0,5.76,100.01,0,1,47.04,30.79,0,0,42,4.14,0,23.04,0,0,23.04

14,03:15-03:30,0,7,62,0,0,0,0,62,0,0,14,0,0,42,0,0,13.67,0,14,0,17.28,166.48,35.01,1.35,1.08,6.72,0,55.49,210.24,23.04,139.2,0,5.76,100.01,0,1,47.04,30.28,0,0,42,4.14,0,23.04,0,0,23.04

15,03:30-03:45,0,7,64.34,0,0,0,0,64.33,0,0,14,0,0,42,0,0,13.33,0,14,0,17.28,166.48,35.01,1.35,1.24,6.72,0,55.49,210.24,23.04,139.2,0,5.76,70.08,0,1.15,47.04,30.28,0,0,42,4.14,0,23.04,0,0,23.04

16,03:45-04:00,0,7,63,0,0,0,0,63,0,0,14,0,0,42,0,0,13,0,14,0,17.28,166.48,35.01,1.35,1.24,6.72,0,55.49,210.24,23.04,139.2,0,5.76,83.52,0,1.15,47.04,30.28,0,0,42,4.14,0,23.04,0,0,23.04

17,04:00-04:15,0,7,61.66,0,0,0,0,61.67,0,0,18.17,0,0,54.49,0,0,17.33,0,18.17,0,17.28,166.48,35.01,1.31,1.24,6.72,0,55.49,210.24,23.04,139.2,0,5.76,83.52,0,1.15,47.04,30.28,0,0,42,4.14,0,23.04,0,0,23.04

18,04:15-04:30,0,7,60.34,0,0,0,0,60.33,0,0,18,0,0,54,0,0,17,0,18,0,17.28,166.48,35.01,1.31,1.24,6.72,0,55.49,210.24,23.04,139.2,0,5.76,83.52,0,1.15,47.04,30.28,0,0,42,4.14,0,23.04,0,0,23.04

19,04:30-04:45,0,7,59,0,0,0,0,59,0,0,18,0,0,54,0,0,16.67,0,18,0,17.28,166.48,35.01,1.31,1.24,6.72,0,55.49,210.24,23.04,139.2,0,5.76,83.52,0,1.15,47.04,30.28,0,0,42,4.14,0,23.04,0,0,23.04

20,04:45-05:00,0,7,58,0,0,0,0,58,0,0,18,0,0,54,0,0,16,0,18,0,17.28,166.48,35.01,1.31,1.24,6.72,0,55.49,210.24,23.04,139.2,0,5.76,83.52,0,1.15,47.04,30.28,0,0,42,4.14,0,23.04,0,0,23.04

21,05:00-05:15,0,7,48.34,0,0,0,0,48.33,0,0,17.33,0,0,52.01,0,0,15.33,0,17.33,0,17.28,166.48,35.01,1.31,1.24,6.72,0,55.49,210.24,23.04,139.2,0,5.76,100.01,0,1.15,47.04,30.28,0,0,42,4.14,0,23.04,0,0,23.04

22,05:15-05:30,0,7,47,0,0,0,0,47,0,0,16.67,0,0,49.99,0,0,14,0,16.67,0,17.28,166.48,35.01,1.31,1.24,6.72,0,55.49,210.24,23.04,139.2,0,5.76,100.01,0,1.15,47.04,30.28,0,0,42,4.14,0,23.04,0,0,23.04

23,05:30-05:45,0,7,60.66,0,0,0,0,60.67,0,0,25.5,0,0,76.5,0,0,16.67,0,25.5,0,17.28,166.48,35.01,1.31,1.24,6.72,0,55.49,210.24,23.04,173.45,0,5.76,100.01,0,1.15,57.51,30.28,0,0,42,4.14,0,23.04,0,0,23.04

24,05:45-06:00,0,7,57.66,0,0,0,0,57.67,0,0,24.17,0,0,72.49,0,0,16.67,0,24.17,0,17.28,166.48,35.01,1.31,1.24,6.72,0,55.49,210.24,23.04,173.45,0,5.76,100.01,0,1.15,57.51,30.28,0,0,42,4.14,0,23.04,0,0,23.04

25,06:00-06:15,0,7,55.66,0,0,0,0,55.67,0,7.56,22.5,0,0,67.5,0,0,16.33,0,22.5,7.87,17.28,0,35.01,1.31,1.24,6.72,0,0,210.24,23.04,173.45,0,5.76,100.01,0,1.08,74.43,30.28,0,0,42,4.14,0,23.04,0,0,23.04

26,06:15-06:30,0,7,51.66,0,0,0,0,51.67,0,14.57,21,0,0,63,0,0,16,0,21,15.15,17.28,0,35.01,1.31,1.24,6.72,0,0,210.24,23.04,173.45,0,5.76,100.01,0,1.08,74.43,29.27,0,0,42,4.14,0,23.04,0,0,23.04

27,06:30-06:45,0.1,7,46,0,0.15,1,0,46,0,21.57,18.67,0,0,55.99,0,0,15.67,0,18.67,22.44,17.28,0,35.01,1.31,1.24,6.72,0,0,210.24,23.04,173.45,0,5.76,100.01,0,1.08,74.43,28.26,0,0,42,4.14,0,23.04,0,0,23.04

28,06:45-07:00,0.12,7,42.34,0,4.22,4,0,42.33,1,24.85,16.83,0,1,50.51,0,0,15.33,1,16.83,24.85,17.28,0,35.01,1.31,1.24,6.72,0,0,210.24,23.04,228.39,0,5.76,100.01,0,1.08,74.43,27.25,0.09,0,42,4.14,0.09,23.04,0,0.09,23.04

29,07:00-07:15,0.05,7,38.34,1,10.24,10,0.38,38.33,3,22.35,13,1.88,4,39,2,1,12,7,13,22.35,17.28,0,35.01,1.26,1.24,6.72,0,0,210.24,28.8,228.39,0,5.76,100.01,0,1.08,74.43,0,0.35,0,0,4.14,0.35,28.8,0,0.35,28.8

30,07:15-07:30,0.49,7,33,3,18.09,15,1.55,33,5,24.85,12.83,7.73,7,38.51,6,3,11.67,10,12.83,24.85,17.28,0,35.01,1.26,1.24,6.72,0,0,210.24,28.8,228.39,0,5.76,100.01,0,1.08,74.43,0,0.72,0,0,4.14,0.72,28.8,0,0.72,28.8

31,07:30-07:45,10,7,22.66,6,27.08,22.07,3.82,22.67,5,22.07,7.5,19.12,14,22.5,9,6,11.33,10,7.5,22.06,17.28,0,35.01,1.26,1.24,6.72,0,0,210.24,28.8,194.14,0,5.76,100.01,0,1.08,74.43,0,0.12,0,0,4.14,0.16,28.8,0,0.16,28.8

32,07:45-08:00,10,7,21,9,36.98,23.9,7.27,21,8,23.9,7.5,36.35,25,22.5,15,10,11,17,7.5,23.9,17.28,0,35.01,1.26,1.24,6.72,0,0,210.24,28.8,194.14,0,5.76,100.01,0,1.08,63.96,0,0.5,0,0,4.14,0.65,28.8,0,0.65,28.8

33,08:00-08:15,10,7,19.34,13,47.21,24.73,7.15,19.33,12,24.73,7.5,35.76,46,22.5,23,19,6.67,23,7.5,24.74,17.28,0,35.01,1.26,1.24,6.72,0,0,210.24,28.8,194.14,0,5.76,52.8,0,1.08,63.96,0,1.12,0,0,4.14,1.44,28.8,0,1.44,28.8

