Block,Time,BSIUL,KUDGI,RAPPB,TALA,TALST2,URI2,ANTA_LF,DADRI_CRF,BRBCL,KKNP,RAPPD,SASAN,TANAKPUR,AURY_RF,CHAMERA1,KHSTPP-II,NLCEXP,NLCIIST1,NLCIIST2,NNTPP,PARBATI3,RIHAND1,RIHAND2,RSTPSU1TO6,TelanganaSTPP,CHAMERA3,KGSU3AND4,KKNPPU2,RAMPUR,RSTPSU7,SIMHST1,AURY_CRF,DADRI_GF,DADRI_LF,CHAMERA2,DADRT2,DULHASTI,FSTPP I & II,KISHANGANGA,KOTESHWR,NAPP,PARBATI2,SALAL,SIMHST2,SINGRAULI,SINGRAULI_HYDRO,ANTA_GF,AURY_GF,AURY_LF,JHAJJAR,KOLDAM,RAPPC,RIHAND3,UNCHAHAR2,URI,KGSU1AND2,MAPS,NJPC,NLCTS2EXP,NTPL,SEWA2,TEHRI,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,ANTA_CRF,DADRI_RF,DHAULIGNGA,KHSTPP-I,TANDA2,UNCHAHAR3,ANTA_RF
1,00:00-00:15,19.56,0,0,0,0,38.56,0,0,20,0,30,343.12,0,67.31,42.15,148.3,0,0,0,0,19.64,97.23,124.58,0,0,35.03,0,0,2.98,0,0,0,0,0,48.81,688.58,39.68,18.2,8.63,10.43,25.24,13.52,65.07,0,150.34,0.98,0,0,0,447.11,2.28,68.56,130.79,44.5,49.68,0,0,75.04,0,0,18.9,12.12,21.64,2.3,0,0,75.18,10.95,45.53,5.7,27.68,51.17

2,00:15-00:30,19.56,0,0,0,0,38.56,0,0,20,0,30,343.12,0,67.31,42.15,148.3,0,0,0,0,19.64,97.23,124.58,0,0,35.03,0,0,2.98,0,0,0,0,0,48.81,688.58,39.68,18.2,8.63,10.43,25.24,13.52,65.07,0,150.34,0.98,0,0,0,447.11,2.28,68.56,130.79,44.5,49.68,0,0,75.04,0,0,18.9,12.12,21.64,2.3,0,0,75.18,10.95,45.53,5.7,27.68,51.17

3,00:30-00:45,19.56,0,0,0,0,38.56,0,0,20,0,30,343.12,0,67.31,42.15,148.3,0,0,0,0,19.64,97.23,124.58,0,0,35.03,0,0,2.98,0,0,0,0,0,48.81,688.58,39.68,18.2,8.63,10.43,25.24,13.52,79.38,0,150.34,0.98,0,0,0,447.11,2.28,68.56,130.79,44.5,49.68,0,0,75.04,0,0,18.9,12.12,21.64,2.3,0,0,75.18,10.95,45.53,5.7,27.68,51.17

4,00:45-01:00,19.56,0,0,0,0,38.56,0,0,20,0,30,343.12,0,67.31,42.15,148.3,0,0,0,0,19.64,97.23,124.58,0,0,35.03,0,0,2.98,0,0,0,0,0,48.81,688.58,39.68,18.2,8.63,10.43,25.24,13.52,79.38,0,150.34,0.98,0,0,0,447.11,2.28,68.56,130.79,44.5,52.36,0,0,75.04,0,0,18.9,0,21.64,2.3,0,0,75.18,10.95,45.53,5.7,27.68,51.17

5,01:00-01:15,19.56,0,0,0,0,35.34,0,0,20,0,30,343.12,0,67.31,42.15,148.3,0,0,0,0,19.64,97.23,124.58,0,0,23.33,0,0,2.98,0,0,0,0,0,48.81,688.58,39.68,18.2,8.63,10.43,25.24,13.52,79.38,0,150.34,0.98,0,0,0,447.11,2.28,68.56,130.79,44.5,52.36,0,0,75.04,0,0,18.9,0,21.64,2.3,0,0,75.18,10.95,45.53,5.7,27.68,51.17

