Block,Time,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/14082046/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,NR/01102023/30042040/GNA_LT_35,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,NR/01102023/06022042/L_NR_2012_07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/31052040/LT-31,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02012046/L_NR_2021_17,NR/01102023/05012040/L_NR_2020_02,NR/01102023/23072042/L_NR_2012_04,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/01122023/07122023/HP-18,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,SR/01102023/07102043/L_NR_2018_61,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,NR/01102023/22052037/LT-59,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/31102037/L_NR_2019_11,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/22102023/11042047/L_NR_2021_17,NR/30092023/31122025/SH-07,NR/01122023/15122023/HP-15,SR/01122023/31122023/BYPL_KSEB_DEC23,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/25122043/GNA_MEJA_DELHI
1,00:00-00:15,0,0,0,100,0.000000,0,27.51,31.720000,0,0.000000,78.38,78.38,0,0,1.890000,163.420000,0,0,122.930000,48.060000,25.950000,7.01,33.33,33.34,1.240000,0,0,67.290000,119.200000,0.000000,1.450000,96.130000,0,25.950000,57.250000,48.06,0,0,24.030000,0.000000

2,00:15-00:30,0,0,0,100,0.000000,0,27.01,31.720000,0,0.000000,76.97,76.97,0,0,1.890000,163.420000,0,0,122.930000,48.060000,25.950000,7.01,33.33,33.34,1.240000,0,0,67.290000,119.200000,0.000000,1.450000,96.130000,0,25.950000,57.250000,48.06,0,0,24.030000,0.000000

3,00:30-00:45,0,0,0,100,0.000000,0,26.84,31.720000,0,0.000000,76.51,76.51,0,0,1.890000,163.420000,0,0,122.930000,48.060000,25.950000,7.01,33.33,33.34,1.240000,0,0,67.290000,119.200000,0.000000,1.450000,96.130000,0,25.950000,57.250000,48.06,0,0,24.030000,0.000000

4,00:45-01:00,0,0,0,100,0.000000,0,26.34,31.720000,0,0.000000,76.32,76.32,0,0,1.890000,148.690000,0,0,122.930000,48.060000,25.950000,7.01,33.33,33.34,1.240000,0,0,67.290000,119.200000,0.000000,1.450000,96.130000,0,25.950000,57.250000,48.06,0,0,24.030000,0.000000

5,01:00-01:15,0,0,0,100,0.000000,0,30.75,31.720000,0,0.000000,75.75,75.75,0,0,1.890000,148.690000,0,0,122.930000,48.060000,25.950000,7.01,33.33,33.34,1.240000,0,0,67.290000,119.200000,0.000000,1.450000,96.130000,0,25.950000,57.250000,48.06,0,0,24.030000,0.000000

6,01:15-01:30,0,0,0,100,0.000000,0,30.38,31.720000,0,0.000000,78.67,78.67,0,0,1.890000,148.690000,0,0,122.930000,48.060000,25.950000,7.01,33.33,33.34,1.240000,0,0,67.290000,119.200000,0.000000,1.450000,96.130000,0,25.950000,57.250000,48.06,0,0,24.030000,0.000000

7,01:30-01:45,0,0,0,99.74,0.000000,0,30.1,31.720000,0,0.000000,78.01,78.01,0,0,1.890000,148.690000,0,0,122.930000,48.060000,25.950000,7.01,33.25,33.24,1.240000,0,0,67.290000,119.200000,0.000000,1.450000,96.130000,0,25.950000,57.250000,48.06,0,0,24.030000,0.000000

