Column1,Block,NR/2025/26614/C,NR/2025/26659/C,NR/2025/26615/C,NR/2025/26616/C,NR/2025/26661/C,NR/2025/26617/C,NR/2025/26663/C,NR/2025/26612/C,NR/2025/26611/C,NR/2025/26335/A/70580,NR/2025/26236/A/70170,GNARE/NR/2024/12/20/3668,NR/2025/25858/A/70621,NR/2025/26289/A/70660,NR/2025/26198/A/70821,NR/2025/26201/A/70818,NR/30092023/31122025/SH-07,NR/2025/26197/A/70828,NR/2025/26232/A/70663,NR/2025/26336/A/70578,NR/2025/26233/A/70662,NR/2025/25855/A/70620,NR/2025/26199/A/70820,NR/2025/26002/A/70619,GNA/NR/2025/05/01/4138,NR/2025/26101/A/70423,NR/2025/26286/A/70316,NR/2025/26312/A/70169,NR/2025/26085/A/70199,NR/2025/26265/A/70661,NR/2025/26200/A/70819,NR/2025/26202/A/70700,NR/2025/26153/A/70171,NR/2025/26191/A/70183,NR/2025/26291/A/70659,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/2069,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/7902,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/2474,Total
,,HPXL,NVVNL,HPXL,HPXL,NVVNL,IEXL,NVVNL,HPXL,HPXL,BRPL,IEXL,SECI_Trader,PowerPulse,HPXL,APPCPL,APPCPL,BAWANA_GAS,APPCPL,HPXL,BRPL,HPXL,PowerPulse,APPCPL,PowerPulse,PowerPulse,GMRETL,DIAPL,IEXL,ITCLH,HPXL,APPCPL,NVVNL,IEXL,PXIL,HPXL,PXIL,PXIL,IEXL,PowerPulse,PXIL,HPXL,HPXL,PUNJAB,PXIL,PXIL,DELHI,PowerPulse,IEXL,HPXL,PXIL,PowerPulse,NDMC,
,,MP_State,NA,NA,NA,NA,NA,NA,GEB_State,GEB_State,NA,NA,NA,NA,NA,NA,NA,DELHI_UT,NA,GEB_State,NA,GEB_State,NA,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,TAMILNADU_State,NA,MP_State,UTTARPRADESH_STATE,CSEB_State,ODISHA_STATE,NA,ODISHA_STATE,HIMACHAL_STATE,NA,DELHI_UT,Meghalaya_State,NA,HIMACHAL_STATE,NA,JK_and_LADAKH_UT,MSEB_State,ODISHA_STATE,NA,NA,
,,Ultratech_Sidhi_MP,JPNIGRIE_JNSTPP,SIMHAPURI,JPL,Kameng,MBMP,SORANG_HEP,PCBL_PALEJ,PCBL_MUNDRA,TS1PL_BKN,TPSL_BKN2,APSEPL_FTG,APL_Raipur_TPP,SIMHAPURI,RKM_POWER,RKM_POWER,BAWANA_GAS,SKS_Raigarh,PCBL_PALEJ,DADRT2,PCBL_MUNDRA,APL_Raipur_TPP,JPL2,COASTGEN,COASTGEN,GBHHPL,GBHHPL,MBMP,ITCWIND,JPL,TRN_ENERGY,JPNIGRIE_JNSTPP,SURYADEV_ALLOYSTN,JPNIGRIE_JNSTPP,Ultratech_Sidhi_MP,LAPL_UP,SKSIPL,VSL,MAHAN_ENERGEN,FACORPOWER,KGEPL_HP,JPL,BAWANA_GAS,Meghalaya_Ben,SINGOLI,CHANJUII,COASTGEN,O2ZTPL,GRETAENERGY,FACORPOWER,APL_Raipur_TPP,JIPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,TPDDL,BRPL,BRPL,TPDDL,NDMC,TPDDL,BRPL,BRPL,BRPL,MES_Delhi,TPDDL,TPDDL,BRPL,NDMC,NDMC,HARYANA,NDMC,BRPL,BRPL,BRPL,TPDDL,NDMC,BRPL,BRPL,TPDDL,DIAPL,NDMC,ITCLH,BRPL,NDMC,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,PUNJAB,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,
,,West-North,West-North,South-West-North,West-North,North East-East-North,West-North,North-North,West-North,West-North,North-North,North-North,North-North,West-North,South-West-North,West-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,South-West-North,South-East-North,North-North,North-North,West-North,South-West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,North-North,West-North,East-North,West-North,East-North,North-North,West-North,North-North,North East-East-North,North-North,North-North,South-East-North,North-North,West-North,East-North,West-North,East-North,
1,00:00-00:15,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,32,14.62,4.83,135.14,4.83,144.8,43.87,0,0,0,4.83,0,0.77,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,0,32,67.57,28.96,12.84,164.1,0,5.79,14.48,164.1,29.01,1649.4499999999996

2,00:15-00:30,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,32,14.62,4.83,135.14,4.83,144.8,43.87,0,0,0,4.83,0,0.77,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,0,32,67.57,28.96,12.84,164.1,0,5.79,14.48,164.1,29.01,1649.4499999999996

