Block,Time,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,NR/19012024/19012024/IEX_240118_06121,NR/01102023/31102037/L_NR_2019_11,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/01012024/31032024/ ChanjuII,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/19012024/19012024/DD20240119NR22254,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/19012024/19012024/DD20240119NR22250,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01012024/31012024/HP-28,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01012024/31012024/HP-26,NR/01012024/31012024/HP-27,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/22052037/LT-59,NR/19012024/19012024/HPX-TAMCTG-180124-05814,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/23072042/L_NR_2012_04,NR/19012024/19012024/IEX_240118_06122,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01012024/31012024/52,NR/19012024/19012024/HPX-TAMCTG-180124-05815,NR/06012024/31012024/NVVN/OA/16855,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,NR/01102023/25072045/L_NR_2021_15,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_17,NR/05012024/31012024/SJVN050124NR1341,NR/05012024/31012024/SJVN050124NR1342,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,WR/01102023/30052048/L_NR_2022_10,NR/26072023/31072042/L_NR_2023_07,WR/01102023/16072048/L_NR_2022_08,SR/01102023/07102043/L_NR_2018_61,NR/01102023/14082046/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09
1,00:00-00:15,5.760000,0.000000,0.990000,18.240000,1.370000,6.720000,0.000000,25.710000,25.710000,0.000000,11.520000,24.470000,8.160000,152.120000,57.160000,0.000000,0.730000,0.000000,65.840000,56.270000,0.000000,52.790000,169.160000,24.000000,230.380000,0.000000,1.380000,0.000000,0.000000,48.000000,0.000000,0.000000,48.000000,10.58,31.76,0,10.59,0,0,0,0,0,0,0,0,23.62,0,7.51,10.76,0,0,0,0,0,0,23.62

2,00:15-00:30,5.760000,0.000000,0.990000,18.240000,1.370000,6.720000,0.000000,25.710000,25.710000,0.000000,11.520000,24.470000,8.160000,152.120000,57.160000,0.000000,0.730000,0.000000,65.840000,56.270000,0.000000,52.790000,169.160000,24.000000,191.980000,0.000000,1.380000,0.000000,0.000000,48.000000,0.000000,0.000000,48.000000,10.26,30.76,0,10.25,0,0,0,0,0,0,0,0,21.96,0,7.4,10.5,0,0,0,0,0,0,21.96

3,00:30-00:45,5.760000,0.000000,0.990000,18.240000,1.370000,6.720000,0.000000,25.710000,25.710000,0.000000,11.520000,24.470000,8.160000,152.120000,57.160000,0.000000,0.730000,0.000000,65.840000,56.270000,0.000000,52.790000,169.160000,24.000000,148.480000,0.000000,1.380000,0.000000,0.000000,48.000000,0.000000,0.000000,48.000000,9.92,29.76,0,9.92,0,0,0,0,0,0,0,0,21.23,0,7.18,10.37,0,0,0,0,0,0,21.23

4,00:45-01:00,5.760000,0.000000,0.990000,18.240000,1.370000,6.720000,0.000000,25.710000,25.710000,0.000000,11.520000,24.470000,8.160000,152.120000,57.160000,0.000000,0.730000,0.000000,65.840000,56.270000,0.000000,52.790000,169.160000,24.000000,148.480000,0.000000,1.380000,0.000000,0.000000,48.000000,0.000000,0.000000,48.000000,9.26,27.76,0,9.25,0,0,0,0,0,0,0,0,20.29,0,7.01,10.24,0,0,0,0,0,0,20.29

5,01:00-01:15,5.760000,0.000000,0.990000,18.240000,1.470000,6.720000,0.000000,25.710000,25.710000,0.000000,11.520000,24.470000,8.160000,152.120000,57.160000,0.000000,0.730000,0.000000,69.980000,37.440000,0.000000,52.790000,169.160000,24.000000,148.480000,0.000000,1.380000,0.000000,0.000000,48.000000,0.000000,0.000000,48.000000,8.94,26.82,0,8.94,0,0,0,0,0,0,0,0,19.74,0,6.95,9.91,0,0,0,0,0,0,19.74

6,01:15-01:30,5.760000,0.000000,0.990000,18.240000,1.470000,6.720000,0.000000,25.710000,25.710000,0.000000,11.520000,24.470000,8.160000,152.120000,57.160000,0.000000,0.730000,0.000000,69.980000,37.440000,0.000000,52.790000,128.630000,24.000000,148.480000,0.000000,1.380000,0.000000,0.000000,48.000000,0.000000,0.000000,48.000000,8.84,26.5,0,8.83,0,0,0,0,0,0,0,0,19.83,0,6.85,9.71,0,0,0,0,0,0,19.83

7,01:30-01:45,5.760000,0.000000,0.990000,18.240000,1.470000,6.720000,0.000000,25.710000,25.710000,0.000000,11.520000,24.470000,8.160000,152.120000,57.160000,0.000000,0.730000,0.000000,69.980000,37.440000,0.000000,52.790000,109.430000,24.000000,148.480000,0.000000,1.380000,0.000000,0.000000,48.000000,0.000000,0.000000,48.000000,8.66,26,0,8.67,0,0,0,0,0,0,0,0,19.88,0,6.77,9.11,0,0,0,0,0,0,19.88

8,01:45-02:00,5.760000,0.000000,0.990000,18.240000,1.470000,6.720000,0.000000,25.710000,25.710000,0.000000,11.520000,24.470000,8.160000,152.120000,57.160000,0.000000,0.730000,0.000000,69.980000,37.440000,0.000000,52.790000,109.430000,24.000000,148.480000,0.000000,1.380000,0.000000,0.000000,48.000000,0.000000,0.000000,48.000000,8.66,25.93,0,8.64,0,0,0,0,0,0,0,0,20.6,0,6.66,8.49,0,0,0,0,0,0,20.6

9,02:00-02:15,5.760000,0.000000,0.950000,18.240000,1.470000,6.720000,0.000000,25.710000,25.710000,0.000000,11.520000,24.470000,8.160000,152.120000,57.160000,0.000000,0.730000,0.000000,69.980000,37.440000,0.000000,52.790000,109.430000,24.000000,148.480000,0.000000,1.380000,0.000000,0.000000,48.000000,0.000000,0.000000,48.000000,8.61,25.81,0,8.6,0,0,0,0,0,0,0,0,20.36,0,6.66,8.03,0,0,0,0,0,0,20.36

10,02:15-02:30,5.760000,0.000000,0.950000,18.240000,1.470000,6.720000,0.000000,25.710000,25.710000,0.000000,11.520000,24.470000,8.160000,152.120000,57.160000,0.000000,0.730000,0.000000,69.980000,37.440000,0.000000,52.790000,109.430000,24.000000,148.480000,0.000000,1.380000,0.000000,0.000000,48.000000,0.000000,0.000000,48.000000,8.45,25.34,0,8.45,0,0,0,0,0,0,0,0,19.89,0,6.66,8.16,0,0,0,0,0,0,19.89

11,02:30-02:45,5.760000,0.000000,0.950000,18.240000,1.470000,6.720000,0.000000,25.710000,25.710000,0.000000,11.520000,24.470000,8.160000,152.120000,57.160000,0.000000,0.730000,0.000000,69.980000,37.440000,0.000000,52.790000,109.430000,24.000000,148.480000,0.000000,1.380000,0.000000,0.000000,48.000000,0.000000,0.000000,48.000000,11.77,35.31,0,11.77,0,0,0,0,0,0,0,0,19.6,0,6.66,8.21,0,0,0,0,0,0,19.6

12,02:45-03:00,5.760000,0.000000,0.950000,18.240000,1.470000,6.720000,0.000000,25.710000,25.710000,0.000000,11.520000,24.470000,8.160000,152.120000,57.160000,0.000000,0.730000,0.000000,69.980000,37.440000,0.000000,52.790000,109.430000,24.000000,148.480000,0.000000,1.380000,0.000000,0.000000,48.000000,0.000000,0.000000,48.000000,11.88,35.67,0,11.89,0,0,0,0,0,0,0,0,19.81,0,6.66,8.14,0,0,0,0,0,0,19.81

