Block,Time,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/26122029/SH-06,NR/01042024/30042024/PTC/OA/32001,NR/01102023/31102037/L_NR_2019_11,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/31052040/LT-31,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,SR/01102023/07102043/L_NR_2018_61,NR/01102023/25072045/L_NR_2021_15,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_17,NR/04042024/30042024/SJVN040424NR1694,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14
1,00:00-00:15,272.660000,25.500000,40.980000,3.070000,16.080000,30.780000,0.000000,0.000000,7.820000,0.000000,261.810000,3.200000,76.460000,89.680000,0.000000,2.950000,0.000000,57.830000,25.500000,9.01,0,0,0,0,0,0,29,0,29,9.34,10,0,30,10,0,0,0,0,0

2,00:15-00:30,272.660000,25.500000,40.980000,3.070000,16.080000,30.780000,0.000000,0.000000,7.820000,0.000000,261.810000,3.200000,76.460000,70.390000,0.000000,2.950000,0.000000,57.830000,25.500000,9.01,0,0,0,0,0,0,29.33,0,29.33,9.34,10,0,30,10,0,0,0,0,0

3,00:30-00:45,272.660000,25.500000,40.980000,3.070000,16.080000,30.780000,0.000000,0.000000,7.820000,0.000000,261.810000,3.200000,76.460000,70.390000,0.000000,2.950000,0.000000,33.080000,25.500000,9.01,0,0,0,0,0,0,29.67,0,29.67,9.66,10,0,30,10,0,0,0,0,0

4,00:45-01:00,272.660000,25.500000,40.980000,3.070000,16.080000,30.780000,0.000000,0.000000,7.820000,0.000000,261.810000,3.200000,76.460000,65.570000,0.000000,2.950000,0.000000,33.080000,25.500000,9.01,0,0,0,0,0,0,30,0,30,10,10.5,0,31.5,10.5,0,0,0,0,0

5,01:00-01:15,272.660000,25.500000,40.980000,3.070000,16.080000,30.280000,0.000000,0.000000,7.820000,0.000000,261.810000,3.200000,76.460000,60.750000,0.000000,2.950000,0.000000,33.080000,25.500000,9.01,0,0,0,0,0,0,30.67,0,30.67,10,10.5,0,31.5,10.5,0,0,0,0,0

6,01:15-01:30,272.660000,25.500000,40.980000,3.070000,16.080000,30.280000,0.000000,0.000000,7.820000,0.000000,261.810000,3.200000,76.460000,54.000000,0.000000,2.950000,0.000000,33.080000,25.500000,9.01,0,0,0,0,0,0,31.33,0,31.33,10.34,10.5,0,31.5,10.5,0,0,0,0,0

7,01:30-01:45,272.660000,25.500000,40.980000,3.070000,16.080000,28.770000,0.000000,0.000000,7.820000,0.000000,234.860000,3.200000,57.490000,53.040000,0.000000,2.950000,0.000000,33.080000,25.500000,8.81,0,0,0,0,0,0,31.67,0,31.67,10.66,15,0,45,15,0,0,0,0,0

8,01:45-02:00,272.660000,25.500000,40.980000,3.070000,16.080000,28.770000,0.000000,0.000000,7.820000,0.000000,205.930000,3.200000,57.490000,53.040000,0.000000,2.950000,0.000000,33.080000,25.500000,8.61,0,0,0,0,0,0,32.67,0,32.67,11,15.34,0,46,15.33,0,0,0,0,0

9,02:00-02:15,231.430000,25.500000,40.980000,2.990000,16.080000,28.770000,0.000000,0.000000,7.730000,0.000000,205.930000,3.110000,57.490000,53.040000,0.000000,3.110000,0.000000,35.150000,25.500000,8.41,0,0,0,0,0,0,28,0,28,12.66,15.5,0,46.5,15.5,0,0,0,0,0

