Block,Time Block,BSIUL,CHAMERA3,CHAMERA2,DHAULIGNGA,FSTPP I & II,BRBCL,DULHASTI,DADRT2,CHAMERA1,JHAJJAR,RSTPSU7,SALAL,SEWA2,RIHAND3,RIHAND2,SASAN,RSTPSU1TO6,RAPPC,PARBATI3,RAPPB,RIHAND1,RAMPUR,KKNP,NLCEXP,KKNPPU2,KUDGI,KOLDAM,KISHANGANGA,MAPS,NJPC,NAPP,KOTESHWR,NTPL,NNTPP,NLCIIST1,NLCIIST2,NLCTS2EXP,KGSU3AND4,KGSU1AND2,KHSTPP-II,KHSTPP-I,DADRI_LF,VALLURNTECL,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,URI2,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,TEHRI,UNCHAHAR1,UNCHAHAR4,TANDA2,UNCHAHAR3,TALST2,TANAKPUR,TelanganaSTPP,TALA,UNCHAHAR2,URI,SIMHST2,SINGRAULI,SIMHST1,SINGRAULI_HYDRO,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,11.09,19.23,0,180.93,0,344.82,0,1.35,0,119.56,114.2,245.8,0,51.73,0,0,71.72,0,0,0,0,0,0,0,0,0,42.31,8.53,0,0,0,0,0,0,0,94.74,18.41,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,5.77,0,0,14.26,0,7.51,0,0,22.49,3.18,0,123.63,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,11.09,19.23,0,180.93,0,344.82,0,1.35,0,119.56,114.2,256.62,0,51.73,0,0,60.88,0,0,0,0,0,0,0,0,0,42.31,8.53,0,0,0,0,0,0,0,94.74,18.41,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,5.77,0,0,14.26,0,7.51,0,0,22.49,0.63,0,122.29,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,11.09,19.23,0,180.93,0,344.82,0,1.35,0,119.56,114.2,267.44,0,51.73,0,0,87.52,0,0,0,0,0,0,0,0,0,42.31,8.53,0,0,0,0,0,0,0,94.74,18.41,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,5.77,0,0,14.26,0,7.51,0,0,22.49,0.63,0,122.29,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,11.09,19.23,0,180.93,0,344.82,0,1.35,0,119.56,114.2,278.26,0,51.73,0,0,88.47,0,0,0,0,0,0,0,0,0,42.31,8.53,0,0,0,0,0,0,0,94.74,18.41,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,5.77,0,0,14.26,0,7.51,0,0,22.49,0.63,0,134.33,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,11.09,18.93,0,180.93,0,344.82,0,1.35,0,119.56,114.2,289.08,0,51.73,0,0,88.47,0,0,0,0,0,0,0,0,0,42.31,8.53,0,0,0,0,0,0,0,82.55,18.41,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,5.77,0,0,14.26,0,7.51,0,0,22.49,1.07,0,134.33,0,0,0,0,0,0,0

