Block,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,NR/01102023/14082046/L_NR_2021_16,WR/01102023/16072048/L_NR_2022_08,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02012046/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/L_NR_2019_05,NR/01102023/22052037/LT-59,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/23072024/23072024/IEX_240722_01671,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/30092023/26122029/SH-06,NR/01072024/31072024/R2,NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/16072024/31072024/NR/16072024/31072024/717758,NR/01102023/30042040/GNA_LT_35,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/01042024/31072024/LT_MEJA_DELHI,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02
1,00:00-00:15,0,40.81,0,53.33,0,0,0,53.33,0,16.66,0,20.84,0,62.5,0,20.83,0,0,0,0,0,10.240000,12.700000,29.780000,0.000000,10.210000,96.460000,30.870000,115.310000,87.010000,15.140000,30.870000,24.120000,0.000000,0.000000,96.460000,0.000000,12.420000,0.000000,96.460000,48.230000,0.000000,72.340000,272.740000,7.420000,16.090000,38.580000,100.490000,261.890000

2,00:15-00:30,0,40.21,0,53.67,0,0,0,53.67,0,17.34,0,21.34,0,64,0,21.33,0,0,0,0,0,10.240000,12.700000,29.780000,0.000000,10.210000,96.460000,30.870000,115.310000,87.010000,15.140000,30.870000,24.120000,0.000000,0.000000,96.460000,0.000000,12.420000,0.000000,96.460000,48.230000,0.000000,72.340000,272.740000,7.420000,16.090000,38.580000,100.490000,261.890000

3,00:30-00:45,0,39.81,0,53.67,0,0,0,53.67,0,17.66,0,22.16,0,66.5,0,22.17,0,0,0,0,0,10.240000,12.700000,29.780000,0.000000,10.210000,96.460000,30.870000,115.310000,87.010000,15.140000,30.870000,24.120000,0.000000,0.000000,96.460000,0.000000,12.420000,0.000000,96.460000,48.230000,0.000000,72.340000,272.740000,7.420000,16.090000,38.580000,100.490000,261.890000

4,00:45-01:00,0,39.81,0,53.67,0,0,0,53.67,0,18,0,22.66,0,68,0,22.67,0,0,0,0,0,10.240000,12.700000,29.780000,0.000000,10.210000,96.460000,30.870000,115.310000,87.010000,15.140000,30.870000,24.120000,0.000000,0.000000,96.460000,0.000000,12.420000,0.000000,96.460000,48.230000,0.000000,72.340000,272.740000,7.420000,16.090000,38.580000,100.490000,261.890000

5,01:00-01:15,0,39.61,0,54,0,0,0,54,0,18.34,0,22.84,0,68.5,0,22.83,0,0,0,0,0,9.690000,12.700000,29.780000,0.000000,10.210000,0.000000,30.870000,115.310000,87.010000,15.140000,30.870000,24.120000,0.000000,0.000000,96.460000,0.000000,12.420000,0.000000,96.460000,48.230000,0.000000,72.340000,272.740000,7.050000,16.090000,38.580000,100.490000,261.890000

6,01:15-01:30,0,39.41,0,53.33,0,0,0,53.33,0,18.66,0,23,0,69,0,23,0,0,0,0,0,9.690000,12.700000,29.780000,0.000000,10.210000,0.000000,30.870000,115.310000,87.010000,15.140000,30.870000,24.120000,0.000000,0.000000,96.460000,0.000000,12.420000,0.000000,96.460000,48.230000,0.000000,72.340000,272.740000,7.050000,16.090000,38.580000,100.490000,261.890000

7,01:30-01:45,0,38.81,0,43.33,0,0,0,43.33,0,19.34,0,23.34,0,70,0,23.33,0,0,0,0,0,9.690000,12.700000,29.780000,0.000000,10.210000,0.000000,30.870000,115.310000,87.010000,15.140000,30.870000,24.120000,0.000000,0.000000,96.460000,0.000000,12.420000,0.000000,96.460000,48.230000,0.000000,72.340000,272.740000,7.050000,16.090000,38.580000,100.490000,261.890000

8,01:45-02:00,0,38.41,0,43.33,0,0,0,43.33,0,19.34,0,23.84,0,71.5,0,23.83,0,0,0,0,0,9.690000,12.700000,29.780000,0.000000,10.210000,0.000000,30.870000,115.310000,87.010000,15.140000,30.870000,24.120000,0.000000,0.000000,96.460000,0.000000,12.420000,0.000000,96.460000,48.230000,0.000000,72.340000,272.740000,7.050000,16.090000,38.580000,100.490000,261.890000

9,02:00-02:15,0,43.01,0,41,0,0,0,41,0,12.34,0,24.16,0,72.5,0,24.17,0,0,0,0,0,9.310000,12.700000,30.280000,0.000000,9.670000,0.000000,30.870000,115.310000,87.010000,15.140000,30.870000,24.120000,0.000000,0.000000,96.460000,0.000000,12.420000,0.000000,96.460000,48.230000,0.000000,72.340000,272.740000,6.770000,16.090000,38.580000,100.490000,261.890000

10,02:15-02:30,0,42.21,0,40.67,0,0,0,40.67,0,12.34,0,24.16,0,72.5,0,24.17,0,0,0,0,0,9.310000,12.700000,30.280000,0.000000,9.670000,0.000000,30.870000,115.310000,87.010000,15.140000,30.870000,24.120000,0.000000,0.000000,96.460000,0.000000,12.420000,0.000000,96.460000,48.230000,0.000000,72.340000,272.740000,6.770000,16.090000,38.580000,100.490000,261.890000

11,02:30-02:45,0,41.21,0,39.67,0,0,0,39.67,0,12.66,0,17.5,0,52.5,0,17.5,0,0,0,0,0,9.310000,12.700000,30.280000,0.000000,9.670000,0.000000,20.230000,115.310000,76.480000,15.140000,20.230000,24.120000,0.000000,0.000000,96.460000,0.000000,12.420000,0.000000,96.460000,48.230000,0.000000,72.340000,272.740000,6.770000,16.090000,38.580000,100.490000,261.890000

12,02:45-03:00,0,40.61,0,39,0,0,0,39,0,13,0,17.66,0,53,0,17.67,0,0,0,0,0,9.310000,12.700000,30.280000,0.000000,9.670000,0.000000,20.230000,115.310000,76.480000,15.140000,20.230000,24.120000,0.000000,0.000000,96.460000,0.000000,12.420000,0.000000,96.460000,48.230000,0.000000,72.340000,272.740000,6.770000,16.090000,38.580000,100.490000,261.890000

13,03:00-03:15,0,40.21,0,31.33,0,0,0,31.33,0,13.34,0,17.5,0,52.5,0,17.5,0,0,0,0,0,8.920000,12.700000,31.280000,0.000000,9.280000,0.000000,20.230000,85.060000,57.590000,15.140000,20.230000,24.120000,0.000000,0.000000,96.460000,0.000000,12.420000,0.000000,96.460000,48.230000,0.000000,72.340000,272.740000,6.490000,10.840000,0.000000,53.050000,166.830000

14,03:15-03:30,0,39.81,0,30,0,0,0,30,0,13.66,0,17.5,0,52.5,0,17.5,0,0,0,0,0,8.920000,12.700000,31.280000,0.000000,9.280000,0.000000,20.230000,66.160000,57.590000,15.140000,20.230000,24.120000,0.000000,0.000000,96.460000,0.000000,12.420000,0.000000,96.460000,48.230000,0.000000,72.340000,272.740000,6.490000,10.840000,0.000000,53.050000,166.830000

15,03:30-03:45,0,39.61,0,35,0,0,0,35,0,8.66,0,17.34,0,52,0,17.33,0,0,0,0,0,8.920000,12.700000,31.280000,0.000000,9.280000,0.000000,20.230000,66.160000,57.590000,15.140000,20.230000,24.120000,0.000000,0.000000,96.460000,0.000000,12.420000,0.000000,96.460000,48.230000,0.000000,72.340000,272.740000,6.490000,10.840000,0.000000,53.050000,166.830000

