Block,Time,NR/16022024/29022024/HP-40,NR/01102023/30042040/GNA_LT_35,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05714,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05713,NR/01102023/06022042/L_NR_2012_02,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/23072042/L_NR_2012_04,NR/01012024/31032024/ ChanjuII,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05718,NR/01102023/19072037/LT-05,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05420,NR/16022024/29022024/HP-36,NR/01102023/31102037/L_NR_2019_11,NR/26072023/25122043/L_NR_2023_10,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05406,NR/01102023/22052037/LT-59,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_17,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,NR/01022024/29022024/SJVN010224NR1468,NR/01102023/30042040/GNA_LT_36,NR/19022024/29022024/NVVN/OA/16907,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,NR/01022024/29022024/SJVN010224NR1469,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,NR/01102023/25122043/GNA_MEJA_DELHI,NR/20122023/29022024/IEX_LDC_231218_00502,WR/01102023/29112042/L_NR_2019_05,SR/14022024/29022024/SJVN140224NR1518,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01022024/29022024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/31052040/LT-31,SR/01102023/07102043/L_NR_2018_61,NR/16022024/29022024/HP-45,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/30092023/31122025/SH-07,NR/16022024/29022024/HP-38,L_NR_2019_19,NR/01102023/14082046/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/01022024/29022024/79
1,00:00-00:15,0.000000,0.000000,5.790000,18.330000,179.340000,8.200000,271.290000,1.660000,6.750000,35.170000,6.750000,38.220000,0.950000,0,4.820000,0.000000,66.18,0,0,0,25.080000,66.18,0,0,0.000000,19.290000,0,0,0,26.030000,52.730000,22.84,0,0,0.000000,11.580000,0,0,1.210000,53.050000,96.460000,0.000000,18.27,16.340000,24.7,22.83,68.5,26.030000,128.270000,0,0,0,0,0.000000

2,00:15-00:30,0.000000,0.000000,5.790000,18.330000,165.610000,8.200000,231.500000,1.660000,6.750000,35.170000,6.750000,38.220000,0.950000,0,4.820000,0.000000,64.48,0,0,0,25.080000,64.48,0,0,0.000000,19.290000,0,0,0,26.030000,33.760000,22,0,0,0.000000,11.580000,0,0,1.210000,53.050000,96.460000,0.000000,17.73,16.340000,24.47,22,66,26.030000,128.270000,0,0,0,0,0.000000

3,00:30-00:45,0.000000,0.000000,5.790000,18.330000,129.260000,8.200000,192.920000,1.660000,6.750000,35.170000,6.750000,38.220000,0.950000,0,4.820000,0.000000,64.41,0,0,0,25.080000,64.41,0,0,0.000000,19.290000,0,0,0,26.030000,33.760000,27.21,0,0,0.000000,11.580000,0,0,1.210000,53.050000,96.460000,0.000000,17.04,16.340000,24.47,27.22,81.65,26.030000,128.270000,0,0,0,0,0.000000

4,00:45-01:00,0.000000,0.000000,5.790000,18.330000,109.960000,8.200000,149.200000,1.660000,6.750000,35.170000,6.750000,38.220000,0.950000,0,4.820000,0.000000,63.08,0,0,0,25.080000,63.08,0,0,0.000000,19.290000,0,0,0,26.030000,33.760000,27.38,0,0,0.000000,11.580000,0,0,1.210000,53.050000,96.460000,0.000000,15.49,16.340000,24.47,27.39,82.16,26.030000,128.270000,0,0,0,0,0.000000

5,01:00-01:15,0.000000,0.000000,5.790000,18.330000,109.960000,8.200000,149.200000,1.660000,6.750000,35.170000,6.750000,38.220000,0.950000,0,4.820000,0.000000,60.6,0,0,0,25.080000,60.6,0,0,0.000000,19.290000,0,0,0,26.030000,33.760000,28.21,0,0,0.000000,11.580000,0,0,1.210000,53.050000,96.460000,0.000000,14.57,16.340000,24.47,28.21,84.64,26.030000,128.270000,0,0,0,0,0.000000

