Block,Time Block,DHAULIGNGA,DULHASTI,FSTPP I & II,DADRI_LF,DADRI_RF,ANTA_CRF,URI2,URI,VALLURNTECL,ANTA_GF,TelanganaSTPP,UNCHAHAR4,TEHRI,UNCHAHAR3,UNCHAHAR2,UNCHAHAR1,AURY_LF,DADRI_GF,DADRI_CRF,AURY_RF,AURY_GF,AURY_CRF,ANTA_RF,ANTA_LF,CHAMERA2,BSIUL,CHAMERA3,CHAMERA1,BRBCL,DADRT2,RIHAND2,SIMHST2,SINGRAULI_HYDRO,TANDA2,SASAN,SINGRAULI,TANAKPUR,TALA,TALST2,SIMHST1,SEWA2,RSTPSU1TO6,RSTPSU7,SALAL,RIHAND3,NLCEXP,NJPC,NLCTS2EXP,NLCIIST1,NLCIIST2,MAPS,NAPP,RAPPB,RIHAND1,RAPPC,NTPL,PARBATI3,RAMPUR,KOTESHWR,KOLDAM,KUDGI,KHSTPP-II,KKNP,KISHANGANGA,KKNPPU2,NNTPP,JHAJJAR,KGSU3AND4,KGSU1AND2,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,15.78,0,0,0,18.1,4.24,0,0,0,0,0,13.92,22.34,10.54,0,0,0,0,0,0,0,0,0,0,0,0,19.23,265.32,114.16,0,0.68,0,324.44,134.28,5.54,0,0,0,15.2,0,0,26.81,59.75,0,0,0,0,0,0,41.99,0,88.44,24.89,0,0,0,8.53,0,0,142.56,0,0,0,0,226.87,0,0,43.77,0,0,0,0,0

2,00:15-00:30,0,0,15.78,0,0,0,18.1,4.24,0,0,0,0,0,13.92,22.34,10.54,0,0,0,0,0,0,0,0,0,0,0,0,19.23,265.32,114.16,0,0.68,0,324.44,134.28,5.54,0,0,0,15.2,0,0,67.02,59.75,0,0,0,0,0,0,41.99,0,88.44,24.89,0,0,0,8.53,0,0,142.56,0,0,0,0,226.87,0,0,43.77,0,0,0,0,0

3,00:30-00:45,0,0,15.78,0,0,0,18.1,2.12,0,0,0,0,0,13.92,22.34,10.54,0,0,0,0,0,0,0,0,0,0,0,0,14.28,265.32,114.16,0,0.68,0,324.44,134.28,5.54,0,0,0,15.2,0,0,67.02,59.75,0,0,0,0,0,0,41.99,0,88.44,24.89,0,0,0,8.53,0,0,142.56,0,0,0,0,226.87,0,0,43.77,0,0,0,0,0

4,00:45-01:00,0,0,15.78,0,0,0,18.1,2.12,0,0,0,0,0,13.92,22.34,10.54,0,0,0,0,0,0,0,0,0,0,0,0,13.58,265.32,114.16,0,0.68,0,324.44,134.28,5.54,0,0,0,15.2,0,0,67.02,59.75,0,0,0,0,0,0,41.99,0,88.44,24.89,0,0,0,8.53,0,0,142.56,0,0,0,0,226.87,0,0,43.77,0,0,0,0,0

5,01:00-01:15,0,0,14.92,0,0,0,18.1,2.12,0,0,0,0,0,13.92,22.34,10.54,0,0,0,0,0,0,0,0,0,0,0,0,12.88,265.32,114.16,0,0.68,0,324.44,134.28,5.54,0,0,0,15.2,0,0,67.02,59.75,0,0,0,0,0,0,41.99,0,88.44,24.89,0,0,0,8.53,0,0,142.56,0,0,0,0,226.87,0,0,43.77,0,0,0,0,0

6,01:15-01:30,0,0,14.92,0,0,0,18.1,2.12,0,0,0,0,0,13.92,22.34,10.54,0,0,0,0,0,0,0,0,0,0,0,0,11.42,265.32,114.16,0,0.68,0,324.44,134.28,5.54,0,0,0,15.2,0,0,16.77,59.75,0,0,0,0,0,0,41.99,0,88.44,24.89,0,0,0,8.53,0,0,142.56,0,0,0,0,226.87,0,0,43.77,0,0,0,0,0

7,01:30-01:45,0,0,14.92,0,0,0,9.06,6.37,0,0,0,0,0,13.92,22.34,10.54,0,0,0,0,0,0,0,0,0,0,0,0,11.53,265.32,114.16,0,0.68,0,324.44,134.28,0.87,0,0,0,15.2,0,0,12.84,59.75,0,0,0,0,0,0,41.99,0,88.44,24.89,0,0,0,8.53,0,0,142.56,0,0,0,0,226.87,0,0,43.77,0,0,0,0,0

8,01:45-02:00,0,0,14.92,0,0,0,9.06,6.37,0,0,0,0,0,13.92,22.34,10.54,0,0,0,0,0,0,0,0,0,0,0,0,11.52,265.32,114.16,0,0.68,0,324.44,134.28,0,0,0,0,15.2,0,0,12.84,59.75,0,0,0,0,0,0,41.99,0,88.44,24.89,0,0,0,8.53,0,0,142.56,0,0,0,0,226.87,0,0,43.77,0,0,0,0,0

