Column1,Block,GNARE/NR/2024/12/20/3668,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/6160,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/26737/C,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/6957,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/9252,NR/2025/26736/C,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/7902,NR/2025/26312/A/71056,NR/2025/26233/A/71469,NR/2025/26201/A/71479,NR/2025/26002/A/71430,NR/2025/26199/A/71485,NR/2025/26232/A/71470,NR/2025/26697/C,NR/2025/26198/A/71487,NR/2025/26698/C,NR/2025/26289/A/71466,NR/2025/26153/A/71058,NR/2025/26200/A/71482,NR/2025/25858/A/71432,NR/2025/25855/A/71431,NR/2025/26291/A/71464,NR/2025/26236/A/71057,NR/2025/26336/A/71148,NR/2025/26197/A/71490,NR/2025/26335/A/71150,NR/2025/26699/C,NR/2025/26101/A/71230,NR/2025/26700/C,NR/2025/26689/A/71214,NR/2025/26701/C,NR/2025/26265/A/71468,NR/2025/26085/A/71018,NR/2025/26702/C,NR/2025/26202/A/71608,SR/2025/17016/C,NR/2025/26191/A/71003,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/3877,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/2474,Total
,,SECI_Trader,IEXL,PXIL,DELHI,NVVNL,HPXL,PowerPulse,PowerPulse,BAWANA_GAS,HPXL,NVVNL,HPXL,PXIL,IEXL,HPXL,APPCPL,PowerPulse,APPCPL,HPXL,HPXL,APPCPL,IEXL,HPXL,IEXL,APPCPL,PowerPulse,PowerPulse,HPXL,IEXL,BRPL,APPCPL,BRPL,HPXL,GMRETL,HPXL,DIAPL,HPXL,HPXL,ITCLH,HPXL,NVVNL,IEXL,PXIL,IEXL,PXIL,PUNJAB,PowerPulse,PXIL,PXIL,PXIL,PowerPulse,NDMC,
,,NA,ODISHA_STATE,ODISHA_STATE,HIMACHAL_STATE,NA,MSEB_State,NA,NA,DELHI_UT,HIMACHAL_STATE,NA,NA,NA,NA,GEB_State,NA,NA,NA,GEB_State,GEB_State,NA,NA,NA,TAMILNADU_State,NA,NA,NA,MP_State,NA,NA,NA,NA,GEB_State,HIMACHAL_STATE,MP_State,HIMACHAL_STATE,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,DELHI_UT,NA,JK_and_LADAKH_UT,UTTARPRADESH_STATE,DELHI_UT,NA,Meghalaya_State,ODISHA_STATE,CSEB_State,NA,NA,
,,APSEPL_FTG,VSL,FACORPOWER,CHANJUII,Kameng,GRETAENERGY,COASTGEN,APL_Raipur_TPP,BAWANA_GAS,KGEPL_HP,SORANG_HEP,JPL,SINGOLI,MBMP,PCBL_MUNDRA,RKM_POWER,COASTGEN,JPL2,PCBL_PALEJ,PCBL_PALEJ,RKM_POWER,MBMP,SIMHAPURI,SURYADEV_ALLOYSTN,TRN_ENERGY,APL_Raipur_TPP,APL_Raipur_TPP,Ultratech_Sidhi_MP,TPSL_BKN2,DADRT2,SKS_Raigarh,TS1PL_BKN,PCBL_MUNDRA,GBHHPL,Ultratech_Sidhi_MP,GBHHPL,SIMHAPURI,JPL,ITCWIND,JPL,JPNIGRIE_JNSTPP,BYPL,JPNIGRIE_JNSTPP,O2ZTPL,LAPL_UP,BAWANA_GAS,MAHAN_ENERGEN,Meghalaya_Ben,FACORPOWER,SKSIPL,COASTGEN,JIPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,BRPL,BRPL,TPDDL,TPDDL,BRPL,BRPL,BRPL,HARYANA,BRPL,TPDDL,BRPL,BRPL,NDMC,BRPL,NDMC,BRPL,NDMC,BRPL,BRPL,NDMC,NDMC,BRPL,BRPL,NDMC,TPDDL,TPDDL,BRPL,MES_Delhi,BRPL,NDMC,BRPL,BRPL,TPDDL,BRPL,DIAPL,BRPL,BRPL,ITCLH,BRPL,TPDDL,TANGEDCO,BRPL,BRPL,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,
,,North-North,East-North,East-North,North-North,North East-East-North,West-North,South-East-North,West-North,North-North,North-North,North-North,West-North,North-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,South-West-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,North-North,West-North,North-North,West-North,North-North,South-West-North,West-North,South-West-North,West-North,West-North,North-West-South,West-North,North-North,North-North,North-North,West-North,North East-East-North,East-North,West-North,South-East-North,East-North,
1,00:00-00:15,0,0,14.44,12.26,51.01,5.78,0,163.71,30,13.48,35.63,0,28.89,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,144.45,24.08,0,134.82,8.75,0,0,0,0,6.74,0,96.3,0.77,0,96.3,0,48.15,0,28.89,23.51,122.78,67.41,14.44,10.59,163.71,28.94,1550.0400000000002

2,00:15-00:30,0,0,14.44,12.26,51.01,5.78,0,163.71,30,13.48,35.63,0,28.89,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,144.45,24.08,0,134.82,8.75,0,0,0,0,6.74,0,96.3,0.77,0,96.3,0,48.15,0,28.89,23.51,122.78,67.41,14.44,10.59,163.71,28.94,1550.0400000000002

