,,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,MANIPUR,NA,HIMACHAL PRADESH,NA,NAGALAND,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,TELANGANA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,MEGHALAYA,MEGHALAYA,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,ARUNACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,NA,DELHI,DELHI,NA,NA,NA,NA,
,,HP,HP,Teesta_III,SHPPBPL,HP,BYPL,SHPPBPL,Manipur_Ben,MCCPL,SHPPBPL,ILFS,Nagaland_Ben,HP,GBHHPL,SHPPBPL,SIMHAPURI,NAVABHARAT,CHANJUII,SHPPBPL,JPL,JSPL_DCPP,HP,Meghalaya_Ben,Meghalaya_Ben,KAMENG,B_S_ISPAT_MH,SHPPBPL,APNRL,Arunachal_Ben,SHPPBPL,SHPPBPL,SOLAPUR_SOLAR,SKS Raigarh,SHPPBPL,SEIL,JPNIGRIE_JNSTPP,BRPL,BYPL,TS1PL_BKN,TS1PL_BKN,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,ODISHA,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,BRPL,UHL,BYPL,AMBASTL,MAX-HPTL,STT,BRPL,BAL224,BRPL,BYPL,BYPL,DIAPL,MHIL,BRPL,BRPL,TPDDL,BAL234,BRPL,BRPL,BRPL,BYPL,BYPL,TPDDL,NDMC,AISHER,TPDDL,BYPL,JHPL-DL,BAL184,MES (Delhi),NDMC,BMDRC,TPDDL,BRPL,VLSEZ,VLSEZ,BRPL,BRPL,BYPL,BYPL,
,,North-North,North-North,East-North,North-North,North-North,North-North,North-North,North East-East-North,West-North,North-North,South-West-North,North East-East-North,North-North,North-North,North-North,South-East-North,South-West-North,North-North,North-North,West-North,West-North,North-North,North East-East-North,North East-East-North,North East-East-North,West-North,North-North,East-North,North East-East-North,North-North,North-North,West-North,West-North,North-North,South-West-North,West-North,North-East,North-East,North-North,North-North,North-North,North-North,
44,10:45-11:00,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.130000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,6.79,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,185.5,14,6,79.5,1252.43

45,11:00-11:15,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.130000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,7.27,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,192.5,10.5,4.5,82.5,1257.91

46,11:15-11:30,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.130000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,7.8,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,192.5,10.5,4.5,82.5,1258.44

47,11:30-11:45,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.130000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,8.04,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,193.9,9.1,3.9,83.1,1258.68

48,11:45-12:00,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.130000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,8.33,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,196,7,3,84,1258.97

49,12:00-12:15,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.130000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,8.62,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,196,7,3,84,1259.26

50,12:15-12:30,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.130000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,8.62,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,196,7,3,84,1259.26

51,12:30-12:45,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.130000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,8.72,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,196,7,3,84,1259.36

52,12:45-13:00,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.130000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,9.01,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,196,7,3,84,1259.65

53,13:00-13:15,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.040000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,9.2,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,196,7,3,84,1259.75

54,13:15-13:30,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.040000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,9.01,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,192.5,9.1,3.9,82.5,1257.56

55,13:30-13:45,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.040000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,8.77,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,192.5,7,3,82.5,1254.32

56,13:45-14:00,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.040000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,8.62,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,192.5,3.5,1.5,82.5,1249.17

57,14:00-14:15,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.040000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,8.53,62.610000,0.730000,24.080000,49.850000,0.000000,0.000000,189,3.5,1.5,81,1144.08

58,14:15-14:30,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.040000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,8.48,62.610000,0.730000,24.080000,49.850000,0.000000,0.000000,185.5,0,0,79.5,1134.03

59,14:30-14:45,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.040000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,8.33,62.610000,0.730000,24.080000,49.850000,0.000000,0.000000,178.5,0,0,76.5,1123.88

60,14:45-15:00,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.040000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,8.24,62.610000,0.730000,24.080000,49.850000,0.000000,0.000000,168,0,0,72,1108.79

61,15:00-15:15,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,35.670000,0.460000,0.000000,115.600000,11.040000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,8.09,62.610000,0.730000,24.080000,49.850000,0.000000,0.000000,159.6,0,0,68.4,1088.68

62,15:15-15:30,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,35.670000,0.460000,0.000000,115.600000,11.040000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,7.9,62.610000,0.730000,24.080000,49.850000,0.000000,0.000000,145.6,0,0,62.4,1068.49

63,15:30-15:45,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,35.670000,0.460000,0.000000,115.600000,11.040000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,7.27,62.610000,0.730000,24.080000,49.850000,0.000000,0.000000,135.8,0,0,58.2,1053.86

64,15:45-16:00,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,35.670000,0.460000,0.000000,115.600000,11.040000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,6.31,62.610000,0.730000,24.080000,49.850000,0.000000,0.000000,123.9,0,0,53.1,1035.9

65,16:00-16:15,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,36.690000,0.460000,0.000000,115.600000,11.040000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,5.73,62.610000,0.730000,24.080000,49.850000,0.000000,0.000000,112,0,0,48,1019.34

66,16:15-16:30,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,36.690000,0.460000,0.000000,115.600000,11.040000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,5.35,62.610000,0.730000,24.080000,49.850000,0.000000,0.000000,96.6,0,0,41.4,996.96

67,16:30-16:45,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,36.690000,0.460000,0.000000,115.600000,11.040000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,4.38,62.610000,0.730000,24.080000,49.850000,0.000000,0.000000,84,0,0,36,977.99

68,16:45-17:00,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,36.690000,0.460000,0.000000,115.600000,11.040000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,3.9,62.610000,0.730000,24.080000,49.850000,0.000000,0.000000,70,0,0,30,957.51

69,17:00-17:15,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,36.690000,0.460000,0.000000,115.600000,11.040000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,3.03,62.610000,0.730000,24.080000,49.850000,0.000000,0.000000,52.5,0,0,22.5,931.64

70,17:15-17:30,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,36.690000,0.460000,0.000000,115.600000,11.040000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,1.78,62.610000,0.730000,24.080000,49.850000,0.000000,0.000000,39.9,0,0,17.1,912.39

71,17:30-17:45,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,36.690000,0.460000,0.000000,115.600000,11.040000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,133.710000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,1.2,62.610000,0.730000,24.080000,49.850000,0.000000,0.000000,31.5,0,0,13.5,966.67

72,17:45-18:00,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,36.690000,0.460000,0.000000,115.600000,11.040000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,133.710000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,0.55,62.610000,0.730000,24.080000,49.850000,0.000000,0.000000,28,0,0,12,961.02

73,18:00-18:15,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,34.650000,0.460000,0.000000,115.600000,11.130000,0.770000,24.920000,48.160000,0.000000,36.350000,12.210000,192.660000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.730000,24.080000,49.850000,0.000000,0.000000,21,0,0,9,1043.82

74,18:15-18:30,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,34.650000,0.460000,0.000000,115.600000,11.130000,0.770000,24.920000,48.160000,0.000000,36.350000,12.210000,192.660000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.730000,24.080000,49.850000,0.000000,0.000000,10.5,0,0,4.5,1028.82

75,18:30-18:45,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,34.650000,0.460000,0.000000,115.600000,11.130000,0.770000,24.920000,48.160000,0.000000,36.350000,12.210000,192.660000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.730000,24.080000,49.850000,0.000000,0.000000,7,0,0,3,1023.82

76,18:45-19:00,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,34.650000,0.460000,0.000000,115.600000,11.130000,0.770000,24.920000,48.160000,0.000000,36.350000,12.210000,192.660000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.730000,24.080000,49.850000,0.000000,0.000000,3.5,0,0,1.5,1018.82

77,19:00-19:15,13.000000,14.450000,0.000000,0.510000,0.000000,0.000000,0.810000,2.890000,0.000000,0.440000,274.170000,0.000000,33.720000,34.650000,0.510000,38.530000,115.600000,11.220000,0.870000,24.920000,48.160000,0.000000,36.350000,12.210000,192.660000,6.740000,0.720000,41.420000,9.920000,0.860000,0.360000,0,62.610000,0.810000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1053.04

78,19:15-19:30,13.000000,14.450000,0.000000,0.510000,0.000000,0.000000,0.810000,2.890000,0.000000,0.440000,274.170000,0.000000,33.720000,34.650000,0.510000,38.530000,115.600000,11.220000,0.870000,24.920000,48.160000,0.000000,36.350000,12.210000,192.660000,6.740000,0.720000,41.420000,9.920000,0.860000,0.360000,0,62.610000,0.810000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1053.04

79,19:30-19:45,13.000000,14.450000,0.000000,0.510000,0.000000,0.000000,0.810000,2.890000,0.000000,0.440000,274.170000,0.000000,33.720000,34.650000,0.510000,38.530000,115.600000,11.220000,0.870000,24.920000,48.160000,0.000000,36.350000,12.210000,192.660000,6.740000,0.720000,41.420000,9.920000,0.860000,0.360000,0,62.610000,0.810000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1053.04

80,19:45-20:00,13.000000,14.450000,0.000000,0.510000,0.000000,0.000000,0.810000,2.890000,0.000000,0.440000,274.170000,0.000000,33.720000,34.650000,0.510000,38.530000,115.600000,11.220000,0.870000,24.920000,48.160000,0.000000,36.350000,12.210000,192.660000,6.740000,0.720000,41.420000,9.920000,0.860000,0.360000,0,62.610000,0.810000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1053.04

81,20:00-20:15,13.000000,14.450000,0.000000,0.510000,0.000000,0.000000,0.810000,2.890000,0.000000,0.440000,274.170000,0.000000,33.720000,33.630000,0.510000,38.530000,115.600000,11.220000,0.870000,24.920000,48.160000,0.000000,36.350000,12.210000,192.660000,6.740000,0.720000,41.420000,9.920000,0.860000,0.360000,0,62.610000,0.810000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1052.02

82,20:15-20:30,13.000000,14.450000,0.000000,0.510000,0.000000,0.000000,0.810000,2.890000,0.000000,0.440000,274.170000,0.000000,33.720000,33.630000,0.510000,38.530000,115.600000,11.220000,0.870000,24.920000,48.160000,0.000000,36.350000,12.210000,192.660000,6.740000,0.720000,41.420000,9.920000,0.860000,0.360000,0,62.610000,0.810000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1052.02

83,20:30-20:45,13.000000,14.450000,0.000000,0.510000,0.000000,0.000000,0.810000,2.890000,0.000000,0.440000,274.170000,0.000000,33.720000,33.630000,0.510000,38.530000,115.600000,11.220000,0.870000,24.920000,48.160000,0.000000,36.350000,12.210000,192.660000,6.740000,0.720000,41.420000,9.920000,0.860000,0.360000,0,62.610000,0.810000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1052.02

84,20:45-21:00,13.000000,14.450000,0.000000,0.510000,0.000000,0.000000,0.810000,2.890000,0.000000,0.440000,274.170000,0.000000,33.720000,33.630000,0.510000,38.530000,115.600000,11.220000,0.870000,24.920000,48.160000,0.000000,36.350000,12.210000,144.590000,6.740000,0.720000,41.420000,9.920000,0.860000,0.360000,0,62.610000,0.810000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1003.95

85,21:00-21:15,13.000000,14.450000,0.000000,0.510000,0.000000,0.000000,0.810000,2.890000,0.000000,0.440000,274.170000,0.000000,33.720000,33.630000,0.510000,38.530000,115.600000,11.310000,0.870000,24.920000,48.160000,0.000000,36.350000,12.210000,66.850000,6.740000,0.720000,41.420000,9.920000,0.860000,0.360000,0,62.610000,0.810000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,926.3

86,21:15-21:30,13.000000,14.450000,29.860000,0.510000,0.000000,0.000000,0.810000,2.890000,0.000000,0.440000,274.170000,0.000000,33.720000,33.630000,0.510000,38.530000,115.600000,11.310000,0.870000,24.920000,48.160000,0.000000,36.350000,12.210000,66.850000,6.740000,0.720000,41.420000,9.920000,0.860000,0.360000,0,62.610000,0.810000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,956.16

87,21:30-21:45,13.000000,14.450000,92.480000,0.510000,0.000000,0.000000,0.810000,2.890000,0.000000,0.440000,274.170000,0.000000,33.720000,33.630000,0.510000,38.530000,115.600000,11.310000,0.870000,24.920000,48.160000,0.000000,36.350000,12.210000,66.850000,6.740000,0.720000,41.420000,9.920000,0.860000,0.360000,0,62.610000,0.810000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1018.78

88,21:45-22:00,13.000000,14.450000,150.270000,0.510000,0.000000,0.000000,0.810000,2.890000,0.000000,0.440000,274.170000,0.000000,33.720000,33.630000,0.510000,38.530000,115.600000,11.310000,0.870000,24.920000,48.160000,0.000000,36.350000,12.210000,66.850000,6.740000,0.720000,41.420000,9.920000,0.860000,0.360000,0,62.610000,0.810000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1076.57

89,22:00-22:15,13.000000,14.450000,82.840000,0.510000,27.740000,0.000000,0.810000,2.890000,0.000000,0.440000,274.170000,12.620000,33.720000,33.630000,0.510000,38.530000,115.600000,11.310000,0.870000,24.920000,48.160000,64.730000,36.350000,12.210000,66.850000,6.740000,0.720000,41.420000,9.920000,0.860000,0.360000,0,62.610000,0.810000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1114.23

90,22:15-22:30,13.000000,14.450000,153.160000,0.510000,27.740000,0.000000,0.810000,2.890000,62.610000,0.440000,274.170000,12.620000,33.720000,33.630000,0.510000,38.530000,115.600000,11.310000,0.870000,24.920000,48.160000,64.730000,36.350000,12.210000,66.850000,6.740000,0.720000,41.420000,9.920000,0.860000,0.360000,0,62.610000,0.810000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1247.16

91,22:30-22:45,13.000000,14.450000,144.500000,0.510000,27.740000,0.000000,0.810000,2.890000,62.610000,0.440000,274.170000,12.620000,33.720000,33.630000,0.510000,38.530000,115.600000,11.310000,0.870000,24.920000,48.160000,64.730000,36.350000,12.210000,66.850000,6.740000,0.720000,41.420000,9.920000,0.860000,0.360000,0,62.610000,0.810000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1238.5

92,22:45-23:00,13.000000,14.450000,144.500000,0.510000,27.740000,0.000000,0.810000,2.890000,62.610000,0.440000,274.170000,12.620000,33.720000,33.630000,0.510000,38.530000,115.600000,11.310000,0.870000,24.920000,48.160000,64.730000,36.350000,12.210000,66.850000,6.740000,0.720000,41.420000,9.920000,0.860000,0.360000,0,62.610000,0.810000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1238.5

93,23:00-23:15,13.000000,14.450000,307.290000,0.510000,27.740000,0.000000,0.810000,2.890000,62.610000,0.440000,274.170000,12.620000,33.720000,31.600000,0.510000,38.530000,115.600000,11.310000,0.870000,24.920000,48.160000,64.730000,36.350000,12.210000,66.850000,6.740000,0.720000,41.420000,9.920000,0.860000,0.360000,0,62.610000,0.810000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1399.26

94,23:15-23:30,13.000000,14.450000,328.490000,0.510000,27.740000,0.000000,0.810000,2.890000,62.610000,0.440000,274.170000,12.620000,33.720000,31.600000,0.510000,38.530000,115.600000,11.310000,0.870000,24.920000,48.160000,64.730000,36.350000,12.210000,66.850000,6.740000,0.720000,41.420000,9.920000,0.860000,0.360000,0,62.610000,0.810000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1420.46

95,23:30-23:45,13.000000,14.450000,331.380000,0.510000,27.740000,0.000000,0.810000,2.890000,62.610000,0.440000,274.170000,12.620000,33.720000,31.600000,0.510000,38.530000,115.600000,11.310000,0.870000,24.920000,48.160000,64.730000,36.350000,12.210000,66.850000,6.740000,0.720000,41.420000,9.920000,0.860000,0.360000,0,62.610000,0.810000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1423.35

96,23:45-24:00,13.000000,14.450000,144.500000,0.510000,27.740000,0.000000,0.810000,2.890000,62.610000,0.440000,274.170000,12.620000,33.720000,31.600000,0.510000,38.530000,115.600000,11.310000,0.870000,24.920000,48.160000,64.730000,36.350000,12.210000,66.850000,6.740000,0.720000,41.420000,9.920000,0.860000,0.360000,0,62.610000,0.810000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1236.47

