Block,Time,TALA,SASAN,FSTPP I & II,KHSTPP-II,KHSTPP-I,BRBCL,SINGRAULI_HYDRO,PARBATI3,JHAJJAR,AURY_LF,AURY_GF,CHAMERA2,RIHAND3,DADRT2,RAPPC,NAPP,KISHANGANGA,TANDA2,AURY_RF,CHAMERA1,UNCHAHAR4,TEHRI,TANAKPUR,ANTA_GF,DHAULIGNGA,URI2,RIHAND2,SALAL,ANTA_CRF,RAPPB,DADRI_LF,DULHASTI,UNCHAHAR2,DADRI_GF,SEWA2,RAMPUR,UNCHAHAR3,CHAMERA3,DADRI_CRF,URI,RIHAND1,AURY_CRF,ANTA_RF,KOLDAM,ANTA_LF,SINGRAULI,DADRI_RF,BSIUL,KOTESHWR,UNCHAHAR1,NJPC,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,403.108002,10.983266,81.310918,24.565552,19.252017,0.791825,0.000000,230.542700,0.000000,0.000000,0.000000,59.517558,359.752498,52.281886,41.944717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.726327,0.000000,0.000000,4.402624,113.707125,2.796353,0.000000,0.000000,0.000000,1.852524,26.237951,0.000000,0.000000,0.000000,14.439000,0.000000,0.000000,2.125421,56.047963,0.000000,0.000000,0.000000,0.000000,120.890528,0.000000,0.000000,8.542112,8.663400,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,403.108002,10.983266,81.310918,24.565552,18.960468,0.791825,0.000000,230.542700,0.000000,0.000000,0.000000,59.517558,359.752498,52.281886,41.944717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.726327,0.000000,0.000000,4.402624,113.707125,2.796353,0.000000,0.000000,0.000000,1.852524,23.102400,0.000000,0.000000,0.000000,14.439000,0.000000,0.000000,2.125421,56.047963,0.000000,0.000000,0.000000,0.000000,120.890528,0.000000,0.000000,8.542112,8.663400,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,403.108002,10.983266,81.310918,24.565552,19.252017,0.791825,0.000000,230.542700,0.000000,0.000000,0.000000,59.517558,359.752498,52.281886,41.944717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.726327,0.000000,0.000000,4.402624,113.707125,2.796353,0.000000,0.000000,0.000000,1.852524,23.102400,0.000000,0.000000,0.000000,14.439000,0.000000,0.000000,2.125421,88.559200,0.000000,0.000000,0.000000,0.000000,120.890528,0.000000,0.000000,8.542112,8.663400,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,403.108002,10.983266,81.310918,24.565552,18.966822,0.791825,0.000000,230.542700,0.000000,0.000000,0.000000,59.517558,359.752498,52.281886,41.944717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.726327,0.000000,0.000000,4.532113,113.707125,2.796353,0.000000,0.000000,0.000000,1.852524,23.102400,0.000000,0.000000,0.000000,14.439000,0.000000,0.000000,3.188131,88.559200,0.000000,0.000000,0.000000,0.000000,120.890528,0.000000,0.000000,8.542112,8.663400,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,403.108002,10.983266,81.310918,24.565552,17.742034,0.791825,0.000000,230.542700,0.000000,0.000000,0.000000,59.517558,359.752498,52.281886,41.944717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.726327,0.000000,0.000000,23.825967,113.707125,2.796353,0.000000,0.000000,0.000000,1.852524,23.102400,0.000000,0.000000,0.000000,14.439000,0.000000,0.000000,37.194864,88.559200,0.000000,0.000000,0.000000,0.000000,120.890528,0.000000,0.000000,8.542112,8.663400,0.000000,0,0,0,0,0

