Block,Time Block,CHAMERA2,BRBCL,CHAMERA3,JHAJJAR,CHAMERA1,DHAULIGNGA,FSTPP I & II,DULHASTI,BSIUL,DADRT2,UNCHAHAR3,URI2,TelanganaSTPP,UNCHAHAR2,TEHRI,URI,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,DADRI_RF,AURY_LF,RSTPSU7,TALST2,SALAL,SEWA2,SINGRAULI,TANAKPUR,TALA,SASAN,TANDA2,SIMHST1,SINGRAULI_HYDRO,SIMHST2,NAPP,NJPC,MAPS,RIHAND2,NLCIIST1,NLCIIST2,RIHAND1,NLCTS2EXP,RAMPUR,RSTPSU1TO6,NNTPP,RAPPC,NTPL,PARBATI3,RIHAND3,NLCEXP,RAPPB,KGSU1AND2,KOTESHWR,KGSU3AND4,KHSTPP-II,KKNP,KKNPPU2,KUDGI,KOLDAM,KISHANGANGA,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,1.8,18.95,0,230.5,0,0,16.73,13.56,0,273.71,18.81,4.39,0,15.66,0,34.99,14.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,0,134.15,9.84,0,329.53,0,0,0,0,41.34,0,0,114.06,0,0,88.36,0,0,0,0,51.19,0,0,119.4,0,0,0,8.52,0,80.23,0,0,0,0,0,36.83,0,0,0,0,0

2,00:15-00:30,1.8,19.21,0,230.5,0,0,16.73,13.56,0,273.71,18.81,18.08,0,15.66,0,34.99,14.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,134.15,9.84,0,329.53,0,0,0,0,41.34,0,0,114.06,0,0,88.36,0,0,0,0,51.19,0,0,119.4,0,0,0,8.52,0,80.23,0,0,0,0,0,36.83,0,0,0,0,0

3,00:30-00:45,1.8,16.8,0,230.5,0,0,16.73,13.56,0,273.71,18.81,18.08,0,15.66,0,2.65,14.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,134.15,9.84,0,329.53,0,0,0,0,41.34,0,0,114.06,0,0,88.36,0,0,0,0,51.19,0,0,119.4,0,0,0,8.52,0,80.23,0,0,0,0,0,36.83,0,0,0,0,0

4,00:45-01:00,1.8,15.4,0,230.5,0,0,16.73,13.56,0,273.71,13.94,18.08,0,11.52,0,1.59,11.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,134.15,3.31,0,329.53,0,0,0,0,41.34,0,0,114.06,0,0,88.36,0,0,0,0,51.19,0,0,119.4,0,0,0,8.52,0,80.23,0,0,0,0,0,36.83,0,0,0,0,0

5,01:00-01:15,1.8,13.7,0,230.5,0,0,16.73,3.7,0,273.71,13.94,18.08,0,11.52,0,1.59,11.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,134.15,3.31,0,264.71,0,0,0,0,41.34,0,0,114.06,0,0,88.36,0,0,0,0,51.19,0,0,119.4,0,0,0,8.52,0,80.23,0,0,0,0,0,36.83,0,0,0,0,0

