Block,Time,DHAULIGNGA,DULHASTI,DADRT2,CHAMERA3,CHAMERA2,UNCHAHAR3,UNCHAHAR2,URI2,UNCHAHAR4,UNCHAHAR1,KISHANGANGA,RAPPC,NAPP,JHAJJAR,KOTESHWR,SINGRAULI_HYDRO,RIHAND3,TEHRI,PARBATI3,KOLDAM,SINGRAULI,RAMPUR,RIHAND2,TANDA2,NJPC,RIHAND1,SEWA2,CHAMERA1,BSIUL,URI,TANAKPUR,SALAL,RAPPB,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,KHSTPP-I,KHSTPP-II,TALA,BRBCL,FSTPP I & II,SASAN
1,00:00-00:15,36.5917,49.436556,686.779957,29.062808,39.51012,26.39091,42.392196,32.41932,0,19.985,0,50.8869,38.1276,653.1525,36.482,0.99476,123.665625,67.284,15.9125,0,139.3125,0,118.125,0,153.6034,46,15.804048,42.66,0,46.92,13.0662,85.988,0,0,15.75,0,26.25,0,76.72,0,0,0,65.16,0,2.172,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,32.171,147.515625,27.93,15.00135,14.253199,416.25

2,00:15-00:30,36.5917,49.436556,686.779957,29.062808,39.51012,26.39091,42.392196,32.41932,0,19.985,0,50.8869,38.1276,653.1525,36.482,0.99476,123.665625,67.284,15.9125,0,139.3125,0,118.125,0,153.6034,46,15.804048,42.66,0,46.92,13.0662,85.988,0,0,15.75,0,26.25,0,76.72,0,0,0,65.16,0,2.172,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,32.171,147.515625,27.93,15.00135,14.253199,416.25

3,00:30-00:45,36.5917,49.436556,686.779957,29.062808,39.51012,26.39091,42.392196,31.6122,0,19.985,0,50.8869,38.1276,653.1525,36.482,0.99476,123.665625,67.284,3.1825,0,139.3125,0,118.125,0,153.6034,46,15.804048,42.66,0,46.92,13.0662,85.988,0,0,15.75,0,26.25,0,76.72,0,0,0,65.16,0,2.172,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,32.171,147.515625,27.93,15.00135,14.253199,416.25

4,00:45-01:00,36.5917,49.436556,686.779957,29.062808,39.51012,26.39091,42.392196,31.6122,0,19.985,0,50.8869,38.1276,653.1525,36.482,0.99476,123.665625,67.284,3.1825,0,139.3125,0,118.125,0,153.6034,46,15.804048,42.66,0,46.92,13.0662,85.988,0,0,15.75,0,26.25,0,76.72,0,0,0,65.16,0,2.172,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,32.171,147.515625,27.93,15.00135,14.253199,416.25

5,01:00-01:15,36.5917,49.436556,686.779957,29.062808,39.51012,26.39091,42.392196,31.6122,0,19.985,0,50.8869,38.1276,653.1525,36.482,0.99476,123.665625,67.284,3.1825,0,139.3125,0,118.125,0,153.6034,25,15.804048,42.66,0,46.92,13.0662,85.988,0,0,15.75,0,26.25,0,76.72,0,0,0,65.16,0,2.172,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,32.171,147.515625,27.93,15.00135,14.253199,416.25

6,01:15-01:30,36.5917,49.436556,686.779957,29.062808,39.51012,26.39091,42.392196,31.6122,0,19.985,0,50.8869,38.1276,653.1525,36.482,0.99476,123.665625,67.284,3.1825,0,139.3125,0,118.125,0,153.6034,25,15.804048,42.66,0,46.92,13.0662,85.988,0,0,15.75,0,26.25,0,76.72,0,0,0,65.16,0,2.172,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,32.171,147.515625,27.93,15.00135,14.253199,416.25

7,01:30-01:45,36.5917,49.436556,686.779957,29.062808,39.51012,26.39091,42.392196,31.6122,0,19.985,0,50.8869,38.1276,653.1525,36.482,0.9565,123.665625,67.284,3.1825,0,139.3125,0,118.125,0,153.6034,25,15.804048,42.66,0,46.92,13.0662,85.988,0,0,15.75,0,26.25,0,76.72,0,0,0,65.16,0,2.172,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,32.171,147.515625,27.93,15.00135,13.483,416.25

8,01:45-02:00,36.5917,49.436556,686.779957,29.062808,39.51012,26.39091,42.392196,31.6122,0,19.985,0,50.8869,38.1276,653.1525,36.482,0.9565,123.665625,67.284,3.1825,0,139.3125,0,118.125,0,153.6034,25,15.804048,42.66,0,51.888,13.0662,85.988,0,0,15.75,0,26.25,0,76.72,0,0,0,65.16,0,2.172,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,32.171,147.515625,27.93,15.00135,13.483,416.25

9,02:00-02:15,36.5917,49.436556,686.779957,29.062808,39.51012,26.39091,42.392196,32.41932,0,19.985,0,50.8869,38.1276,653.1525,36.482,0.91824,123.665625,67.284,3.1825,0,139.3125,0,118.125,0,153.6034,25,15.804048,42.66,0,51.888,13.0662,85.988,0,0,15.75,0,26.25,0,76.72,0,0,0,65.16,0,2.172,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,32.171,147.515625,27.93,15.00135,13.483,418.77

10,02:15-02:30,36.5917,49.436556,686.779957,29.062808,39.51012,26.39091,42.392196,32.41932,0,19.985,0,50.8869,38.1276,653.1525,36.482,0.91824,123.665625,67.284,3.1825,0,139.3125,0,118.125,0,153.6034,25,15.804048,42.66,0,46.92,13.0662,85.988,0,0,15.75,0,26.25,0,76.72,0,0,0,65.16,0,2.172,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,32.171,147.515625,27.93,15.00135,13.483,418.77

11,02:30-02:45,36.5917,49.436556,686.779957,29.062808,39.51012,26.39091,42.392196,31.6122,0,19.985,0,50.8869,38.1276,653.1525,36.482,0.91824,123.665625,67.284,15.9125,0,139.3125,0,118.125,0,153.6034,25,15.804048,42.66,0,46.92,13.0662,85.988,0,0,15.75,0,26.25,0,76.72,0,0,0,65.16,0,2.172,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,32.171,147.515625,27.93,15.00135,13.483,418.77

12,02:45-03:00,36.5917,49.436556,686.779957,29.062808,39.51012,26.39091,42.392196,31.6122,0,19.985,0,50.8869,38.1276,653.1525,36.482,0.91824,123.665625,67.284,15.9125,0,139.3125,0,118.125,0,153.6034,25,15.804048,42.66,0,46.92,13.0662,85.988,0,0,15.75,0,26.25,0,76.72,0,0,0,65.16,0,2.172,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,32.171,147.515625,27.93,15.00135,13.483,418.77

13,03:00-03:15,36.5917,49.436556,686.779957,29.062808,39.51012,26.39091,42.392196,31.6122,0,19.985,0,50.8869,38.1276,653.1525,36.482,0.91824,123.665625,67.284,15.9125,0,139.3125,0,118.125,0,153.6034,25,15.804048,42.66,0,46.92,11.7852,84.245,0,0,15.75,0,26.25,0,76.72,0,0,0,65.16,0,2.172,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,32.171,147.515625,27.93,15.00135,13.483,418.77

