Block,Time,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01102023/05012040/L_NR_2020_02,NR/01062024/30062024/R2,NR/01102023/19072037/LT-05,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01102023/31102037/L_NR_2019_11,NR/01062024/15062024/1000011003-KWHPS-BRPL(DISCOM),NR/01102023/30042040/GNA_LT_35,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,WR/01102023/16072048/L_NR_2022_08,NR/01102023/14082046/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/01102023/02012046/L_NR_2021_17,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,NR/01102023/06022042/L_NR_2012_02,NR/01062024/15062024/1000011005-GOHP-BRPL,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/23072042/L_NR_2012_04,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01102023/22052037/LT-59,NR/01042024/31072024/LT_MEJA_DELHI,NR/01062024/30062024/IEPL01
1,00:00-00:15,15.960000,0.000000,0.000000,48.290000,38.630000,29.040000,9.290000,24.140000,115.470000,48.290000,24.140000,24.140000,9.990000,24.140000,0.000000,0,0,59.5,0,16.66,0,0,37.33,0,0,19.83,37.33,0,19.84,0,0,0,0,0,0,9.61,262.210000,48.290000,30.910000,30.910000,0.000000,100.620000,273.080000,87.120000,30.280000,0.000000,24.140000,24.140000,10.410000,7.670000,38.630000

2,00:15-00:30,15.960000,0.000000,0.000000,48.290000,38.630000,29.040000,9.290000,24.140000,115.470000,48.290000,24.140000,24.140000,9.990000,24.140000,0.000000,0,0,59.5,0,16.66,0,0,37.67,0,0,19.83,37.67,0,19.84,0,0,0,0,0,0,9.81,262.210000,48.290000,30.910000,30.910000,0.000000,100.620000,273.080000,87.120000,30.780000,0.000000,24.140000,24.140000,10.410000,7.670000,38.630000

3,00:30-00:45,15.960000,0.000000,0.000000,48.290000,38.630000,29.040000,9.290000,24.140000,115.470000,48.290000,24.140000,24.140000,9.990000,24.140000,0.000000,0,0,60,0,17,0,0,38,0,0,20,38,0,20,0,0,0,0,0,0,9.61,262.210000,48.290000,30.910000,30.910000,0.000000,100.620000,273.080000,87.120000,30.780000,0.000000,24.140000,24.140000,10.410000,7.670000,38.630000

4,00:45-01:00,15.960000,0.000000,0.000000,48.290000,38.630000,29.040000,9.290000,24.140000,115.470000,48.290000,24.140000,24.140000,9.990000,24.140000,0.000000,0,0,59,0,17.34,0,0,39.67,0,0,19.67,39.67,0,19.66,0,0,0,0,0,0,8.01,262.210000,48.290000,30.910000,30.910000,0.000000,100.620000,273.080000,87.120000,30.780000,0.000000,24.140000,24.140000,10.410000,7.670000,38.630000

5,01:00-01:15,15.860000,0.000000,0.000000,48.290000,38.630000,29.040000,9.290000,24.140000,115.470000,48.290000,24.140000,24.140000,9.990000,24.140000,0.000000,0,0,59,0,17.66,0,0,40,0,0,19.67,40,0,19.66,0,0,0,0,0,0,8.01,262.210000,48.290000,30.910000,30.910000,0.000000,100.620000,273.080000,87.120000,30.280000,0.000000,24.140000,24.140000,10.330000,7.670000,38.630000

6,01:15-01:30,15.860000,0.000000,0.000000,48.290000,38.630000,29.040000,9.290000,24.140000,115.470000,48.290000,24.140000,24.140000,9.990000,24.140000,0.000000,0,0,59,0,18,0,0,41.33,0,0,19.67,41.33,0,19.66,0,0,0,0,0,0,8.01,262.210000,48.290000,30.910000,30.910000,0.000000,100.620000,273.080000,87.120000,29.770000,0.000000,24.140000,24.140000,10.330000,7.670000,38.630000

7,01:30-01:45,15.860000,0.000000,0.000000,48.290000,38.630000,29.040000,9.290000,24.140000,115.470000,48.290000,24.140000,24.140000,9.990000,24.140000,0.000000,0,0,59,0,14.66,0,0,42,0,0,19.67,42,0,19.66,0,0,0,0,0,0,9.61,262.210000,48.290000,30.910000,30.910000,0.000000,100.620000,273.080000,87.120000,29.770000,0.000000,24.140000,24.140000,10.330000,7.670000,38.630000

8,01:45-02:00,15.860000,0.000000,0.000000,48.290000,38.630000,29.040000,9.290000,24.140000,115.470000,48.290000,24.140000,24.140000,9.990000,24.140000,0.000000,0,0,59.5,0,14,0,0,40.33,0,0,19.83,40.33,0,19.84,0,0,0,0,0,0,9.21,262.210000,48.290000,30.910000,30.910000,0.000000,100.620000,273.080000,87.120000,29.770000,0.000000,24.140000,24.140000,10.330000,7.670000,38.630000

9,02:00-02:15,15.670000,0.000000,0.000000,48.290000,38.630000,24.690000,9.100000,24.140000,115.470000,48.290000,24.140000,24.140000,9.450000,24.140000,0.000000,0,0,48,0,13.66,0,0,38.67,0,0,16,38.67,0,16,0,0,0,0,0,0,9.01,262.210000,48.290000,30.910000,12.510000,0.000000,100.620000,273.080000,87.120000,28.760000,0.000000,24.140000,24.140000,10.260000,7.670000,38.630000

