Time,Block,NR/2023/17525/A,NR/2023/18062/A/1295,NR/2023/18074/A/1343,NR/2023/17270/A,NR/2023/18097/C,NER/2023/1711/C,WR/2023/20577/A/1363,NR/2023/18099/C,WR/2023/19446/A,NR/2023/18100/C,WR/2023/20256/A/1367,Total
,,APPCPL,IEXL,ITCLH,GMRETL,TPDDL,IEXL,APPCPL,SJVNL,MANIKARAN,SJVNL,MANIKARAN,Total

,,DELHI,ANDHRA PRADESH,ANDHRA PRADESH,DELHI,HIMACHAL PRADESH,DELHI,DELHI,NA,DELHI,NA,DELHI,
,,BYPL,SNJSUGARLTDAP,ITCWIND,BYPL,CHANJUII,BYPL,BRPL,RSRPL_BKN,BYPL,RSRPL_BKN,BRPL,
,,HIMACHAL PRADESH,DELHI,DELHI,RAJASTHAN,DELHI,ARUNACHAL PRADESH,GOA,DELHI,MAHARASHTRA,DELHI,GOA,
,,HP,MES (Delhi),ITCLH,RUVNL,TPDDL,Arunachal_Ben,GOA_Beneficiary,NDMC,AEML,NDMC,GOA_Beneficiary,
,,North-North,South-East-North,South-West-North,North-North,North-North,North-East-North East,North-West,North-North,North-West,North-North,North-West,
1,00:00-00:15,25.490000,4.820000,0.430000,0.000000,2.570000,25.000000,0.000000,0,75.000000,0,0.000000,133.31

2,00:15-00:30,25.490000,4.820000,0.430000,0.000000,2.570000,25.000000,0.000000,0,75.000000,0,0.000000,133.31

3,00:30-00:45,25.490000,4.820000,0.430000,0.000000,2.570000,25.000000,0.000000,0,75.000000,0,0.000000,133.31

4,00:45-01:00,25.490000,4.820000,0.430000,0.000000,2.570000,25.000000,0.000000,0,75.000000,0,0.000000,133.31

5,01:00-01:15,25.490000,4.820000,0.390000,0.000000,2.570000,25.000000,0.000000,0,75.000000,0,0.000000,133.27

6,01:15-01:30,25.490000,4.820000,0.390000,0.000000,2.570000,25.000000,0.000000,0,75.000000,0,0.000000,133.27

7,01:30-01:45,25.490000,4.820000,0.390000,0.000000,2.570000,25.000000,0.000000,0,75.000000,0,0.000000,133.27

8,01:45-02:00,25.490000,4.820000,0.390000,0.000000,2.570000,25.000000,0.000000,0,75.000000,0,0.000000,133.27

9,02:00-02:15,25.490000,4.820000,0.340000,0.000000,2.570000,25.000000,0.000000,0,75.000000,0,0.000000,133.22

10,02:15-02:30,25.490000,4.820000,0.340000,0.000000,2.570000,25.000000,0.000000,0,75.000000,0,0.000000,133.22

11,02:30-02:45,25.490000,4.820000,0.340000,0.000000,2.570000,25.000000,0.000000,0,75.000000,0,0.000000,133.22

12,02:45-03:00,25.490000,4.820000,0.340000,0.000000,2.570000,25.000000,0.000000,0,75.000000,0,0.000000,133.22

13,03:00-03:15,25.490000,4.820000,0.340000,0.000000,2.570000,25.000000,0.000000,0,75.000000,0,0.000000,133.22

14,03:15-03:30,25.490000,4.820000,0.340000,0.000000,2.570000,25.000000,0.000000,0,75.000000,0,0.000000,133.22

15,03:30-03:45,25.490000,4.820000,0.340000,0.000000,2.570000,25.000000,0.000000,0,75.000000,0,0.000000,133.22

16,03:45-04:00,25.490000,4.820000,0.340000,0.000000,2.570000,25.000000,0.000000,0,75.000000,0,0.000000,133.22

17,04:00-04:15,25.490000,4.820000,0.390000,0.000000,2.570000,25.000000,0.000000,0,75.000000,0,0.000000,133.27

18,04:15-04:30,25.490000,4.820000,0.390000,0.000000,2.570000,25.000000,0.000000,0,75.000000,0,0.000000,133.27

19,04:30-04:45,25.490000,4.820000,0.390000,0.000000,2.570000,25.000000,0.000000,0,75.000000,0,0.000000,133.27

20,04:45-05:00,25.490000,4.820000,0.390000,0.000000,2.570000,25.000000,0.000000,0,75.000000,0,0.000000,133.27

21,05:00-05:15,25.490000,4.820000,0.390000,0.000000,2.570000,0.000000,0.000000,0,75.000000,0,0.000000,108.27

22,05:15-05:30,25.490000,4.820000,0.390000,0.000000,2.570000,0.000000,0.000000,0,75.000000,0,0.000000,108.27

23,05:30-05:45,25.490000,4.820000,0.390000,0.000000,2.570000,0.000000,0.000000,0,75.000000,0,0.000000,108.27

24,05:45-06:00,25.490000,4.820000,0.390000,0.000000,2.570000,0.000000,0.000000,0,75.000000,0,0.000000,108.27

25,06:00-06:15,0.000000,4.820000,0.390000,100.000000,2.570000,0.000000,0.000000,0,75.000000,0,0.000000,182.78

26,06:15-06:30,0.000000,4.820000,0.390000,100.000000,2.570000,0.000000,0.000000,0,75.000000,0,0.000000,182.78

27,06:30-06:45,0.000000,4.820000,0.390000,100.000000,2.570000,0.000000,0.000000,0,75.000000,0,0.000000,182.78

28,06:45-07:00,0.000000,4.820000,0.390000,100.000000,2.570000,0.000000,0.000000,0,75.000000,0,0.000000,182.78

29,07:00-07:15,0.000000,4.820000,0.530000,100.000000,2.570000,0.000000,0.000000,0,75.000000,0,0.000000,182.92

30,07:15-07:30,0.000000,4.820000,0.530000,100.000000,2.570000,0.000000,0.000000,0,75.000000,0,0.000000,182.92

31,07:30-07:45,0.000000,4.820000,0.530000,100.000000,2.570000,0.000000,0.000000,0,75.000000,0,0.000000,182.92

32,07:45:08:00,0.000000,4.820000,0.530000,100.000000,2.570000,0.000000,0.000000,0,75.000000,0,0.000000,182.92

33,08:00-08:15,0.000000,4.820000,0.770000,50.000000,2.570000,0.000000,0.000000,0,75.000000,0,0.000000,133.16

34,08:15-08:30,0.000000,4.820000,0.770000,50.000000,2.570000,0.000000,0.000000,0,75.000000,0,0.000000,133.16

35,08:30-08:45,0.000000,4.820000,0.770000,50.000000,2.570000,0.000000,0.000000,0,75.000000,0,0.000000,133.16

36,08:45:09:00,0.000000,4.820000,0.770000,50.000000,2.570000,0.000000,0.000000,0,75.000000,0,0.000000,133.16

37,09:00:09:15,0.000000,4.820000,0.770000,50.000000,2.570000,0.000000,0.000000,16.39,75.000000,13.5,0.000000,163.05

38,09:15-09:30,0.000000,4.820000,0.770000,50.000000,2.570000,0.000000,0.000000,18.03,75.000000,14.75,0.000000,165.94

39,09:30-09:45,0.000000,4.820000,0.770000,50.000000,2.570000,0.000000,0.000000,20.68,75.000000,16.92,0.000000,170.76

40,09:45-10:00,0.000000,4.820000,0.770000,50.000000,2.570000,0.000000,0.000000,23.33,75.000000,19.09,0.000000,175.58

41,10:00-10:15,0.000000,4.820000,0.770000,50.000000,2.570000,0.000000,0.000000,26.03,75.000000,21.21,0.000000,180.4

42,10:15-10:30,0.000000,4.820000,0.770000,50.000000,2.570000,0.000000,0.000000,27.96,75.000000,23.14,0.000000,184.26

43,10:30-10:45,0.000000,4.820000,0.770000,50.000000,2.570000,0.000000,0.000000,28.92,75.000000,24.1,0.000000,186.18

44,10:45-11:00,0.000000,4.820000,0.770000,50.000000,2.570000,0.000000,0.000000,28.92,75.000000,24.1,0.000000,186.18

45,11:00-11:15,0.000000,4.820000,0.770000,100.000000,2.570000,0.000000,0.000000,28.92,75.000000,24.1,0.000000,236.18

46,11:15-11:30,0.000000,4.820000,0.770000,100.000000,2.570000,0.000000,0.000000,28.92,75.000000,24.1,0.000000,236.18

47,11:30-11:45,0.000000,4.820000,0.770000,100.000000,2.570000,0.000000,0.000000,28.92,75.000000,24.1,0.000000,236.18

48,11:45-12:00,0.000000,4.820000,0.770000,100.000000,2.570000,0.000000,0.000000,28.92,75.000000,24.1,0.000000,236.18

49,12:00-12:15,0.000000,4.820000,0.770000,100.000000,2.490000,0.000000,0.000000,28.92,75.000000,24.1,0.000000,236.1

50,12:15-12:30,0.000000,4.820000,0.770000,100.000000,2.490000,0.000000,0.000000,28.92,75.000000,24.1,0.000000,236.1

51,12:30-12:45,0.000000,4.820000,0.770000,100.000000,2.490000,0.000000,0.000000,28.92,75.000000,24.1,0.000000,236.1

52,12:45-13:00,0.000000,4.820000,0.770000,100.000000,2.490000,0.000000,0.000000,28.92,75.000000,24.1,0.000000,236.1

53,13:00-13:15,0.000000,4.820000,0.770000,100.000000,2.490000,0.000000,0.000000,28.92,75.000000,24.1,0.000000,236.1

54,13:15-13:30,0.000000,4.820000,0.770000,100.000000,2.490000,0.000000,0.000000,28.92,75.000000,24.1,0.000000,236.1

