Column1,Time,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,GNARE/SR/2025/01/13/4532,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,GNARE/NR/2024/12/20/3668,NR/30092023/31122025/SH-07,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/01/1044,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/1192,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/07/01/8139,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/07/01/8128,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,L_NR_2019_19,GNA/NR/2025/07/01/8154,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2997,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,GNA/NR/2025/07/25/1179,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/3109,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/07/01/2952
1,00:00-00:15,0,0,0,0,0,0,0,0,42.02,11.33,0,0,30,10,0,34.66,34.67,10,0,32,-0,134.79,3.24,270.31,130.04,81.69,49.02,28.27,0,0,0,100.13,12.64,7.92,0,0,20.73,86.69,163.39,15.23,32,115.29,0,10.48,18.21,43.68,19.22,10.73,8.51

2,00:15-00:30,0,0,0,0,0,0,0,0,42.02,11,0,0,29.51,9.83,0,33.66,33.67,9.83,0,32,-0,134.79,3.24,270.31,130.04,81.69,49.02,28.77,0,0,0,100.13,12.64,7.92,0,0,20.73,86.69,163.39,15.23,32,115.29,0,10.48,18.21,43.68,19.22,10.73,8.51

3,00:30-00:45,0,0,0,0,0,0,0,0,42.02,10.67,0,0,28.99,9.67,0,33.34,33.33,9.67,0,32,-0,134.79,3.24,270.31,130.04,81.69,49.02,29.28,0,0,0,100.13,12.64,7.92,0,0,20.73,86.69,163.39,15.23,32,115.29,0,10.48,18.21,43.68,19.22,10.73,8.51

4,00:45-01:00,0,0,0,0,0,0,0,0,42.02,10.33,0,0,28.5,9.5,0,32.66,32.67,9.5,0,32,-0,134.79,3.24,270.31,130.04,81.69,49.02,29.28,0,0,0,100.13,12.64,7.92,0,0,20.73,86.69,163.39,15.23,32,115.29,0,10.48,18.21,43.68,19.22,10.73,8.51

5,01:00-01:15,0,0,0,0,0,0,0,0,43.02,10,0,0,28.01,9.33,0,32.66,32.67,9.33,0,15,-0,134.79,3.24,270.31,130.04,81.69,49.02,29.28,0,0,0,100.13,12.64,7.64,0,0,20.73,86.69,163.39,15.23,15,115.29,0,10.48,18.03,43.68,19.22,10.73,8.51

6,01:15-01:30,0,0,0,0,0,0,0,0,43.02,9.67,0,0,27.49,9.17,0,32,32,9.17,0,15,-0,134.79,3.24,270.31,130.04,81.69,49.02,29.28,0,0,0,100.13,12.64,7.64,0,0,20.73,86.69,163.39,15.23,15,115.29,0,10.48,18.03,43.68,19.22,10.73,8.51

7,01:30-01:45,0,0,0,0,0,0,0,0,43.02,9,0,0,27,9,0,28.34,28.33,9,0,20.7,-0,134.79,3.24,270.31,130.04,81.69,49.02,29.28,0,0,0,100.13,12.64,7.64,0,0,20.73,86.69,163.39,15.23,20.7,115.29,0,5.66,18.03,43.68,19.22,10.73,8.51

8,01:45-02:00,0,0,0,0,0,0,0,0,43.02,8,0,0,26.51,8.83,0,27,27,8.83,0,20.7,-0,134.79,3.24,270.31,130.04,81.69,49.02,28.77,0,0,0,100.13,12.64,7.64,0,0,20.73,86.69,163.39,15.23,20.7,115.29,0,5.66,18.03,43.68,19.22,10.73,8.51

9,02:00-02:15,0,0,0,0,0,0,0,0,43.02,7.33,0,0,25.99,8.67,0,26.34,26.33,8.67,0,26.7,-0,134.79,3.24,270.31,130.04,81.69,49.02,28.77,0,0,0,100.13,12.64,7.36,0,0,20.73,86.69,163.39,15.23,26.7,115.29,0,5.66,17.93,43.68,19.22,10.73,8.51

10,02:15-02:30,0,0,0,0,0,0,0,0,43.02,7,0,0,25.5,8.5,0,26.66,26.67,8.5,0,26.7,-0,134.79,3.24,270.31,130.04,81.69,49.02,28.27,0,0,0,100.13,12.64,7.36,0,0,20.73,86.69,163.39,15.23,26.7,115.29,0,5.66,17.93,43.68,19.22,10.73,8.51

11,02:30-02:45,0,0,0,0,0,0,0,0,37.02,7,0,0,25.01,8.33,0,25.66,25.67,8.33,0,26.7,-0,134.79,3.24,270.31,130.04,81.69,49.02,28.27,0,0,0,100.13,12.64,7.36,0,0,20.73,86.69,163.39,15.23,26.7,115.29,0,5.66,17.93,43.68,19.22,10.73,8.51

12,02:45-03:00,0,0,0,0,0,0,0,0,36.42,7,0,0,25.01,8.33,0,25.34,25.33,8.33,0,26.7,-0,134.79,3.24,270.31,130.04,81.69,49.02,28.27,0,0,0,100.13,12.64,7.36,0,0,20.73,86.69,163.39,15.23,26.7,115.29,0,5.66,17.93,43.68,19.22,10.73,8.51

13,03:00-03:15,0,0,0,0,0,0,0,0,35.61,7.33,0,0,25.01,8.33,0,25.34,25.33,8.33,0,26.7,-0,134.79,3.24,270.31,130.04,81.69,0,28.27,0,0,0,100.13,12.64,6.99,0,0,20.73,86.69,163.39,15.23,26.7,115.29,0,5.66,17.85,43.68,19.22,10.73,8.51

14,03:15-03:30,0,0,0,0,0,0,0,0,35.01,7.33,0,0,25.01,8.33,0,25.66,25.67,8.33,0,26.7,-0,134.79,3.24,270.31,130.04,81.69,0,28.27,0,0,0,100.13,12.64,6.99,0,0,20.73,86.69,163.39,15.23,26.7,115.29,0,5.66,17.85,43.68,19.22,10.73,8.51

