Block,Time,RIHAND2,DADRI_LF,UNCHAHAR4,KISHANGANGA,RAPPC,DADRI_RF,SEWA2,AURY_RF,SALAL,URI,ANTA_RF,PARBATI3,KOLDAM,DULHASTI,KOTESHWR,CHAMERA1,ANTA_CRF,UNCHAHAR2,DADRI_CRF,NAPP,DADRT2,ANTA_GF,CHAMERA2,TANDA2,RIHAND3,DADRI_GF,ANTA_LF,RAMPUR,AURY_LF,TANAKPUR,SINGRAULI_HYDRO,AURY_GF,UNCHAHAR1,JHAJJAR,AURY_CRF,RAPPB,URI2,NJPC,DHAULIGNGA,BSIUL,RIHAND1,CHAMERA3,KHSTPP-II,UNCHAHAR3,KHSTPP-I,TALA,FSTPP I & II,SASAN,BRBCL,SINGRAULI,TEHRI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,119.989386,0.000000,2.980923,8.046226,65.266898,72.045272,0.000000,31.835100,80.710661,35.145950,0.000000,18.840167,8.834430,57.086511,0.000000,40.660253,0.000000,43.321421,0.000000,45.731840,663.825454,0.000000,46.787784,4.876756,125.970622,0.000000,0.000000,6.507399,0.000000,11.739917,1.086435,0.000000,21.831161,407.527868,0.000000,0.000000,36.552984,173.609779,41.999311,6.290616,93.629868,33.601710,95.378201,26.663325,42.745857,9.359519,20.065760,401.556375,14.470452,137.508179,0.000000,0,0,0,0,0

2,00:15-00:30,119.989386,0.000000,2.980923,8.046226,65.266898,72.045272,0.000000,74.840385,80.710661,35.145950,0.000000,18.840167,8.472919,57.086511,0.000000,40.660253,0.000000,43.321421,0.000000,45.731840,663.825454,0.000000,46.787784,4.876756,125.970622,0.000000,0.000000,6.507399,0.000000,11.739917,1.086435,0.000000,21.831161,407.527868,0.000000,0.000000,36.552984,173.609779,41.999311,6.290616,93.629868,33.601710,95.378201,26.663325,42.745857,9.359519,20.065760,401.556375,14.470452,137.508179,0.000000,0,0,0,0,0

3,00:30-00:45,119.989386,0.000000,2.980923,8.046226,65.266898,72.045272,0.000000,74.840385,80.710661,35.145950,0.000000,18.840167,8.472919,57.086511,0.000000,40.660253,0.000000,43.321421,0.000000,45.731840,663.825454,0.000000,46.787784,5.033339,125.970622,0.000000,0.000000,6.507399,0.000000,6.178904,1.086435,0.000000,21.831161,407.527868,0.000000,0.000000,36.552984,173.609779,31.426610,6.290616,93.629868,33.601710,95.378201,26.663325,42.745857,9.926763,20.065760,401.556375,14.470452,137.508179,0.000000,0,0,0,0,0

4,00:45-01:00,119.989386,0.000000,2.980923,8.046226,65.266898,72.045272,0.000000,51.614059,80.710661,35.145950,0.000000,18.840167,8.472919,57.086511,0.000000,40.660253,0.000000,43.321421,0.000000,45.731840,663.825454,0.000000,46.787784,5.168948,125.970622,0.000000,0.000000,6.507399,0.000000,6.178904,1.086435,0.000000,21.831161,407.527868,0.000000,0.000000,36.552984,173.609779,31.426610,6.290616,93.629868,33.601710,95.378201,26.663325,42.745857,9.926763,20.065760,401.556375,13.272186,137.508179,0.000000,0,0,0,0,0

5,01:00-01:15,119.989386,0.000000,2.980923,8.046226,65.266898,57.636218,0.000000,37.420192,80.710661,35.145950,0.000000,4.121286,5.648613,57.086511,0.000000,40.660253,0.000000,43.321421,0.000000,45.731840,663.825454,0.000000,46.787784,5.168948,125.970622,0.000000,0.000000,6.507399,0.000000,6.178904,1.086435,0.000000,21.831161,407.527868,0.000000,0.000000,36.552984,173.609779,31.426610,6.290616,93.629868,33.601710,95.378201,26.663325,42.745857,4.254327,20.065760,401.556375,12.849435,137.508179,0.000000,0,0,0,0,0

