Time,Block,NR/2023/17011/D,NR/2023/17078/C,NR/2023/16185/A,NR/2023/17080/C,NR/2023/13519/A,NR/2023/13242/A,NR/2023/13636/A,NR/2023/16437/F,NR/2023/16291/F,NR/2023/13376/A,NR/2023/17010/D,NR/2023/13253/A,NR/2023/17065/C,NR/2023/15770/A,NR/2023/16077/A,NR/2023/13908/A,NR/2023/13150/A,NR/2023/13165/A,NR/2023/13383/A,NR/2023/13385/A,NR/2023/13254/A,NR/2023/16073/A,NR/2023/17066/C,NR/2023/16191/A,NR/2023/16520/F,NR/2023/16865/F,NR/2023/13148/A,NR/2023/13387/A,NR/2023/17049/D,NR/2023/17067/C,Total
,,IEXL,IEXL,MANIKARAN,HPXL,STATKRAFT,APPCPL,NVVNL,NVVNL,ITCLH,APPCPL,IEXL,APPCPL,GBHHPL,NVVNL,APPCPL,TPTCL,KEIPL,GMRETL,APPCPL,NVVNL,APPCPL,APPCPL,TPDDL,MANIKARAN,IEXL,SJVNL,KEIPL,NVVNL,NVVNL,SJVNL,Total

,,TAMIL NADU,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,SIKKIM,NA,NA,ANDHRA PRADESH,MEGHALAYA,TAMIL NADU,UTTARAKHAND,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,MEGHALAYA,MEGHALAYA,HIMACHAL PRADESH,MP,MEGHALAYA,GOA,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,UTTAR PRADESH,MEGHALAYA,NA,NA,NA,
,,OPGPGPLU4TN,Teesta_III,HP,SINGOLI,HP,SIKKIM,KAMENG,KAMENG,ITCWIND,Meghalaya_Ben,OPGPGUNIT1TN,UTTARAKHAND,GBHHPL,SKS Raigarh,HP,JPL,Meghalaya_Ben,Meghalaya_Ben,HP,JP BINA,Meghalaya_Ben,GOA_Beneficiary,CHANJUII,HP,PPGCL,BCMLB001,Meghalaya_Ben,JPNIGRIE_JNSTPP,SOLAPUR_SOLAR,RSRPL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,BRPL,BRPL,BYPL,BYPL,BRPL,TPDDL,ITCLH,BYPL,BRPL,BYPL,DIAPL,NDMC,BRPL,BRPL,BYPL,BYPL,BYPL,BRPL,BYPL,BRPL,TPDDL,BRPL,BRPL,NDMC,BYPL,BRPL,MES (Delhi),NDMC,
,,South-East-North,East-North,North-North,North-North,North-North,East-North,North East-East-North,North East-East-North,South-West-North,North East-East-North,South-East-North,North-North,North-North,West-North,North-North,West-North,North East-East-North,North East-East-North,North-North,West-North,North East-East-North,West-North,North-North,North-North,North-North,North-North,North East-East-North,West-North,West-North,North-North,
1,00:00-00:15,67.910000,242.550000,77.620000,65.000000,58.700000,29.690000,19.230000,148.580000,0.870000,20.370000,4.850000,48.510000,5.050000,63.060000,107.980000,175.680000,63.260000,22.310000,46.280000,30.730000,19.690000,24.260000,9.450000,142.620000,0.000000,0.000000,36.610000,100.420000,0,0,1631.28

2,00:15-00:30,67.910000,242.550000,77.620000,65.000000,58.700000,29.690000,19.230000,148.580000,0.870000,20.370000,4.850000,48.510000,5.050000,63.060000,107.980000,175.680000,63.260000,22.310000,46.280000,30.730000,19.690000,24.260000,9.450000,142.620000,0.000000,0.000000,36.610000,100.420000,0,0,1631.28
