Time,Block,NR/2023/13983/F,NR/2023/11203/A,NR/2023/13283/A,NR/2023/11458/A,NR/2023/15050/D,NR/2023/13859/A,NR/2023/15053/C,NR/2023/11654/A,NR/2023/15081/C,NR/2023/11470/A,NR/2023/12646/A,NR/2023/15054/C,NR/2023/13983/F/II,NR/2023/13284/A,NR/2023/11954/A,NR/2023/15065/C,NR/2023/15062/C,NR/2023/11739/A,NR/2023/11697/A,NR/2023/15077/C,NR/2023/13573/A,NR/2023/13858/A,NR/2023/11315/A,NR/2023/11325/A,NR/2023/15064/C,NR/2023/15080/C,NR/2023/14187/F,NR/2023/15070/C,NR/2023/15078/C,NR/2023/11328/A,NR/2023/15048/D,NR/2023/15049/D,NR/2023/15051/D,NR/2023/11469/A,Total
,,ITCLH,KEIPL,APPCPL,STATKRAFT,NVVNL,MANIKARAN,SJVNL,TPTCL,IEXL,NVVNL,MANIKARAN,SJVNL,ITCLH,APPCPL,KEIPL,IEXL,HPXL,NVVNL,APPCPL,IEXL,NVVNL,MANIKARAN,GMRETL,APPCPL,GBHHPL,IEXL,GBHHPL,IEXL,IEXL,APPCPL,TS1PL_BKN,TS1PL_BKN,NVVNL,NVVNL,Total

,,ANDHRA PRADESH,MEGHALAYA,GOA,TAMIL NADU,NA,HIMACHAL PRADESH,WEST BENGAL,NA,NA,NA,TAMIL NADU,UTTAR PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,NA,MP,HIMACHAL PRADESH,KARNATAKA,NA,HIMACHAL PRADESH,MEGHALAYA,MEGHALAYA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,UTTAR PRADESH,NA,UTTARAKHAND,NA,NA,NA,NA,
,,ITCWIND,Meghalaya_Ben,GOA_Beneficiary,TANGEDCO,KAMENG,HP,IPCL_WB,JPL-2,MCCPL,KAMENG,TANGEDCO,BCMLB001,ITCWIND,HP,Meghalaya_Ben,ADHPL,Teesta_III,JP BINA,HP,NSLSUGAR,SKS Raigarh,HP,Meghalaya_Ben,Meghalaya_Ben,GBHHPL,ACBIL,GBHHPL,BCMLB001,SINGOLI,UTTARAKHAND,TS1PL_BKN,TS1PL_BKN,SOLAPUR_SOLAR,JPNIGRIE_JNSTPP,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,ITCLH,BYPL,BRPL,BYPL,TPDDL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,NDMC,ITCLH,BRPL,BYPL,BRPL,BRPL,BRPL,BYPL,MES (Delhi),NDMC,BRPL,BYPL,BYPL,DIAPL,BRPL,DIAPL,BRPL,BRPL,BYPL,BRPL,BYPL,MES (Delhi),BRPL,
,,South-West-North,North East-East-North,West-North,South-West-North,North East-East-North,North-North,East-North,West-North,West-East-North,North East-East-North,South-West-North,North-North,South-East-North,North-North,North East-East-North,North-North,East-North,West-North,North-North,South-West-North,West-North,North-North,North East-East-North,North East-East-North,North-North,West-East-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,
1,00:00-00:15,0.700000,62.990000,24.140000,98.470000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,23.100000,0.000000,0.170000,81.770000,36.420000,43.440000,478.840000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,8.210000,32.820000,48.270000,0,0,0,84.940000,1822.44

2,00:15-00:30,0.700000,62.990000,24.140000,98.470000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,23.100000,0.000000,0.170000,81.770000,36.420000,43.440000,478.840000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,8.210000,32.820000,48.270000,0,0,0,84.940000,1822.44
