Block,Time,SH-06,L_NR_2019_07,LT-59,L_NR_2022_08,L_NR_2018_61,L_NR_2021_17,SH-07,L_NR_2012_04,L_NR_2020_05,L_NR_2020_06,L_NR_2019_06,L_NR_2022_09,L_NR_2012_02,L_NR_2020_02,L_NR_2021_16,L_NR_2023_07,L_NR_2019_05,L_NR_2023_10,L_NR_2019_11,L_NR_2021_12,L_NR_2012_01,L_NR_2020_07,L_NR_2019_19,LT-31,LT-35,L_NR_2022_10,L_NR_2021_15,L_NR_2021_13,L_NR_2021_14,LT-36,LT-05,L_NR_2023_04,L_NR_2012_07
1,00:00-00:15,31.050000,0,8.200000,35.24,39.97,0,31.050000,272.870000,117.5,39.17,0,83.54,202.160000,6.910000,0,0,0,0,7.710000,0,101.630000,39.16,0,0.000000,0.000000,83.54,0,0,0,0.000000,33.290000,26.930000,56.270000

2,00:15-00:30,31.050000,0,8.200000,35.18,42.87,0,31.050000,272.870000,117.5,39.17,0,83.65,202.160000,6.910000,0,0,0,0,7.710000,0,101.630000,39.16,0,0.000000,0.000000,83.65,0,0,0,0.000000,33.290000,26.930000,56.270000

3,00:30-00:45,31.050000,0,8.200000,35.08,42.86,0,24.540000,272.870000,117.5,39.17,0,83.42,155.890000,6.910000,0,0,0,0,7.710000,0,101.630000,39.16,0,0.000000,0.000000,83.42,0,0,0,0.000000,33.290000,26.930000,41.210000

4,00:45-01:00,31.050000,0,8.200000,35.14,42.73,0,24.540000,272.870000,117.5,39.17,0,83.52,155.890000,6.910000,0,0,0,0,7.710000,0,101.630000,39.16,0,0.000000,0.000000,83.52,0,0,0,0.000000,33.290000,26.930000,41.210000

5,01:00-01:15,31.050000,0,8.200000,35.26,42.67,0,24.540000,272.870000,117.5,39.17,0,83.49,155.890000,6.910000,0,0,0,0,7.710000,0,101.630000,39.16,0,0.000000,0.000000,83.49,0,0,0,0.000000,33.290000,26.930000,33.940000

6,01:15-01:30,31.050000,0,8.200000,35.26,42.5,0,24.540000,272.870000,117.5,39.17,0,83.46,155.890000,6.910000,0,0,0,0,7.710000,0,72.520000,39.16,0,0.000000,0.000000,83.46,0,0,0,0.000000,33.290000,26.930000,33.940000

