Block,Time,L_NR_2020_05,L_NR_2012_07,L_NR_2012_04,L_NR_2023_10,L_NR_2021_17,SH-06,L_NR_2022_08,L_NR_2020_07,LT-59,SH-07,L_NR_2019_07,L_NR_2019_19,L_NR_2021_13,LT-36,LT-31,L_NR_2023_04,LT-05,L_NR_2012_02,L_NR_2018_61,L_NR_2019_05,L_NR_2021_16,L_NR_2022_10,L_NR_2020_02,L_NR_2020_06,LT-35,L_NR_2021_15,L_NR_2012_01,L_NR_2022_09,L_NR_2023_07,L_NR_2021_14,L_NR_2019_06,L_NR_2021_12,L_NR_2019_11
1,00:00-00:15,91,74.000000,271.430000,0,0,30.880000,31.34,30.34,10.330000,30.880000,0,0,0,0.000000,0.000000,29.660000,115.820000,222.940000,37.14,0,0,77.32,10.580000,30.33,0.000000,0,101.090000,77.32,0,0,0,0,10.750000

2,00:15-00:30,91.33,74.000000,271.430000,0,0,30.880000,31.54,30.45,10.330000,30.880000,0,0,0,0.000000,0.000000,29.660000,115.820000,222.940000,35.94,0,0,77.08,10.580000,30.44,0.000000,0,101.090000,77.08,0,0,0,0,10.750000

3,00:30-00:45,91.06,74.000000,271.430000,0,0,30.880000,31.58,30.35,10.330000,30.880000,0,0,0,0.000000,0.000000,29.660000,115.820000,222.940000,36.53,0,0,77.24,10.580000,30.35,0.000000,0,101.090000,77.24,0,0,0,0,10.750000

4,00:45-01:00,91.39,74.000000,271.430000,0,0,30.880000,31.88,30.47,10.330000,30.880000,0,0,0,0.000000,0.000000,29.660000,115.820000,222.940000,35.91,0,0,76.98,10.580000,30.46,0.000000,0,101.090000,76.98,0,0,0,0,10.750000

5,01:00-01:15,91.15,74.000000,271.430000,0,0,30.880000,32.24,30.38,10.330000,30.880000,0,0,0,0.000000,0.000000,29.660000,115.820000,222.940000,34.71,0,0,77.24,10.390000,30.39,0.000000,0,101.090000,77.24,0,0,0,0,10.750000

6,01:15-01:30,105.46,74.000000,271.430000,0,0,30.880000,32.62,35.17,10.330000,30.880000,0,0,0,0.000000,0.000000,29.660000,115.820000,222.940000,42.09,0,0,77.04,10.390000,35.15,0.000000,0,101.090000,77.04,0,0,0,0,10.750000

7,01:30-01:45,104.89,74.000000,271.430000,0,0,30.880000,32.83,34.96,10.330000,30.880000,0,0,0,0.000000,0.000000,29.660000,115.820000,222.940000,41.81,0,0,76.81,10.390000,34.96,0.000000,0,101.090000,76.81,0,0,0,0,10.750000

8,01:45-02:00,105.5,74.000000,271.430000,0,0,30.880000,33.27,35.17,10.330000,30.880000,0,0,0,0.000000,0.000000,29.660000,115.820000,222.940000,41.05,0,0,80,10.390000,35.17,0.000000,0,101.090000,80,0,0,0,0,10.750000

9,02:00-02:15,104.65,74.000000,271.430000,0,0,30.880000,36.08,34.9,10.330000,30.880000,0,0,0,0.000000,0.000000,29.660000,115.820000,222.940000,39.92,0,0,80,10.210000,34.88,0.000000,0,101.090000,80,0,0,0,0,10.750000

10,02:15-02:30,104.31,74.000000,271.430000,0,0,30.880000,36.03,34.77,10.330000,30.880000,0,0,0,0.000000,0.000000,29.660000,115.820000,222.940000,39.2,0,0,80,10.210000,34.77,0.000000,0,101.090000,80,0,0,0,0,10.750000

11,02:30-02:45,104.57,74.000000,271.430000,0,0,30.880000,36.24,34.84,10.330000,30.880000,0,0,0,0.000000,0.000000,29.660000,115.820000,222.940000,39.21,0,0,80,10.210000,34.86,0.000000,0,101.090000,80,0,0,0,0,10.750000

12,02:45-03:00,104.95,74.000000,271.430000,0,0,30.880000,36.41,34.98,10.330000,30.880000,0,0,0,0.000000,0.000000,29.660000,115.820000,222.940000,38.63,0,0,80,10.210000,34.98,0.000000,0,101.090000,80,0,0,0,0,10.750000

13,03:00-03:15,107.07,74.000000,271.430000,0,0,30.880000,36.63,35.69,10.330000,30.880000,0,0,0,0.000000,0.000000,29.660000,115.820000,222.940000,38.21,0,0,80,10.070000,35.69,0.000000,0,101.090000,80,0,0,0,0,10.750000

14,03:15-03:30,108.04,74.000000,271.430000,0,0,30.880000,36.76,36.02,10.330000,30.880000,0,0,0,0.000000,0.000000,29.660000,115.820000,222.940000,37.71,0,0,80,10.070000,36.01,0.000000,0,101.090000,80,0,0,0,0,10.750000

15,03:30-03:45,100.07,74.000000,271.430000,0,0,30.880000,32.4,33.35,10.330000,30.880000,0,0,0,0.000000,0.000000,29.660000,115.820000,222.940000,34.05,0,0,76,10.070000,33.36,0.000000,0,101.090000,76,0,0,0,0,10.750000

16,03:45-04:00,101.57,74.000000,271.430000,0,0,30.880000,32.58,33.86,10.330000,30.880000,0,0,0,0.000000,0.000000,29.660000,115.820000,222.940000,33.66,0,0,76,10.070000,33.85,0.000000,0,101.090000,76,0,0,0,0,10.750000

17,04:00-04:15,101.6,74.000000,271.430000,0,0,30.880000,32.66,33.85,10.330000,30.880000,0,0,0,0.000000,0.000000,29.660000,115.820000,222.940000,33.24,0,0,76,9.930000,33.87,0.000000,0,101.090000,76,0,0,0,0,10.750000

18,04:15-04:30,101.78,74.000000,271.430000,0,0,30.880000,32.63,33.93,10.330000,30.880000,0,0,0,0.000000,0.000000,29.660000,115.820000,222.940000,33.15,0,0,76,9.930000,33.92,0.000000,0,101.090000,76,0,0,0,0,10.750000

19,04:30-04:45,100.88,74.000000,271.430000,0,0,30.880000,32.6,33.63,10.330000,30.880000,0,0,0,0.000000,0.000000,29.660000,115.820000,222.940000,33.4,0,0,76,9.930000,33.63,0.000000,0,101.090000,76,0,0,0,0,10.750000

20,04:45-05:00,101.21,74.000000,271.430000,0,0,30.880000,32.44,33.72,10.330000,30.880000,0,0,0,0.000000,0.000000,29.660000,115.820000,222.940000,28.12,0,0,76,9.930000,33.74,0.000000,0,101.090000,76,0,0,0,0,10.750000

21,05:00-05:15,102.07,55.980000,271.430000,0,0,30.880000,32.67,34.02,10.330000,30.880000,0,0,0,0.000000,0.000000,30.660000,115.820000,170.490000,27.31,0,0,78.33,9.800000,34.02,0.000000,0,101.090000,78.33,0,0,0,0,10.750000

22,05:15-05:30,102.17,55.980000,271.430000,0,0,30.880000,32.85,34.05,10.330000,30.880000,0,0,0,0.000000,0.000000,30.660000,115.820000,170.490000,26.51,0,0,78.33,9.800000,34.06,0.000000,0,101.090000,78.33,0,0,0,0,10.750000

23,05:30-05:45,101.46,55.980000,271.430000,0,0,30.880000,32.9,33.82,10.330000,30.880000,0,0,0,0.000000,0.000000,30.660000,115.820000,170.490000,25.65,0,0,78.33,9.800000,33.82,0.000000,0,101.090000,78.33,0,0,0,0,10.750000

24,05:45-06:00,99.86,55.980000,271.430000,0,0.33,30.880000,32.92,33.29,10.330000,30.880000,0,0.165784,0,0.000000,0.000000,30.660000,115.820000,170.490000,13.06,0,0.67,78.33,9.800000,33.28,0.000000,0,101.090000,78.33,0,0.18,0,0.02,10.750000

25,06:00-06:15,99.11,55.980000,271.430000,0.16,1,30.880000,32.89,33.04,10.330000,30.880000,1.88,3.013368,0.01,0.000000,0.000000,30.660000,115.820000,222.940000,12.05,4.32,2,78.33,9.650000,33.04,0.000000,0,101.090000,78.33,0.37,1.66,4.05,0.05,10.750000

26,06:15-06:30,98.32,55.980000,271.430000,1.19,1.67,30.880000,32.98,32.77,10.330000,30.880000,6.66,7.782096,0.18,0.150000,0.140000,30.660000,115.820000,222.940000,11.31,8.64,3.33,78.33,9.650000,32.77,0.140000,0.34,101.090000,78.33,2.77,3.79,8.8,0.93,10.750000

