Time,Block,NR/2023/17525/A,WR/2023/19446/A,NR/2023/18062/A/1507,NR/2023/17270/A,WR/2023/20256/A/1602,WR/2023/20577/A/1607,NR/2023/18074/A/1528,NR/2023/18132/C,NR/2023/18135/C,NR/2023/18133/C,NR/2023/18105/A/1506,NR/2023/18134/C,Total
,,APPCPL,MANIKARAN,IEXL,GMRETL,MANIKARAN,APPCPL,ITCLH,TPDDL,SJVNL,SJVNL,IEXL,SJVNL,Total

,,DELHI,DELHI,ANDHRA PRADESH,DELHI,DELHI,DELHI,ANDHRA PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,UTTAR PRADESH,
,,BYPL,BYPL,SNJSUGARLTDAP,BYPL,BRPL,BRPL,ITCWIND,CHANJUII,RSRPL_BKN,RSRPL_BKN,BSHP,BCMLB001,
,,HIMACHAL PRADESH,MAHARASHTRA,DELHI,RAJASTHAN,GOA,GOA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,HP,AEML,MES (Delhi),RUVNL,GOA_Beneficiary,GOA_Beneficiary,ITCLH,TPDDL,NDMC,NDMC,MES (Delhi),NDMC,
,,North-North,North-West,South-East-North,North-North,North-West,North-West,South-West-North,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.430000,2.200000,0,0,0.960000,0.000000,108.89

2,00:15-00:30,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.430000,2.200000,0,0,0.960000,0.000000,108.89

3,00:30-00:45,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.430000,2.200000,0,0,0.960000,0.000000,108.89

4,00:45-01:00,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.430000,2.200000,0,0,0.960000,0.000000,108.89

5,01:00-01:15,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.380000,2.200000,0,0,0.960000,0.000000,108.84

6,01:15-01:30,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.380000,2.200000,0,0,0.960000,0.000000,108.84

7,01:30-01:45,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.380000,2.200000,0,0,0.960000,0.000000,108.84

8,01:45-02:00,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.380000,2.200000,0,0,0.960000,0.000000,108.84

9,02:00-02:15,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.340000,2.200000,0,0,0.960000,0.000000,108.8

10,02:15-02:30,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.340000,2.200000,0,0,0.960000,0.000000,108.8

11,02:30-02:45,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.340000,2.200000,0,0,0.960000,0.000000,108.8

12,02:45-03:00,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.340000,2.200000,0,0,0.960000,0.000000,108.8

13,03:00-03:15,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.340000,2.300000,0,0,0.960000,0.000000,108.9

14,03:15-03:30,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.340000,2.300000,0,0,0.960000,0.000000,108.9

15,03:30-03:45,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.340000,2.300000,0,0,0.960000,0.000000,108.9

16,03:45-04:00,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.340000,2.300000,0,0,0.960000,0.000000,108.9

17,04:00-04:15,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.380000,2.300000,0,0,0.960000,0.000000,108.94

18,04:15-04:30,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.380000,2.300000,0,0,0.960000,0.000000,108.94

19,04:30-04:45,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.380000,2.300000,0,0,0.960000,0.000000,108.94

20,04:45-05:00,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.380000,2.300000,0,0,0.960000,0.000000,108.94

21,05:00-05:15,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.380000,2.300000,0,0,0.960000,0.000000,108.94

22,05:15-05:30,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.380000,2.300000,0,0,0.960000,0.000000,108.94

23,05:30-05:45,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.380000,2.300000,0,0,0.960000,0.000000,108.94

24,05:45-06:00,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.380000,2.300000,0,0,0.960000,0.000000,108.94

25,06:00-06:15,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.380000,2.200000,0,0,0.960000,0.000000,183.35

26,06:15-06:30,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.380000,2.200000,0,0,0.960000,0.000000,183.35

27,06:30-06:45,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.380000,2.200000,0,0,0.960000,0.000000,183.35

28,06:45-07:00,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.380000,2.200000,0,0,0.960000,0.000000,183.35

29,07:00-07:15,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.530000,2.200000,0,0,0.960000,0.000000,183.5

30,07:15-07:30,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.530000,2.200000,0,0,0.960000,0.000000,183.5

31,07:30-07:45,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.530000,2.200000,0,0,0.960000,0.000000,183.5

32,07:45:08:00,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.530000,2.200000,0,0,0.960000,0.000000,183.5

33,08:00-08:15,0.000000,75.000000,4.810000,50.000000,0.000000,0.000000,0.770000,2.200000,0,0,0.960000,0.000000,133.74

34,08:15-08:30,0.000000,75.000000,4.810000,50.000000,0.000000,0.000000,0.770000,2.200000,0,0,0.960000,0.000000,133.74

35,08:30-08:45,0.000000,75.000000,4.810000,50.000000,0.000000,0.000000,0.770000,2.200000,0,0,0.960000,0.000000,133.74

36,08:45:09:00,0.000000,75.000000,4.810000,50.000000,0.000000,0.000000,0.770000,2.200000,0,0,0.960000,0.000000,133.74

37,09:00:09:15,0.000000,75.000000,4.810000,50.000000,0.000000,0.000000,0.770000,2.200000,28.84,15.86,0.960000,8.170000,186.61

38,09:15-09:30,0.000000,75.000000,4.810000,50.000000,0.000000,0.000000,0.770000,2.200000,28.84,15.86,0.960000,8.170000,186.61

39,09:30-09:45,0.000000,75.000000,4.810000,50.000000,0.000000,0.000000,0.770000,2.200000,28.84,15.86,0.960000,8.170000,186.61

40,09:45-10:00,0.000000,75.000000,4.810000,50.000000,0.000000,0.000000,0.770000,2.200000,28.84,15.86,0.960000,8.170000,186.61

41,10:00-10:15,0.000000,75.000000,4.810000,50.000000,0.000000,0.000000,0.770000,2.300000,28.84,15.86,0.960000,8.170000,186.71

42,10:15-10:30,0.000000,75.000000,4.810000,50.000000,0.000000,0.000000,0.770000,2.300000,28.84,15.86,0.960000,8.170000,186.71

43,10:30-10:45,0.000000,75.000000,4.810000,50.000000,0.000000,0.000000,0.770000,2.300000,28.84,15.86,0.960000,8.170000,186.71

44,10:45-11:00,0.000000,75.000000,4.810000,50.000000,0.000000,0.000000,0.770000,2.300000,28.84,15.86,0.960000,8.170000,186.71

45,11:00-11:15,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.770000,2.300000,28.84,15.86,0.960000,8.170000,236.71

46,11:15-11:30,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.770000,2.300000,28.84,15.86,0.960000,8.170000,236.71

47,11:30-11:45,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.770000,2.300000,28.84,15.86,0.960000,8.170000,236.71

48,11:45-12:00,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.770000,2.300000,28.84,15.86,0.960000,8.170000,236.71

49,12:00-12:15,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.770000,2.300000,28.84,15.86,0.960000,8.170000,236.71

50,12:15-12:30,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.770000,2.300000,28.84,15.86,0.960000,8.170000,236.71

51,12:30-12:45,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.770000,2.300000,28.84,15.86,0.960000,8.170000,236.71

52,12:45-13:00,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.770000,2.300000,28.84,15.86,0.960000,8.170000,236.71

53,13:00-13:15,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.770000,2.200000,28.84,15.86,0.960000,8.170000,236.61

54,13:15-13:30,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.770000,2.200000,28.84,15.86,0.960000,8.170000,236.61

55,13:30-13:45,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.770000,2.200000,28.84,15.86,0.960000,8.170000,236.61

56,13:45-14:00,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.770000,2.200000,28.84,15.86,0.960000,8.170000,236.61

57,14:00-14:15,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.770000,2.200000,28.84,15.86,0.960000,8.170000,236.61

58,14:15-14:30,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.770000,2.200000,28.84,15.86,0.960000,8.170000,236.61

59,14:30-14:45,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.770000,2.200000,28.84,15.86,0.960000,8.170000,236.61

60,14:45-15:00,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.770000,2.200000,28.84,15.86,0.960000,8.170000,236.61

61,15:00-15:15,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.620000,2.200000,28.84,15.86,0.960000,8.170000,236.46

62,15:15-15:30,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.620000,2.200000,28.84,15.86,0.960000,8.170000,236.46

63,15:30-15:45,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.620000,2.200000,28.84,15.86,0.960000,8.170000,236.46

64,15:45-16:00,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.620000,2.200000,21.63,15.86,0.960000,8.170000,229.25

65,16:00-16:15,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.480000,2.200000,0,0,0.960000,0.000000,183.45

66,16:15-16:30,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.480000,2.200000,0,0,0.960000,0.000000,183.45

67,16:30-16:45,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.480000,2.200000,0,0,0.960000,0.000000,183.45

68,16:45-17:00,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.480000,2.200000,0,0,0.960000,0.000000,183.45

69,17:00-17:15,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.480000,2.300000,0,0,0.960000,0.000000,183.55

70,17:15-17:30,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.480000,2.300000,0,0,0.960000,0.000000,183.55

71,17:30-17:45,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.480000,2.300000,0,0,0.960000,0.000000,183.55

72,17:45-18:00,0.000000,75.000000,4.810000,100.000000,0.000000,0.000000,0.480000,2.300000,0,0,0.960000,0.000000,183.55

73,18:00-18:15,0.000000,75.000000,4.810000,100.000000,25.000000,55.000000,0.530000,2.300000,0,0,0.960000,0.000000,263.6

74,18:15-18:30,0.000000,75.000000,4.810000,100.000000,25.000000,55.000000,0.530000,2.300000,0,0,0.960000,0.000000,263.6

75,18:30-18:45,0.000000,75.000000,4.810000,100.000000,25.000000,55.000000,0.530000,2.300000,0,0,0.960000,0.000000,263.6

76,18:45-19:00,0.000000,75.000000,4.810000,100.000000,25.000000,55.000000,0.530000,2.300000,0,0,0.960000,0.000000,263.6

77,19:00-19:15,0.000000,75.000000,4.810000,100.000000,25.000000,55.000000,0.530000,2.300000,0,0,0.960000,0.000000,263.6

78,19:15-19:30,0.000000,75.000000,4.810000,100.000000,25.000000,55.000000,0.530000,2.300000,0,0,0.960000,0.000000,263.6

79,19:30-19:45,0.000000,75.000000,4.810000,100.000000,25.000000,55.000000,0.530000,2.300000,0,0,0.960000,0.000000,263.6

80,19:45-20:00,0.000000,75.000000,4.810000,100.000000,25.000000,55.000000,0.530000,2.300000,0,0,0.960000,0.000000,263.6

81,20:00-20:15,0.000000,75.000000,4.810000,0.000000,25.000000,55.000000,0.530000,2.300000,0,0,0.960000,0.000000,163.6

82,20:15-20:30,0.000000,75.000000,4.810000,0.000000,25.000000,55.000000,0.530000,2.300000,0,0,0.960000,0.000000,163.6

83,20:30-20:45,0.000000,75.000000,4.810000,0.000000,25.000000,55.000000,0.530000,2.300000,0,0,0.960000,0.000000,163.6

84,20:45-21:00,0.000000,75.000000,4.810000,0.000000,25.000000,55.000000,0.530000,2.300000,0,0,0.960000,0.000000,163.6

85,21:00-21:15,0.000000,75.000000,4.810000,0.000000,25.000000,55.000000,0.530000,2.200000,0,0,0.960000,0.000000,163.5

86,21:15-21:30,0.000000,75.000000,4.810000,0.000000,25.000000,55.000000,0.530000,2.200000,0,0,0.960000,0.000000,163.5

87,21:30-21:45,0.000000,75.000000,4.810000,0.000000,25.000000,55.000000,0.530000,2.200000,0,0,0.960000,0.000000,163.5

88,21:45-22:00,0.000000,75.000000,4.810000,0.000000,25.000000,55.000000,0.530000,2.200000,0,0,0.960000,0.000000,163.5

89,22:00-22:15,25.490000,75.000000,4.810000,0.000000,0.000000,55.000000,0.480000,2.200000,0,0,0.960000,0.000000,163.94

90,22:15-22:30,25.490000,75.000000,4.810000,0.000000,0.000000,55.000000,0.480000,2.200000,0,0,0.960000,0.000000,163.94

91,22:30-22:45,25.490000,75.000000,4.810000,0.000000,0.000000,55.000000,0.480000,2.200000,0,0,0.960000,0.000000,163.94

92,22:45-23:00,25.490000,75.000000,4.810000,0.000000,0.000000,55.000000,0.480000,2.200000,0,0,0.960000,0.000000,163.94

93,23:00-23:15,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.430000,2.200000,0,0,0.960000,0.000000,108.89

94,23:15-23:30,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.430000,2.200000,0,0,0.960000,0.000000,108.89

95,23:30-23:45,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.430000,2.200000,0,0,0.960000,0.000000,108.89

96,23:45-24:00,25.490000,75.000000,4.810000,0.000000,0.000000,0.000000,0.430000,2.200000,0,0,0.960000,0.000000,108.89

