Block,Time,JHAJJAR,NAPP,NTPL,SEWA2,BRBCL,KGSU3AND4,KOLDAM,SALAL,TelanganaSTPP,UNCHAHAR3,URI,DADRI_RF,CHAMERA1,CHAMERA3,DADRT2,KKNP,RAPPB,TALA,UNCHAHAR1,VALLURNTECL,AURY_CRF,DADRI_LF,KHSTPP-II,NLCEXP,NLCIIST2,PARBATI2,RAMPUR,RSTPSU1TO6,TALST2,TEHRI,UNCHAHAR4,ANTA_LF,FSTPP I & II,KKNPPU2,NJPC,NLCTS2EXP,RAPPC,RIHAND2,SIMHST1,UNCHAHAR2,ANTA_CRF,AURY_LF,BSIUL,DHAULIGNGA,KHSTPP-I,KISHANGANGA,KOTESHWR,NLCIIST1,NNTPP,PARBATI3,RAPPD,SIMHST2,URI2,ANTA_RF,AURY_RF,DADRI_GF,DULHASTI,KGSU1AND2,RIHAND1,RIHAND3,RSTPSU7,SASAN,SINGRAULI_HYDRO,ANTA_GF,DADRI_CRF,CHAMERA2,KUDGI,MAPS,SINGRAULI,TANAKPUR,TANDA2,TEHRIPSP,AURY_GF
1,00:00-00:15,667.25,24.48,0,12.22,24.99,0,8.62,72.05,0,27.69,52.36,79.04,42.15,33.94,549.38,0,0,20.44,19.57,0,0,0,98.87,0,0,0,5.7,0,0,60.14,3.22,0,20.8,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,40.57,0,0,53.53,0,0,38.97,51.96,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,147.44,13.06,5.73,83.18,0

2,00:15-00:30,667.25,24.48,0,12.22,24.99,0,8.62,72.05,0,27.69,52.36,79.04,42.15,33.94,549.38,0,0,20.44,19.57,0,0,0,98.87,0,0,0,5.7,0,0,60.14,3.22,0,20.8,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,40.57,0,0,53.53,0,0,38.97,51.96,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,147.44,13.06,5.73,0,0

3,00:30-00:45,667.25,24.48,0,12.22,24.99,0,8.62,72.05,0,27.69,52.36,79.04,42.15,33.94,549.38,0,0,20.44,19.57,0,0,0,98.87,0,0,0,5.7,0,0,60.14,3.22,0,19.18,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,40.57,0,0,53.53,0,0,38.97,51.96,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,147.44,13.06,5.73,0,0

4,00:45-01:00,667.25,24.48,0,12.22,24.99,0,8.62,72.05,0,27.69,52.36,79.04,42.15,33.94,549.38,0,0,20.44,19.57,0,0,0,98.87,0,0,0,5.7,0,0,60.14,3.22,0,19.18,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,40.57,0,0,53.53,0,0,38.97,51.96,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,147.44,13.06,5.73,83.18,0

5,01:00-01:15,662.35,24.48,0,12.22,24.99,0,8.62,72.05,0,27.69,41.95,79.04,42.15,33.94,549.38,0,0,20.44,19.57,0,0,0,98.87,0,0,0,5.7,0,0,60.14,3.22,0,19.18,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,40.57,0,0,53.53,0,0,38.97,51.96,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,147.44,13.06,5.73,83.18,0

6,01:15-01:30,662.35,24.48,0,12.22,24.99,0,8.62,72.05,0,27.69,41.95,79.04,42.15,33.94,549.38,0,0,20.44,19.57,0,0,0,98.87,0,0,0,5.7,0,0,60.14,3.22,0,19.18,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,40.57,0,0,53.53,0,0,38.97,51.96,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,147.44,13.06,5.73,83.18,0

7,01:30-01:45,667.25,24.48,0,12.22,24.99,0,8.62,72.05,0,27.69,44.16,79.04,42.15,33.94,549.38,0,0,20.44,19.57,0,0,0,98.87,0,0,0,5.7,0,0,60.14,3.22,0,19.18,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,40.57,0,0,53.53,0,0,38.97,51.96,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,147.44,13.06,5.73,83.18,0

8,01:45-02:00,667.25,24.48,0,12.22,24.99,0,8.62,72.05,0,27.69,44.16,79.04,42.15,33.94,549.38,0,0,20.44,19.57,0,0,0,98.87,0,0,0,5.7,0,0,60.14,3.22,0,19.18,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,40.57,0,0,53.53,0,0,38.97,51.96,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,147.44,13.06,5.73,0,0

9,02:00-02:15,651.85,24.48,0,12.22,24.99,0,8.62,72.05,0,27.69,44.16,79.04,42.15,33.94,549.38,0,0,18.02,19.57,0,0,0,98.87,0,0,10.55,5.7,0,0,60.14,3.22,0,19.18,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,40.57,0,0,53.53,0,0,28.06,51.96,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,147.44,13.06,5.73,0,0

10,02:15-02:30,651.85,24.48,0,12.22,24.99,0,8.62,72.05,0,27.69,44.16,79.04,42.15,33.94,549.38,0,0,17.9,19.57,0,0,0,98.87,0,0,10.55,5.7,0,0,60.14,3.22,0,19.18,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,40.57,0,0,53.53,0,0,28.06,51.96,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,147.44,13.06,5.73,0,0

11,02:30-02:45,667.25,24.48,0,12.22,24.99,0,8.62,72.05,0,27.69,30.91,79.04,42.15,33.94,549.38,0,0,17.82,19.57,0,0,0,98.87,0,0,10.55,5.7,0,0,60.14,3.22,0,19.18,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,40.57,0,0,56.49,0,0,38.97,51.96,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,149.89,13.06,5.73,0,0

12,02:45-03:00,667.25,24.48,0,12.22,24.99,0,8.62,72.05,0,27.69,30.91,79.04,42.15,33.94,549.38,0,0,17.73,19.57,0,0,0,98.87,0,0,10.55,5.7,0,0,60.14,3.22,0,19.18,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,40.57,0,0,56.49,0,0,38.97,51.96,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,149.89,13.06,5.73,0,0

13,03:00-03:15,667.25,24.48,0,12.22,24.99,0,8.62,63.92,0,27.69,19.87,79.04,42.15,33.94,657.48,0,0,17.64,19.57,0,0,0,98.87,0,0,10.55,5.7,0,0,60.14,3.22,0,19.18,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,30.43,0,0,56.49,0,0,38.97,52.59,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,149.89,11.91,5.73,0,0

14,03:15-03:30,667.25,24.48,0,12.22,24.99,0,8.62,63.92,0,27.69,19.87,79.04,42.15,33.94,689.38,0,0,17.55,19.57,0,0,0,98.87,0,0,10.55,5.7,0,0,60.14,3.22,0,19.18,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,30.43,0,0,56.49,0,0,38.97,52.59,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,149.89,11.91,5.73,0,0

15,03:30-03:45,667.25,24.48,0,12.22,24.99,0,8.62,63.92,0,27.69,19.87,79.04,42.15,33.94,689.38,0,0,17.46,19.57,0,0,0,98.87,0,0,10.55,5.7,0,0,60.14,3.22,0,19.18,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,30.43,0,0,56.49,0,0,28.06,52.59,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,149.89,11.91,5.73,0,0

16,03:45-04:00,667.25,24.48,0,12.22,24.99,0,8.62,63.92,0,27.69,19.87,79.04,42.15,33.94,689.38,0,0,17.4,19.57,0,0,0,98.87,0,0,10.55,5.7,0,0,60.14,3.22,0,19.18,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,30.43,0,0,56.49,0,0,28.06,52.59,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,149.89,11.91,5.73,0,0

17,04:00-04:15,667.25,24.48,0,12.22,24.99,0,8.62,63.92,0,27.69,26.49,79.04,42.15,33.94,689.38,0,0,17.29,19.57,0,0,0,98.87,0,0,10.55,5.7,0,0,60.14,3.22,0,19.18,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,30.43,0,0,56.49,0,0,21.82,52.59,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,149.89,11.91,5.73,0,0

18,04:15-04:30,667.25,24.48,0,12.22,24.99,0,8.62,63.92,0,27.69,26.49,79.04,42.15,33.94,689.38,0,0,17.17,19.57,0,0,0,98.87,0,0,10.55,5.7,0,0,60.14,3.22,0,19.18,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,30.43,0,0,56.49,0,0,21.82,52.59,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,149.89,11.91,5.73,0,0

19,04:30-04:45,667.25,24.48,0,12.22,24.99,0,8.62,63.92,0,27.69,26.49,79.04,42.15,33.94,656.57,0,0,17.05,19.57,0,0,0,98.87,0,0,10.55,5.7,0,0,60.14,3.22,0,20.15,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,30.43,0,0,56.49,0,0,18.71,52.59,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,149.89,11.91,5.73,0,0

20,04:45-05:00,667.25,24.48,0,12.22,24.99,0,8.62,63.92,0,27.69,26.49,79.04,42.15,33.94,626.47,0,0,16.91,19.57,0,0,0,98.87,0,0,10.55,5.7,0,0,60.14,3.22,0,20.15,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,30.43,0,0,56.49,0,0,18.71,52.59,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,149.89,11.91,5.73,0,0

21,05:00-05:15,656.25,24.48,0,12.22,24.99,0,8.62,63.92,0,27.69,26.49,79.04,42.15,33.94,626.46,0,0,16.76,19.57,0,0,0,98.87,0,0,10.55,5.7,0,0,60.14,3.22,0,20.15,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,20.29,0,0,56.49,0,0,18.71,52.59,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,149.89,11.91,5.73,0,0

22,05:15-05:30,667.25,24.48,0,12.22,24.99,0,8.62,63.92,0,27.69,26.49,79.04,42.15,33.94,626.48,0,0,16.64,19.57,0,0,0,98.87,0,0,10.55,5.7,0,0,60.14,3.22,0,20.15,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,20.29,0,0,56.49,0,0,18.71,52.59,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,149.89,11.91,5.73,0,0

23,05:30-05:45,667.25,24.48,0,12.22,24.99,0,8.62,62.75,0,27.69,52.36,79.04,42.15,33.94,626.48,0,0,16.49,19.57,0,0,0,98.87,0,0,10.55,5.7,0,0,60.14,3.22,0,20.15,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,20.29,0,0,52.03,0,0,18.71,52.59,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,149.89,11.91,5.73,0,0

24,05:45-06:00,667.25,24.48,0,12.22,24.99,0,8.62,62.75,0,27.69,52.36,79.04,42.15,33.94,626.48,0,0,16.37,19.57,0,0,0,98.87,0,0,10.55,5.7,0,0,60.14,3.22,0,20.15,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,20.29,0,0,52.03,0,0,18.71,52.59,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,149.89,11.91,5.73,0,0

25,06:00-06:15,667.25,24.48,0,12.22,24.99,0,8.62,62.75,0,27.69,52.36,79.04,42.15,33.94,626.48,0,0,16.25,19.57,0,0,0,98.87,0,0,10.55,5.7,0,0,60.14,3.22,0,20.15,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,10.14,0,0,52.03,0,0,18.71,52.59,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,149.89,11.91,5.73,0,0

26,06:15-06:30,667.25,24.48,0,12.22,24.99,0,8.62,62.75,0,27.69,44.16,79.04,42.15,33.94,626.48,0,0,16.14,19.57,0,0,0,98.87,0,0,10.55,5.7,0,0,60.14,3.22,0,20.15,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,10.14,0,0,52.03,0,0,18.71,52.59,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,47.12,0,0,149.89,11.91,5.73,0,0

27,06:30-06:45,667.25,24.48,0,12.22,24.99,0,8.62,62.75,0,27.69,44.16,79.04,42.15,33.94,626.48,0,0,17.17,19.57,0,0,0,98.87,0,0,10.55,5.7,0,0,60.14,3.22,0,20.15,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,10.14,0,0,52.03,0,0,31.17,52.59,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,31.4,0,0,149.89,11.91,5.73,0,0

28,06:45-07:00,663.95,24.48,0,12.22,24.99,0,8.62,62.75,0,27.69,44.16,79.04,42.15,33.94,626.48,0,0,17.19,19.57,0,0,0,98.87,0,0,10.55,5.7,0,0,60.14,3.22,0,20.15,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,10.14,0,0,52.03,0,0,31.17,52.59,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,31.4,0,0,149.89,11.91,5.73,0,0

29,07:00-07:15,667.25,24.48,0,12.22,24.99,0,8.62,62.75,0,27.69,44.16,79.04,42.15,33.94,611.88,0,0,17.19,19.57,0,0,0,98.87,0,0,0,5.7,0,0,60.14,3.22,0,20.15,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,10.14,0,0,41.62,0,0,31.17,51.96,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,31.4,0,0,149.89,11.91,5.73,0,0

30,07:15-07:30,667.25,24.48,0,12.22,24.99,0,8.62,62.75,0,27.69,44.16,79.04,42.15,33.94,689.38,0,0,17.17,19.57,0,0,0,98.87,0,0,0,5.7,0,0,60.14,3.22,0,20.15,0,175.79,0,65.42,125.27,0,45,0,0,19.56,42.46,45.83,7.05,10.14,0,0,41.62,0,0,31.17,51.96,80,0,55.38,0,47.02,130.84,0,343.12,0.85,0,0,31.4,0,0,149.89,11.91,5.73,0,0

