Block,Time Block,CHAMERA1,BSIUL,BRBCL,DADRT2,CHAMERA3,CHAMERA2,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-II,KISHANGANGA,KHSTPP-I,KOTESHWR,KKNP,KKNPPU2,KOLDAM,KUDGI,MAPS,NAPP,NLCEXP,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,NLCIIST1,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPC,RAPPB,RAPPD,RIHAND1,RSTPSU1TO6,SALAL,RSTPSU7,RIHAND3,RIHAND2,SASAN,SIMHST1,SIMHST2,SEWA2,SINGRAULI_HYDRO,SINGRAULI,TANDA2,TALST2,TANAKPUR,TALA,TEHRI,TelanganaSTPP,TEHRIPSP,UNCHAHAR2,URI,UNCHAHAR1,UNCHAHAR4,URI2,UNCHAHAR3,VALLURNTECL,ANTA_CRF,ANTA_LF,ANTA_GF,AURY_CRF,AURY_RF,ANTA_RF,AURY_LF,AURY_GF,DADRI_RF,DADRI_LF,DADRI_GF,DADRI_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,40.62,0,15.25,608.55,0,0,40.92,16.75,53.38,408.28,0,0,94.01,6.71,43.88,29.33,0,0,8.31,0,0,23.73,0,169.43,0,0,0,0,0,23.74,0,5.49,63.22,0,23.29,94.76,0,0,0,126.1,120.74,398.47,0,0,17.68,0,87.73,2.52,0,12.59,20.4,67.18,0,170.77,42.12,51.07,20.08,1.56,36.07,25.46,0,0,0,0,0,0.24,0.16,0,0,0.26,0,0,0,0,0,0,0,0

2,00:15-00:30,40.62,0,12.06,589.75,0,0,40.92,16.75,53.38,408.28,0,0,94.01,6.71,43.88,29.33,0,0,8.31,0,0,23.73,0,169.43,0,0,0,0,0,23.74,0,5.49,63.22,0,23.29,94.76,0,0,0,126.1,120.74,398.47,0,0,17.68,0,87.73,2.52,0,12.59,20.4,67.18,0,170.77,42.12,51.07,20.08,1.56,36.07,25.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,40.62,0,11.07,585.7,0,0,40.92,16.75,53.38,388.07,0,0,94.01,6.71,43.88,29.33,0,0,8.31,0,0,23.73,0,169.43,0,0,0,0,0,23.74,0,5.49,63.22,0,23.29,94.76,0,0,0,126.1,120.74,398.47,0,0,17.68,0,87.73,2.52,0,12.59,20.4,67.18,0,85.38,42.12,51.07,20.08,1.56,30.04,25.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,40.62,0,10.57,559.68,0,0,40.92,16.75,53.38,382.56,0,0,94.01,6.71,43.88,29.33,0,0,8.31,0,0,23.73,0,169.43,0,0,0,0,0,23.74,0,5.49,63.22,0,23.29,94.76,0,0,0,126.1,120.74,398.47,0,0,17.68,0,87.73,2.52,0,12.59,20.4,67.18,0,0,42.04,51.07,20.1,1.46,30.04,25.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,40.62,0,10.09,489.75,0,0,40.92,16.75,53.38,328.68,0,0,94.01,6.71,43.88,29.33,0,0,8.31,0,0,23.73,0,169.43,0,0,0,0,0,23.74,0,5.49,63.22,0,23.29,94.76,0,0,0,126.1,120.74,398.47,0,0,17.68,0,87.73,2.52,0,12.59,20.4,67.18,0,0,42.03,44.69,20.46,1.93,36.07,25.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

